# BinNR microsec O-Beam AUX chi(deg)
0.000 3600.020 12 52 -120.000
1.000 3600.020 31 114 -120.000
2.000 3600.020 41 102 -120.000
3.000 3600.020 23 118 -120.000
4.000 3600.020 36 126 -120.000
5.000 3600.020 28 93 -120.000
6.000 3600.020 27 72 -120.000
7.000 3600.020 27 69 -120.000
8.000 3600.020 39 53 -120.000
9.000 3600.020 26 46 -120.000
10.000 3600.020 38 44 -120.000
11.000 3600.020 25 47 -120.000
12.000 3600.020 40 49 -120.000
13.000 3600.020 30 55 -120.000
14.000 3600.020 35 72 -120.000
15.000 3600.020 27 78 -120.000
16.000 3600.020 39 121 -120.000
17.000 3600.020 27 101 -120.000
18.000 3600.020 42 110 -120.000
19.000 3600.020 22 124 -120.000
20.000 3600.020 36 111 -120.000
21.000 3600.020 28 85 -120.000
22.000 3600.020 28 84 -120.000
23.000 3600.020 34 65 -120.000
24.000 3600.020 28 52 -120.000
25.000 3600.020 29 36 -120.000
26.000 3600.020 40 33 -120.000
27.000 3600.020 22 50 -120.000
28.000 3600.020 37 61 -120.000
29.000 3600.020 37 65 -120.000
30.000 3600.020 45 92 -120.000
31.000 3600.020 30 90 -120.000
32.000 3600.020 32 106 -120.000
33.000 3600.020 35 97 -120.000
34.000 3600.020 34 129 -120.000
35.000 3600.020 32 111 -120.000
36.000 3600.020 36 111 -120.000
37.000 3600.020 27 88 -120.000
38.000 3600.020 25 91 -120.000
39.000 3600.020 32 64 -120.000
40.000 3600.020 44 47 -120.000
41.000 3600.020 36 44 -120.000
42.000 3600.020 26 40 -120.000
43.000 3600.020 34 41 -120.000
44.000 3600.020 31 60 -120.000
45.000 3600.020 28 59 -120.000
46.000 3600.020 27 81 -120.000
47.000 3600.020 28 85 -120.000
48.000 3600.020 35 117 -120.000
49.000 3600.020 26 114 -120.000
50.000 3600.020 41 120 -120.000
51.000 3600.020 29 133 -120.000
52.000 3600.020 32 122 -120.000
53.000 3600.020 31 119 -120.000
54.000 3600.020 32 94 -120.000
55.000 3600.020 28 71 -120.000
56.000 3600.020 31 65 -120.000
57.000 3600.020 30 47 -120.000
58.000 3600.020 30 48 -120.000
59.000 3600.020 31 34 -120.000
60.000 3600.020 32 47 -120.000
61.000 3600.020 24 71 -120.000
62.000 3600.020 23 81 -120.000
63.000 3600.020 31 76 -120.000
64.000 3600.020 34 116 -120.000
65.000 3600.020 42 116 -120.000
66.000 3600.020 32 132 -120.000
67.000 3600.020 30 125 -120.000
68.000 3600.020 36 118 -120.000
69.000 3600.020 31 92 -120.000
70.000 3600.020 30 93 -120.000
71.000 3600.020 29 63 -120.000
72.000 3600.020 38 68 -120.000
73.000 3600.020 33 49 -120.000
74.000 3600.020 35 48 -120.000
75.000 3600.020 37 36 -120.000
76.000 3600.020 29 53 -120.000
77.000 3600.020 25 62 -120.000
78.000 3600.020 33 63 -120.000
79.000 3600.020 28 82 -120.000
80.000 3600.020 29 104 -120.000
81.000 3600.020 44 131 -120.000
82.000 3600.020 47 124 -120.000
83.000 3600.020 43 115 -120.000
84.000 3600.020 49 109 -120.000
85.000 3600.020 23 108 -120.000
