* begin:	12.06.2021 07:17:22
* script file:	D:\data\Cycle 190\exp_CRG-2887\rawdata\sc\TOF_PS_RF2_pi2_1h.cfg
*
* no cfg file, sc file created manually
* 0	1.1000000	30.0	6463	6306	178482	16947	3706323446	12769	0.0000000	0.0000000
* Date: 12.06.2021	Time: 08:17
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 1.000000	BinCount: 305	measured time (s): 3600.002000
* Bin NR >>  탎  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	3600.00	10	30
1	1.00	3600.00	18	35
2	2.00	3600.00	21	31
3	3.00	3600.00	21	29
4	4.00	3600.00	16	40
5	5.00	3600.00	22	37
6	6.00	3600.00	24	44
7	7.00	3600.00	21	47
8	8.00	3600.00	23	60
9	9.00	3600.00	22	74
10	10.00	3600.00	22	70
11	11.00	3600.00	15	65
12	12.00	3600.00	24	81
13	13.00	3600.00	20	73
14	14.00	3600.00	16	74
15	15.00	3600.00	24	55
16	16.00	3600.00	24	60
17	17.00	3600.00	22	53
18	18.00	3600.00	17	51
19	19.00	3600.00	23	45
20	20.00	3600.00	16	49
21	21.00	3600.00	15	34
22	22.00	3600.00	17	55
23	23.00	3600.00	19	36
24	24.00	3600.00	20	44
25	25.00	3600.00	21	44
26	26.00	3600.00	21	68
27	27.00	3600.00	19	65
28	28.00	3600.00	25	78
29	29.00	3600.00	18	77
30	30.00	3600.00	21	81
31	31.00	3600.00	14	77
32	32.00	3600.00	26	74
33	33.00	3600.00	22	60
34	34.00	3600.00	27	71
35	35.00	3600.00	20	63
36	36.00	3600.00	28	42
37	37.00	3600.00	30	40
38	38.00	3600.00	32	30
39	39.00	3600.00	19	41
40	40.00	3600.00	28	27
41	41.00	3600.00	29	45
42	42.00	3600.00	36	54
43	43.00	3600.00	12	62
44	44.00	3600.00	22	53
45	45.00	3600.00	26	93
46	46.00	3600.00	22	75
47	47.00	3600.00	18	85
48	48.00	3600.00	18	87
49	49.00	3600.00	16	64
50	50.00	3600.00	13	67
51	51.00	3600.00	22	67
52	52.00	3600.00	24	72
53	53.00	3600.00	22	54
54	54.00	3600.00	25	52
55	55.00	3600.00	23	40
56	56.00	3600.00	29	42
57	57.00	3600.00	22	34
58	58.00	3600.00	21	39
59	59.00	3600.00	31	37
60	60.00	3600.00	29	58
61	61.00	3600.00	20	52
62	62.00	3600.00	24	55
63	63.00	3600.00	12	79
64	64.00	3600.00	21	82
65	65.00	3600.00	21	77
66	66.00	3600.00	26	66
67	67.00	3600.00	11	83
68	68.00	3600.00	13	65
69	69.00	3600.00	19	55
70	70.00	3600.00	22	60
71	71.00	3600.00	18	42
72	72.00	3600.00	22	50
73	73.00	3600.00	20	38
74	74.00	3600.00	25	30
75	75.00	3600.00	19	29
76	76.00	3600.00	17	46
77	77.00	3600.00	10	36
78	78.00	3600.00	14	58
79	79.00	3600.00	20	48
80	80.00	3600.00	26	66
81	81.00	3600.00	20	69
82	82.00	3600.00	18	80
83	83.00	3600.00	17	83
84	84.00	3600.00	16	96
85	85.00	3600.00	13	60
86	86.00	3600.00	23	75
87	87.00	3600.00	22	76
88	88.00	3600.00	31	59
89	89.00	3600.00	18	69
90	90.00	3600.00	25	47
91	91.00	3600.00	23	35
92	92.00	3600.00	31	49
93	93.00	3600.00	15	45
94	94.00	3600.00	33	43
95	95.00	3600.00	13	43
96	96.00	3600.00	22	62
97	97.00	3600.00	12	74
98	98.00	3600.00	14	65
99	99.00	3600.00	15	61
100	100.00	3600.00	10	87
101	101.00	3600.00	16	77
102	102.00	3600.00	29	73
103	103.00	3600.00	18	77
104	104.00	3600.00	13	67
105	105.00	3600.00	25	70
106	106.00	3600.00	28	59
