* begin:	18.06.2021 12:31:40
* script file:	D:\data\Cycle 190\exp_CRG-2887\rawdata\sc\TOF_PS_RF2_weak_1h.cfg
*
* no cfg file, sc file created manually
* 0	1.1800000	60.0	7864	8984	346207	19457	3706860704	16848	0.0000000	0.0000000
* Date: 18.06.2021	Time: 13:31
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 1.000000	BinCount: 305	measured time (s): 3600.003000
* Bin NR >>  탎  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	3600.00	10	37
1	1.00	3600.00	40	59
2	2.00	3600.00	25	70
3	3.00	3600.00	22	53
4	4.00	3600.00	32	62
5	5.00	3600.00	19	55
6	6.00	3600.00	19	49
7	7.00	3600.00	13	58
8	8.00	3600.00	19	59
9	9.00	3600.00	23	58
10	10.00	3600.00	30	58
11	11.00	3600.00	27	77
12	12.00	3600.00	24	68
13	13.00	3600.00	25	81
14	14.00	3600.00	26	83
15	15.00	3600.00	22	67
16	16.00	3600.00	16	62
17	17.00	3600.00	21	86
18	18.00	3600.00	25	76
19	19.00	3600.00	27	68
20	20.00	3600.00	24	66
21	21.00	3600.00	25	65
22	22.00	3600.00	24	58
23	23.00	3600.00	29	52
24	24.00	3600.00	33	54
25	25.00	3600.00	35	61
26	26.00	3600.00	27	68
27	27.00	3600.00	21	72
28	28.00	3600.00	33	72
29	29.00	3600.00	32	72
30	30.00	3600.00	25	65
31	31.00	3600.00	25	60
32	32.00	3600.00	19	80
33	33.00	3600.00	22	54
34	34.00	3600.00	29	64
35	35.00	3600.00	25	66
36	36.00	3600.00	20	68
37	37.00	3600.00	27	67
38	38.00	3600.00	31	72
39	39.00	3600.00	18	56
40	40.00	3600.00	20	43
41	41.00	3600.00	35	52
42	42.00	3600.00	28	53
43	43.00	3600.00	21	52
44	44.00	3600.00	25	56
45	45.00	3600.00	24	77
46	46.00	3600.00	31	76
47	47.00	3600.00	30	73
48	48.00	3600.00	34	79
49	49.00	3600.00	20	77
50	50.00	3600.00	23	98
51	51.00	3600.00	21	71
52	52.00	3600.00	23	70
53	53.00	3600.00	26	70
54	54.00	3600.00	24	78
55	55.00	3600.00	27	68
56	56.00	3600.00	32	75
57	57.00	3600.00	35	44
58	58.00	3600.00	23	48
59	59.00	3600.00	25	60
60	60.00	3600.00	24	75
61	61.00	3600.00	24	48
62	62.00	3600.00	27	57
63	63.00	3600.00	24	64
64	64.00	3600.00	27	78
65	65.00	3600.00	24	75
66	66.00	3600.00	30	72
67	67.00	3600.00	20	80
68	68.00	3600.00	26	78
69	69.00	3600.00	20	64
70	70.00	3600.00	28	71
71	71.00	3600.00	34	80
72	72.00	3600.00	22	65
73	73.00	3600.00	23	52
74	74.00	3600.00	24	59
75	75.00	3600.00	23	51
76	76.00	3600.00	25	50
77	77.00	3600.00	18	48
78	78.00	3600.00	26	47
79	79.00	3600.00	29	58
80	80.00	3600.00	15	66
81	81.00	3600.00	22	83
82	82.00	3600.00	27	61
83	83.00	3600.00	19	62
84	84.00	3600.00	27	78
85	85.00	3600.00	21	67
86	86.00	3600.00	28	75
87	87.00	3600.00	24	52
88	88.00	3600.00	31	65
89	89.00	3600.00	24	63
90	90.00	3600.00	27	70
91	91.00	3600.00	15	56
92	92.00	3600.00	31	53
93	93.00	3600.00	28	55
94	94.00	3600.00	26	52
95	95.00	3600.00	30	47
96	96.00	3600.00	25	76
97	97.00	3600.00	21	66
98	98.00	3600.00	20	61
99	99.00	3600.00	30	55
100	100.00	3600.00	31	72
101	101.00	3600.00	28	71
102	102.00	3600.00	30	76
103	103.00	3600.00	14	72
104	104.00	3600.00	26	83
105	105.00	3600.00	28	58
106	106.00	3600.00	33	71
