# BinNR microsec O-Beam AUX chi(deg)
0.000 3600.010 23 65 -80.000
1.000 3600.010 52 140 -80.000
2.000 3600.010 47 144 -80.000
3.000 3600.010 46 142 -80.000
4.000 3600.010 49 121 -80.000
5.000 3600.010 40 112 -80.000
6.000 3600.010 51 105 -80.000
7.000 3600.010 34 113 -80.000
8.000 3600.010 45 107 -80.000
9.000 3600.010 41 135 -80.000
10.000 3600.010 46 124 -80.000
11.000 3600.010 33 122 -80.000
12.000 3600.010 39 132 -80.000
13.000 3600.010 41 156 -80.000
14.000 3600.010 51 169 -80.000
15.000 3600.010 40 144 -80.000
16.000 3600.010 64 161 -80.000
17.000 3600.010 43 143 -80.000
18.000 3600.010 54 152 -80.000
19.000 3600.010 41 127 -80.000
20.000 3600.010 49 117 -80.000
21.000 3600.010 43 109 -80.000
22.000 3600.010 68 120 -80.000
23.000 3600.010 41 113 -80.000
24.000 3600.010 46 114 -80.000
25.000 3600.010 50 99 -80.000
26.000 3600.010 52 110 -80.000
27.000 3600.010 34 93 -80.000
28.000 3600.010 46 121 -80.000
29.000 3600.010 52 124 -80.000
30.000 3600.010 47 156 -80.000
31.000 3600.010 41 132 -80.000
32.000 3600.010 55 164 -80.000
33.000 3600.010 47 153 -80.000
34.000 3600.010 42 157 -80.000
35.000 3600.010 39 151 -80.000
36.000 3600.010 55 162 -80.000
37.000 3600.010 47 119 -80.000
38.000 3600.010 57 104 -80.000
39.000 3600.010 42 112 -80.000
40.000 3600.010 47 103 -80.000
41.000 3600.010 37 86 -80.000
42.000 3600.010 57 87 -80.000
43.000 3600.010 51 89 -80.000
44.000 3600.010 58 116 -80.000
45.000 3600.010 39 113 -80.000
46.000 3600.010 51 135 -80.000
47.000 3600.010 47 134 -80.000
48.000 3600.010 42 171 -80.000
49.000 3600.010 38 147 -80.000
50.000 3600.010 39 172 -80.000
51.000 3600.010 44 151 -80.000
52.000 3600.010 47 166 -80.000
53.000 3600.010 41 131 -80.000
54.000 3600.010 54 127 -80.000
55.000 3600.010 38 111 -80.000
56.000 3600.010 61 101 -80.000
57.000 3600.010 44 101 -80.000
58.000 3600.010 54 93 -80.000
59.000 3600.010 39 100 -80.000
60.000 3600.010 56 93 -80.000
61.000 3600.010 37 102 -80.000
62.000 3600.010 55 127 -80.000
63.000 3600.010 42 138 -80.000
64.000 3600.010 58 162 -80.000
65.000 3600.010 49 154 -80.000
66.000 3600.010 54 187 -80.000
67.000 3600.010 55 154 -80.000
68.000 3600.010 37 165 -80.000
69.000 3600.010 43 161 -80.000
70.000 3600.010 45 155 -80.000
71.000 3600.010 45 135 -80.000
72.000 3600.010 50 136 -80.000
73.000 3600.010 34 98 -80.000
