* begin:	12.06.2021 22:38:04
* script file:	D:\data\Cycle 190\exp_CRG-2887\rawdata\sc\TOF_PS_RF1+2_pi2_1h.cfg
*
* no cfg file, sc file created manually
* 0	1.1000000	60.0	8658	12470	377443	22537	3706378689	21128	0.0000000	0.0000000
* Date: 12.06.2021	Time: 23:38
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 1.000000	BinCount: 305	measured time (s): 3600.010000
* Bin NR >>  탎  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	3600.01	15	27
1	1.00	3600.01	38	52
2	2.00	3600.01	45	59
3	3.00	3600.01	41	45
4	4.00	3600.01	37	55
5	5.00	3600.01	35	27
6	6.00	3600.01	35	17
7	7.00	3600.01	23	25
8	8.00	3600.01	45	25
9	9.00	3600.01	37	24
10	10.00	3600.01	31	32
11	11.00	3600.01	34	34
12	12.00	3600.01	44	49
13	13.00	3600.01	34	63
14	14.00	3600.01	52	57
15	15.00	3600.01	36	58
16	16.00	3600.01	37	65
17	17.00	3600.01	44	75
18	18.00	3600.01	35	66
19	19.00	3600.01	42	53
20	20.00	3600.01	50	40
21	21.00	3600.01	39	36
22	22.00	3600.01	33	15
23	23.00	3600.01	45	17
24	24.00	3600.01	51	7
25	25.00	3600.01	41	10
26	26.00	3600.01	38	23
27	27.00	3600.01	34	34
28	28.00	3600.01	36	52
29	29.00	3600.01	38	67
30	30.00	3600.01	38	69
31	31.00	3600.01	41	83
32	32.00	3600.01	37	74
33	33.00	3600.01	42	91
34	34.00	3600.01	35	103
35	35.00	3600.01	38	85
36	36.00	3600.01	38	80
37	37.00	3600.01	39	64
38	38.00	3600.01	40	48
39	39.00	3600.01	33	41
40	40.00	3600.01	37	34
41	41.00	3600.01	32	25
42	42.00	3600.01	45	33
43	43.00	3600.01	38	36
44	44.00	3600.01	37	42
45	45.00	3600.01	35	52
46	46.00	3600.01	37	80
47	47.00	3600.01	30	80
48	48.00	3600.01	21	143
49	49.00	3600.01	24	120
50	50.00	3600.01	30	121
51	51.00	3600.01	35	118
52	52.00	3600.01	28	103
53	53.00	3600.01	26	102
54	54.00	3600.01	36	100
55	55.00	3600.01	18	76
56	56.00	3600.01	29	67
57	57.00	3600.01	23	61
58	58.00	3600.01	30	62
59	59.00	3600.01	22	56
60	60.00	3600.01	18	65
61	61.00	3600.01	31	60
62	62.00	3600.01	26	80
63	63.00	3600.01	23	86
64	64.00	3600.01	23	129
65	65.00	3600.01	25	141
66	66.00	3600.01	38	131
67	67.00	3600.01	28	147
68	68.00	3600.01	22	149
69	69.00	3600.01	23	149
70	70.00	3600.01	25	116
71	71.00	3600.01	18	121
72	72.00	3600.01	21	96
73	73.00	3600.01	20	95
74	74.00	3600.01	21	78
75	75.00	3600.01	22	79
76	76.00	3600.01	20	96
77	77.00	3600.01	20	90
78	78.00	3600.01	33	90
79	79.00	3600.01	25	107
80	80.00	3600.01	22	115
81	81.00	3600.01	14	121
82	82.00	3600.01	25	132
83	83.00	3600.01	22	139
84	84.00	3600.01	25	148
85	85.00	3600.01	33	128
86	86.00	3600.01	15	139
87	87.00	3600.01	24	120
88	88.00	3600.01	13	110
89	89.00	3600.01	26	94
90	90.00	3600.01	23	97
91	91.00	3600.01	10	100
92	92.00	3600.01	21	74
93	93.00	3600.01	24	78
94	94.00	3600.01	24	75
95	95.00	3600.01	15	88
96	96.00	3600.01	13	99
97	97.00	3600.01	21	80
98	98.00	3600.01	15	102
99	99.00	3600.01	12	112
100	100.00	3600.01	14	101
101	101.00	3600.01	15	103
102	102.00	3600.01	15	129
103	103.00	3600.01	17	108
104	104.00	3600.01	10	113
105	105.00	3600.01	19	94
106	106.00	3600.01	16	90
