* begin:	17.06.2021 21:51:51
* script file:	D:\data\Cycle 190\exp_CRG-2887\rawdata\sc\TOF_PS_RF1_weak_1h.cfg
*
* no cfg file, sc file created manually
* 0	43.1000977	60.0	17816	8684	379264	49492	3706807915	26500	0.0000000	0.0000000
* Date: 17.06.2021	Time: 22:51
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 1.000000	BinCount: 305	measured time (s): 3600.015000
* Bin NR >>  탎  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	3600.01	31	105
1	1.00	3600.01	55	150
2	2.00	3600.01	48	190
3	3.00	3600.01	73	172
4	4.00	3600.01	67	172
5	5.00	3600.01	54	175
6	6.00	3600.01	52	175
7	7.00	3600.01	38	149
8	8.00	3600.01	56	146
9	9.00	3600.01	54	141
10	10.00	3600.01	46	174
11	11.00	3600.01	51	165
12	12.00	3600.01	60	161
13	13.00	3600.01	53	157
14	14.00	3600.01	52	159
15	15.00	3600.01	60	167
16	16.00	3600.01	59	177
17	17.00	3600.01	40	191
18	18.00	3600.01	72	174
19	19.00	3600.01	62	171
20	20.00	3600.01	60	158
21	21.00	3600.01	61	166
22	22.00	3600.01	51	170
23	23.00	3600.01	65	152
24	24.00	3600.01	51	155
25	25.00	3600.01	56	118
26	26.00	3600.01	59	137
27	27.00	3600.01	46	148
28	28.00	3600.01	62	136
29	29.00	3600.01	46	163
30	30.00	3600.01	58	188
31	31.00	3600.01	57	171
32	32.00	3600.01	62	188
33	33.00	3600.01	61	163
34	34.00	3600.01	62	189
35	35.00	3600.01	66	164
36	36.00	3600.01	61	179
37	37.00	3600.01	51	154
38	38.00	3600.01	71	145
39	39.00	3600.01	50	145
40	40.00	3600.01	56	139
41	41.00	3600.01	42	160
42	42.00	3600.01	62	160
43	43.00	3600.01	63	133
44	44.00	3600.01	61	167
45	45.00	3600.01	54	182
46	46.00	3600.01	63	177
47	47.00	3600.01	56	190
48	48.00	3600.01	63	186
49	49.00	3600.01	67	169
50	50.00	3600.01	52	158
51	51.00	3600.01	61	168
52	52.00	3600.01	64	183
53	53.00	3600.01	55	175
54	54.00	3600.01	65	166
55	55.00	3600.01	56	138
56	56.00	3600.01	53	143
57	57.00	3600.01	55	150
58	58.00	3600.01	76	140
59	59.00	3600.01	53	138
60	60.00	3600.01	53	159
61	61.00	3600.01	51	164
62	62.00	3600.01	63	196
63	63.00	3600.01	62	168
64	64.00	3600.01	68	181
65	65.00	3600.01	60	174
66	66.00	3600.01	65	213
67	67.00	3600.01	45	185
68	68.00	3600.01	53	183
69	69.00	3600.01	54	158
70	70.00	3600.01	52	161
71	71.00	3600.01	54	135
72	72.00	3600.01	60	141
73	73.00	3600.01	48	128
74	74.00	3600.01	75	157
75	75.00	3600.01	52	165
76	76.00	3600.01	54	176
77	77.00	3600.01	58	154
78	78.00	3600.01	56	205
79	79.00	3600.01	72	194
80	80.00	3600.01	50	183
81	81.00	3600.01	55	169
82	82.00	3600.01	77	175
83	83.00	3600.01	45	180
84	84.00	3600.01	59	177
85	85.00	3600.01	51	125
86	86.00	3600.01	68	139
87	87.00	3600.01	65	137
88	88.00	3600.01	58	142
89	89.00	3600.01	56	130
90	90.00	3600.01	60	156
91	91.00	3600.01	43	136
92	92.00	3600.01	60	172
93	93.00	3600.01	52	144
94	94.00	3600.01	48	169
95	95.00	3600.01	58	162
96	96.00	3600.01	60	187
97	97.00	3600.01	62	191
98	98.00	3600.01	57	213
99	99.00	3600.01	54	170
100	100.00	3600.01	61	167
101	101.00	3600.01	57	143
102	102.00	3600.01	58	161
103	103.00	3600.01	73	155
104	104.00	3600.01	55	149
105	105.00	3600.01	49	129
106	106.00	3600.01	66	129
