* begin:	19.06.2021 11:33:31
* script file:	D:\data\Cycle 190\exp_CRG-2887\rawdata\sc\TOF_PS_RF1+2_weak_1h.cfg
*
* no cfg file, sc file created manually
* 0	1.1800000	60.0	15320	8274	374149	42803	3706943615	23594	0.0000000	0.0000000
* Date: 19.06.2021	Time: 12:33
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 1.000000	BinCount: 305	measured time (s): 3600.005000
* Bin NR >>  탎  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	3600.01	19	104
1	1.00	3600.01	52	144
2	2.00	3600.01	53	153
3	3.00	3600.01	54	136
4	4.00	3600.01	57	141
5	5.00	3600.01	51	131
6	6.00	3600.01	57	126
7	7.00	3600.01	40	118
8	8.00	3600.01	44	100
9	9.00	3600.01	49	119
10	10.00	3600.01	48	133
11	11.00	3600.01	42	139
12	12.00	3600.01	44	143
13	13.00	3600.01	41	152
14	14.00	3600.01	45	154
15	15.00	3600.01	40	164
16	16.00	3600.01	45	188
17	17.00	3600.01	49	160
18	18.00	3600.01	54	177
19	19.00	3600.01	52	162
20	20.00	3600.01	54	148
21	21.00	3600.01	51	105
22	22.00	3600.01	56	99
23	23.00	3600.01	54	120
24	24.00	3600.01	38	103
25	25.00	3600.01	53	103
26	26.00	3600.01	59	114
27	27.00	3600.01	50	107
28	28.00	3600.01	56	141
29	29.00	3600.01	44	125
30	30.00	3600.01	54	167
31	31.00	3600.01	58	152
32	32.00	3600.01	61	188
33	33.00	3600.01	43	201
34	34.00	3600.01	53	173
35	35.00	3600.01	55	150
36	36.00	3600.01	51	123
37	37.00	3600.01	59	135
38	38.00	3600.01	53	119
39	39.00	3600.01	44	125
40	40.00	3600.01	52	112
41	41.00	3600.01	54	92
42	42.00	3600.01	68	103
43	43.00	3600.01	48	104
44	44.00	3600.01	48	102
45	45.00	3600.01	51	140
46	46.00	3600.01	48	140
47	47.00	3600.01	46	141
48	48.00	3600.01	45	185
49	49.00	3600.01	46	188
50	50.00	3600.01	63	177
51	51.00	3600.01	49	174
52	52.00	3600.01	50	153
53	53.00	3600.01	46	165
54	54.00	3600.01	58	164
55	55.00	3600.01	52	128
56	56.00	3600.01	46	111
57	57.00	3600.01	46	106
58	58.00	3600.01	34	100
59	59.00	3600.01	55	98
60	60.00	3600.01	55	92
61	61.00	3600.01	50	129
62	62.00	3600.01	48	143
63	63.00	3600.01	50	152
64	64.00	3600.01	66	171
65	65.00	3600.01	48	162
66	66.00	3600.01	59	188
67	67.00	3600.01	50	162
68	68.00	3600.01	49	170
69	69.00	3600.01	46	158
70	70.00	3600.01	56	141
71	71.00	3600.01	44	151
72	72.00	3600.01	40	125
73	73.00	3600.01	50	124
74	74.00	3600.01	59	126
75	75.00	3600.01	64	110
76	76.00	3600.01	54	124
77	77.00	3600.01	41	111
78	78.00	3600.01	54	106
79	79.00	3600.01	43	110
80	80.00	3600.01	52	156
81	81.00	3600.01	50	181
82	82.00	3600.01	40	144
83	83.00	3600.01	44	140
84	84.00	3600.01	62	166
85	85.00	3600.01	44	131
86	86.00	3600.01	53	164
87	87.00	3600.01	52	177
88	88.00	3600.01	50	151
89	89.00	3600.01	39	138
90	90.00	3600.01	58	135
91	91.00	3600.01	48	129
92	92.00	3600.01	64	115
93	93.00	3600.01	47	126
94	94.00	3600.01	58	134
95	95.00	3600.01	63	145
96	96.00	3600.01	50	150
97	97.00	3600.01	38	129
98	98.00	3600.01	50	138
99	99.00	3600.01	56	154
100	100.00	3600.01	48	163
101	101.00	3600.01	47	152
102	102.00	3600.01	47	164
103	103.00	3600.01	56	130
104	104.00	3600.01	51	164
105	105.00	3600.01	38	119
106	106.00	3600.01	57	140
