* begin:	27.06.2021 16:52:04
* script file:	D:\data\Cycle 190\exp_CRG-2887\rawdata\sc\TOF_PS_RF1+2_weak_1h_final.cfg
*
* no cfg file, sc file created manually
* 0	1.1800000	60.0	9215	9103	455431	23685	3707657528	18318	0.0000000	0.0000000
* Date: 27.06.2021	Time: 18:52
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 1.000000	BinCount: 305	measured time (s): 7200.001000
* Bin NR >>  탎  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	7200.00	22	44
1	1.00	7200.00	33	89
2	2.00	7200.00	37	83
3	3.00	7200.00	33	81
4	4.00	7200.00	31	83
5	5.00	7200.00	30	60
6	6.00	7200.00	35	58
7	7.00	7200.00	33	54
8	8.00	7200.00	30	55
9	9.00	7200.00	36	61
10	10.00	7200.00	29	72
11	11.00	7200.00	29	80
12	12.00	7200.00	43	71
13	13.00	7200.00	23	77
14	14.00	7200.00	33	92
15	15.00	7200.00	29	75
16	16.00	7200.00	38	82
17	17.00	7200.00	29	85
18	18.00	7200.00	40	79
19	19.00	7200.00	25	70
20	20.00	7200.00	35	63
21	21.00	7200.00	31	58
22	22.00	7200.00	25	48
23	23.00	7200.00	26	58
24	24.00	7200.00	33	60
25	25.00	7200.00	39	66
26	26.00	7200.00	34	57
27	27.00	7200.00	26	54
28	28.00	7200.00	20	78
29	29.00	7200.00	22	64
30	30.00	7200.00	30	97
31	31.00	7200.00	31	102
32	32.00	7200.00	28	90
33	33.00	7200.00	36	95
34	34.00	7200.00	30	84
35	35.00	7200.00	36	85
36	36.00	7200.00	34	83
37	37.00	7200.00	27	62
38	38.00	7200.00	40	79
39	39.00	7200.00	35	59
40	40.00	7200.00	36	51
41	41.00	7200.00	26	53
42	42.00	7200.00	35	64
43	43.00	7200.00	36	55
44	44.00	7200.00	20	75
45	45.00	7200.00	29	71
46	46.00	7200.00	30	91
47	47.00	7200.00	26	101
48	48.00	7200.00	27	95
49	49.00	7200.00	30	76
50	50.00	7200.00	32	100
51	51.00	7200.00	32	94
52	52.00	7200.00	36	107
53	53.00	7200.00	25	96
54	54.00	7200.00	23	84
55	55.00	7200.00	32	62
56	56.00	7200.00	26	63
57	57.00	7200.00	17	71
58	58.00	7200.00	33	61
59	59.00	7200.00	26	52
60	60.00	7200.00	32	67
61	61.00	7200.00	32	55
62	62.00	7200.00	39	77
63	63.00	7200.00	27	89
64	64.00	7200.00	33	82
65	65.00	7200.00	32	83
66	66.00	7200.00	26	99
67	67.00	7200.00	33	103
68	68.00	7200.00	25	100
69	69.00	7200.00	25	76
70	70.00	7200.00	36	85
71	71.00	7200.00	21	81
72	72.00	7200.00	29	82
73	73.00	7200.00	34	65
74	74.00	7200.00	24	62
75	75.00	7200.00	25	69
76	76.00	7200.00	17	70
77	77.00	7200.00	25	58
78	78.00	7200.00	31	80
79	79.00	7200.00	20	75
80	80.00	7200.00	39	91
81	81.00	7200.00	26	84
82	82.00	7200.00	34	99
83	83.00	7200.00	25	90
84	84.00	7200.00	25	89
85	85.00	7200.00	28	95
86	86.00	7200.00	33	89
87	87.00	7200.00	25	85
88	88.00	7200.00	24	80
89	89.00	7200.00	28	85
90	90.00	7200.00	35	57
91	91.00	7200.00	30	81
92	92.00	7200.00	35	67
93	93.00	7200.00	29	61
94	94.00	7200.00	28	79
95	95.00	7200.00	21	68
96	96.00	7200.00	30	108
97	97.00	7200.00	34	73
98	98.00	7200.00	23	95
99	99.00	7200.00	22	71
100	100.00	7200.00	30	89
101	101.00	7200.00	31	80
102	102.00	7200.00	31	71
103	103.00	7200.00	27	113
104	104.00	7200.00	33	80
105	105.00	7200.00	40	62
106	106.00	7200.00	34	73
