* begin:	18.06.2021 08:32:40
* script file:	D:\data\Cycle 190\exp_CRG-2887\rawdata\sc\TOF_PS_RF2_weak_1h.cfg
*
* no cfg file, sc file created manually
* 0	1.1800000	60.0	4662	9049	327397	12389	3706844555	13711	0.0000000	0.0000000
* Date: 18.06.2021	Time: 09:02
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 1.000000	BinCount: 305	measured time (s): 1790.787000
* Bin NR >>  탎  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1790.79	3	15
1	1.00	1790.79	11	38
2	2.00	1790.79	15	35
3	3.00	1790.79	11	30
4	4.00	1790.79	14	30
5	5.00	1790.79	14	29
6	6.00	1790.79	17	36
7	7.00	1790.79	19	35
8	8.00	1790.79	13	36
9	9.00	1790.79	10	37
10	10.00	1790.79	15	42
11	11.00	1790.79	18	33
12	12.00	1790.79	12	55
13	13.00	1790.79	15	48
14	14.00	1790.79	16	48
15	15.00	1790.79	8	32
16	16.00	1790.79	18	46
17	17.00	1790.79	7	41
18	18.00	1790.79	15	48
19	19.00	1790.79	17	40
20	20.00	1790.79	24	47
21	21.00	1790.79	11	24
22	22.00	1790.79	10	30
23	23.00	1790.79	14	34
24	24.00	1790.79	22	22
25	25.00	1790.79	13	29
26	26.00	1790.79	16	40
27	27.00	1790.79	19	38
28	28.00	1790.79	17	46
29	29.00	1790.79	12	35
30	30.00	1790.79	11	49
31	31.00	1790.79	20	49
32	32.00	1790.79	15	38
33	33.00	1790.79	20	50
34	34.00	1790.79	16	38
35	35.00	1790.79	18	44
36	36.00	1790.79	17	57
37	37.00	1790.79	9	34
38	38.00	1790.79	15	39
39	39.00	1790.79	14	30
40	40.00	1790.79	15	45
41	41.00	1790.79	12	25
42	42.00	1790.79	22	41
43	43.00	1790.79	10	38
44	44.00	1790.79	18	46
45	45.00	1790.79	13	52
46	46.00	1790.79	8	54
47	47.00	1790.79	21	58
48	48.00	1790.79	19	57
49	49.00	1790.79	14	48
50	50.00	1790.79	15	47
51	51.00	1790.79	20	48
52	52.00	1790.79	9	46
53	53.00	1790.79	5	40
54	54.00	1790.79	16	40
55	55.00	1790.79	20	30
56	56.00	1790.79	6	50
57	57.00	1790.79	17	37
58	58.00	1790.79	18	42
59	59.00	1790.79	17	39
60	60.00	1790.79	23	28
61	61.00	1790.79	12	28
62	62.00	1790.79	14	36
63	63.00	1790.79	19	41
64	64.00	1790.79	18	63
65	65.00	1790.79	15	48
66	66.00	1790.79	14	38
67	67.00	1790.79	14	45
68	68.00	1790.79	13	38
69	69.00	1790.79	11	40
70	70.00	1790.79	11	45
71	71.00	1790.79	16	44
72	72.00	1790.79	16	34
73	73.00	1790.79	14	43
74	74.00	1790.79	22	38
75	75.00	1790.79	14	37
76	76.00	1790.79	14	29
77	77.00	1790.79	7	32
78	78.00	1790.79	14	35
79	79.00	1790.79	15	56
80	80.00	1790.79	20	46
81	81.00	1790.79	16	49
82	82.00	1790.79	14	41
83	83.00	1790.79	23	47
84	84.00	1790.79	20	45
85	85.00	1790.79	19	37
86	86.00	1790.79	18	66
87	87.00	1790.79	16	60
88	88.00	1790.79	5	43
89	89.00	1790.79	12	45
90	90.00	1790.79	14	43
91	91.00	1790.79	16	35
92	92.00	1790.79	14	33
93	93.00	1790.79	10	41
94	94.00	1790.79	21	43
95	95.00	1790.79	18	32
96	96.00	1790.79	15	32
97	97.00	1790.79	15	34
98	98.00	1790.79	17	31
99	99.00	1790.79	15	35
100	100.00	1790.79	18	37
101	101.00	1790.79	17	41
102	102.00	1790.79	14	57
103	103.00	1790.79	14	51
104	104.00	1790.79	16	45
105	105.00	1790.79	7	50
106	106.00	1790.79	25	39
