# chi p_p p_p_err p_m p_m_err
-6.529293193480381063e+00 6.627001375898228241e-01 1.272370913328161289e-02 5.363681265541718757e-01 1.005492883443230047e-02
-6.324400895553074164e+00 8.120573767275817145e-01 1.437893086563680686e-02 2.925880903756348239e-01 7.419263521237201564e-03
-6.134320149953709667e+00 8.508558101336655133e-01 1.488059258194804509e-02 1.389679756391974386e-01 5.186043383030783729e-03
-5.944239404354346057e+00 7.928642858455344777e-01 1.420945479233760855e-02 1.103097352264110764e-01 5.021987416253398395e-03
-5.754158658755017974e+00 6.526900126558298210e-01 1.261481886820171698e-02 2.165326759996756278e-01 7.014402042930819800e-03
-5.566546336688491969e+00 4.632583414729301574e-01 1.005492883443230047e-02 4.178659335426114785e-01 9.607860745779666506e-03
-5.375231252931371273e+00 2.981418927325132362e-01 7.419263521237201564e-03 6.511801152584058006e-01 1.209139067013674518e-02
-5.186384845489799389e+00 1.839119705430734553e-01 5.186043383030783729e-03 8.298197652090177900e-01 1.402073384535621262e-02
-4.996304099890435779e+00 1.768385625115479753e-01 5.021987416253398395e-03 8.957202207224292945e-01 1.479245457016054206e-02
-4.807457692448863895e+00 2.743558241460888336e-01 7.014402042930819800e-03 8.255275230356498017e-01 1.401610137794692852e-02
-4.617376694066752663e+00 4.326842032494662704e-01 9.607860745779666506e-03 6.426467776290719636e-01 1.230453850464954119e-02
-4.427295948467424580e+00 6.126310136148134244e-01 1.209139067013674518e-02 4.103927274410356096e-01 9.642546118780430039e-03
-4.237215202868060970e+00 7.671000050407847937e-01 1.402073384535621262e-02 2.091539112943798240e-01 6.722622367611548987e-03
-4.049603133584280812e+00 8.411492052170784772e-01 1.479245457016054206e-02 1.090485209735388983e-01 4.713381474062078649e-03
-3.859522387984953173e+00 7.730412627768583622e-01 1.401610137794692852e-02 1.421707339584492580e-01 4.626313430195874536e-03
-3.669441389602806414e+00 6.299504840097305269e-01 1.230453850464954119e-02 2.991465403096559283e-01 6.966706434804253827e-03
-3.480594982161270501e+00 4.327155691328824494e-01 9.642546118780430039e-03 5.241108431871793760e-01 9.966554148677378433e-03
-3.290514236561906447e+00 2.603619286399035948e-01 6.722622367611548987e-03 7.420505723168272505e-01 1.303727200805696387e-02
-3.100433490962542393e+00 1.628802654444438947e-01 4.713381474062078649e-03 8.762107717735192480e-01 1.478608775577981010e-02
-2.912821168896016388e+00 1.585615963268896533e-01 4.626313430195874536e-03 8.809968658483677828e-01 1.524070456617881292e-02
-2.721506085138859721e+00 2.712290516541849827e-01 6.966706434804253827e-03 7.536985065975053688e-01 1.419220847536292913e-02
-2.532659677697324252e+00 4.535541590630879916e-01 9.966554148677378433e-03 5.405337715052318526e-01 1.184910317766179645e-02
-2.341344593940167584e+00 6.864679727777447393e-01 1.303727200805696387e-02 3.108140975744089207e-01 8.577953785762704175e-03
-2.152498186498595700e+00 8.438330162547728053e-01 1.478608775577981010e-02 1.488078427555479810e-01 5.033172227692945915e-03
-1.963651779057060232e+00 8.855387450221843260e-01 1.524070456617881292e-02 1.068305019009581636e-01 3.274288989820230318e-03
-1.774805118832705642e+00 7.919629445194030781e-01 1.419220847536292913e-02 1.992291105645035976e-01 4.829368502049560460e-03
-1.583490035075585167e+00 5.959036224551697014e-01 1.184910317766179645e-02 3.973849934775043335e-01 8.250653004601714996e-03
-1.394643627634013505e+00 3.670642386219890585e-01 8.577953785762704175e-03 6.286084137999193855e-01 1.154469770009114611e-02
-1.204562882034649229e+00 1.776321464949729423e-01 5.033172227692945915e-03 8.167987267722947031e-01 1.414034996556975607e-02
-1.016950559968123224e+00 1.041561015810469476e-01 3.274288989820230318e-03 8.951859099324432911e-01 1.542490530532253032e-02
-8.256354762110029721e-01 1.685423957120986693e-01 4.829368502049560460e-03 8.378418379671556115e-01 1.530828859001561425e-02
-6.355547306116748896e-01 3.442018489246109203e-01 8.250653004601714996e-03 6.634838621520353641e-01 1.365946489666845787e-02
-4.467083231700669232e-01 5.730902540021969305e-01 1.154469770009114611e-02 4.340528517995171920e-01 1.075283771428300200e-02
-2.566275775707388962e-01 7.802645878179315098e-01 1.414034996556975607e-02 2.260514123513592266e-01 7.168828474318408688e-03
-6.778117012916705375e-02 9.007295276989588650e-01 1.542490530532253032e-02 1.131915842124822102e-01 3.881304837254384663e-03
1.222998282529435959e-01 8.897931148300388671e-01 1.530828859001561425e-02 1.331060218197845924e-01 3.429791091321990944e-03
3.123805738522716369e-01 7.400316743346735393e-01 1.365946489666845787e-02 2.800113634934211504e-01 6.008660109660684916e-03
5.012269812938434654e-01 5.070927411062200463e-01 1.075283771428300200e-02 5.015254720576619585e-01 9.443410100598684936e-03
6.900733887354152385e-01 2.843045879445289525e-01 7.168828474318408688e-03 7.225182114780110965e-01 1.260386408060018212e-02
8.801541343347433211e-01 1.276128762193751154e-01 3.881304837254384663e-03 8.680266601575655772e-01 1.467748952443835575e-02
1.070235132716890192e+00 1.098715930377877348e-01 3.429791091321990944e-03 8.861521539065526643e-01 1.530377683091372829e-02
1.260315878316218052e+00 2.220092484848982528e-01 6.008660109660684916e-03 7.706209762572224786e-01 1.446058040574439707e-02
1.449162285757789936e+00 4.174604661628084079e-01 9.443410100598684936e-03 5.629369254380033327e-01 1.227466118035894227e-02
1.639243031357154212e+00 6.488365108817759630e-01 1.260386408060018212e-02 3.323511936566498903e-01 8.854569110925789022e-03
1.828089438798689903e+00 8.293558519403392282e-01 1.467748952443835575e-02 1.605792960701307726e-01 5.478128323901694172e-03
2.016936099023044271e+00 8.867805467733591573e-01 1.530377683091372829e-02 1.048131335177371337e-01 3.610094072536911697e-03
2.207016844622372354e+00 8.083640631732241788e-01 1.446058040574439707e-02 1.850391703081013528e-01 5.154088222875781444e-03
2.398331928379529021e+00 6.257910651388478573e-01 1.227466118035894227e-02 3.757368015128545458e-01 7.921282330025656085e-03
2.585943997663308291e+00 3.801772751147809437e-01 8.854569110925789022e-03 6.055585318548359908e-01 1.127206963229851651e-02
2.776024743262636374e+00 1.960103842040598343e-01 5.478128323901694172e-03 8.017541620342483188e-01 1.387137848027525898e-02
2.964871403486990964e+00 1.167074137195103362e-01 3.610094072536911697e-03 8.933393871940367159e-01 1.501936579739791659e-02
3.157420572619157095e+00 1.811368033528260868e-01 5.154088222875781444e-03 8.483292006153911879e-01 1.506803337041344101e-02
3.345032894685683100e+00 3.238691129749116104e-01 7.921282330025656085e-03 6.851456274471628971e-01 1.388322310484699056e-02
3.533879302127254984e+00 5.462633952462585540e-01 1.127206963229851651e-02 4.579581750410831598e-01 1.135472902109820742e-02
3.723960047726583067e+00 7.562638160780065233e-01 1.387137848027525898e-02 2.439674849392555189e-01 7.902131981234785871e-03
3.914041046108693411e+00 8.606955440217927134e-01 1.501936579739791659e-02 1.185957276219549161e-01 4.595881293972295736e-03
4.104121791708021938e+00 8.674989587113861589e-01 1.506803337041344101e-02 1.252374097086455529e-01 4.086090593917763615e-03
4.291733860991837624e+00 7.547277716709415163e-01 1.388322310484699056e-02 2.591508364931308650e-01 5.898397453421498800e-03
