# Coil O-Beam err ps_pos
-1.7500000 21.1139117 8.6602540 108.3750000
-1.5000000 57.5291225 12.3693169 108.3750000
-1.2500000 128.6696520 18.8414437 108.3750000
-1.0000000 278.3088146 25.7487864 108.3750000
-0.7500000 318.2021764 28.5306852 108.3750000
-0.5000000 203.7985611 26.6645833 108.3750000
-0.2500000 207.4811412 24.9198716 108.3750000
0.0000000 79.0262664 18.3847763 108.3750000
0.2500000 21.4796096 11.7473401 108.3750000
0.5000000 13.5948712 8.1853528 108.3750000
0.7500000 52.5779609 12.3288280 108.3750000
1.0000000 173.1515483 20.1494417 108.3750000
1.2500000 215.3006946 24.6170673 108.3750000
1.5000000 283.5402237 27.9642629 108.3750000
1.7500000 264.7393728 27.7488739 108.3750000
