# Coil O-Beam err ps_pos
-1.7500000 31.7533105 7.6811457 109.4252930
-1.5000000 104.5997287 13.3790882 109.4252930
-1.2500000 246.1017005 22.0680765 109.4252930
-1.0000000 368.7628584 28.5832119 109.4252930
-0.7500000 435.3432327 32.1558704 109.4252930
-0.5000000 435.7655072 32.5115364 109.4252930
-0.2500000 232.6750540 27.1661554 109.4252930
0.0000000 81.4206526 19.6723156 109.4252930
0.2500000 57.8224784 13.1909060 109.4252930
0.5000000 36.5777843 7.9372539 109.4252930
0.7500000 106.3670446 13.6014705 109.4252930
1.0000000 226.8075644 21.7944947 109.4252930
1.2500000 307.8464472 27.6224546 109.4252930
1.5000000 256.0656265 29.2916370 109.4252930
1.7500000 288.6720936 30.1330383 109.4252930
