# Coil_pos O-Beam err ps_pos
0.0000000 185.3535564 22.1585198 108.4501950
5.0000000 250.2683171 26.0000000 108.4501950
10.0000000 226.0526540 26.7020598 108.4501950
15.0000000 173.0529075 25.2388589 108.4501950
20.0000000 148.7458245 22.6936114 108.4501950
25.0000000 43.6816606 16.6733320 108.4501950
30.0000000 -12.7676062 10.4880885 108.4501950
35.0000000 -30.7895480 6.8556546 108.4501950
40.0000000 -7.0073261 10.5356538 108.4501950
45.0000000 69.2312272 17.2046505 108.4501950
50.0000000 146.9587801 22.4944438 108.4501950
55.0000000 219.9427285 26.0768096 108.4501950
60.0000000 215.0087603 26.5141472 108.4501950
65.0000000 156.7229328 24.2487113 108.4501950
70.0000000 107.6027475 20.5182845 108.4501950
75.0000000 -5.1599233 13.3416641 108.4501950
80.0000000 -32.4898351 7.8740079 108.4501950
85.0000000 0.8991693 9.2195445 108.4501950
90.0000000 68.7055235 15.0000000 108.4501950
95.0000000 116.8210006 19.9499373 108.4501950
