# Coil_pos O-Beam err ps_pos
0.0000000 638.6685302 32.8633535 109.6499020
5.0000000 918.4922559 39.5600809 109.6499020
10.0000000 1031.5234495 42.2965720 109.6499020
15.0000000 1182.7121000 43.7149860 109.6499020
20.0000000 846.9717642 37.6563408 109.6499020
25.0000000 571.1843242 30.3644529 109.6499020
30.0000000 245.1641123 20.0997512 109.6499020
35.0000000 28.4160937 10.1488916 109.6499020
40.0000000 74.0531886 14.3874946 109.6499020
45.0000000 309.2423221 24.8797106 109.6499020
50.0000000 659.1973785 34.5108679 109.6499020
55.0000000 950.8627793 40.7185461 109.6499020
60.0000000 1156.8411157 43.8178046 109.6499020
65.0000000 1058.3298510 41.6533312 109.6499020
70.0000000 704.5157098 34.4673759 109.6499020
75.0000000 398.4042473 25.7293607 109.6499020
80.0000000 99.9439670 14.4222051 109.6499020
85.0000000 31.7289462 10.6301458 109.6499020
90.0000000 149.6680543 18.5472370 109.6499020
95.0000000 567.5775716 31.1126984 109.6499020
