# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 60.0 1181 6923 640989 7602 3764598840 8104 0.0000000 0.0000000 108.4501950
5.0000000 60.0 1912 6729 637427 7354 3764598908 8641 0.0000000 0.0000000 108.4501950
10.0000000 60.0 2409 6825 643888 7655 3764598975 9234 0.0000000 0.0000000 108.4501950
15.0000000 60.0 2425 7083 642780 7403 3764599043 9508 0.0000000 0.0000000 108.4501950
20.0000000 60.0 1972 6805 636653 7763 3764599110 8777 0.0000000 0.0000000 108.4501950
25.0000000 60.0 1292 6848 641427 7600 3764599178 8140 0.0000000 0.0000000 108.4501950
30.0000000 60.0 580 6917 637531 7517 3764599246 7497 0.0000000 0.0000000 108.4501950
35.0000000 60.0 216 6799 641359 7464 3764599313 7015 0.0000000 0.0000000 108.4501950
40.0000000 60.0 209 6935 641696 7448 3764599381 7144 0.0000000 0.0000000 108.4501950
45.0000000 60.0 616 6831 644093 7519 3764599448 7447 0.0000000 0.0000000 108.4501950
50.0000000 60.0 1350 7014 644792 7559 3764599516 8364 0.0000000 0.0000000 108.4501950
55.0000000 60.0 2089 6894 647320 7394 3764599583 8983 0.0000000 0.0000000 108.4501950
60.0000000 60.0 2409 6908 643279 7553 3764599651 9317 0.0000000 0.0000000 108.4501950
65.0000000 60.0 2363 6924 639835 7311 3764599718 9287 0.0000000 0.0000000 108.4501950
70.0000000 60.0 1740 6974 640820 7403 3764599786 8714 0.0000000 0.0000000 108.4501950
75.0000000 60.0 1054 6834 642143 7544 3764599853 7888 0.0000000 0.0000000 108.4501950
80.0000000 60.0 405 6699 642358 7539 3764599921 7104 0.0000000 0.0000000 108.4501950
85.0000000 60.0 144 7104 644984 7589 3764599988 7248 0.0000000 0.0000000 108.4501950
90.0000000 60.0 390 7013 641805 7588 3764600056 7403 0.0000000 0.0000000 108.4501950
95.0000000 60.0 1064 6850 640467 7496 3764600123 7914 0.0000000 0.0000000 108.4501950
