# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 164 6681 663488 7486 3764628436 6845 0.0000000 0.0000000 109.3500980 13.2718750
-1.5000000 60.0 253 6777 695264 7356 3764628500 7030 0.0000000 0.0000000 109.3500980 13.2718750
-1.2500000 60.0 889 6636 687218 7492 3764628564 7525 0.0000000 0.0000000 109.3500980 13.2718750
-1.0000000 60.0 1621 6703 663037 7571 3764628628 8324 0.0000000 0.0000000 109.3500980 13.2718750
-0.7500000 60.0 2190 6832 739952 7470 3764628692 9022 0.0000000 0.0000000 109.3500980 13.2718750
-0.5000000 60.0 2410 6756 720691 7420 3764628757 9166 0.0000000 0.0000000 109.3500980 13.2718750
-0.2500000 60.0 1978 6643 723825 7439 3764628821 8621 0.0000000 0.0000000 109.3500980 13.2718750
0.0000000 60.0 1287 6588 712211 7483 3764628885 7875 0.0000000 0.0000000 109.3500980 13.2718750
0.2500000 60.0 556 6686 633045 7564 3764628949 7242 0.0000000 0.0000000 109.3500980 13.2718750
0.5000000 60.0 162 6712 636898 7388 3764629014 6874 0.0000000 0.0000000 109.3500980 13.2718750
0.7500000 60.0 274 6604 640348 7531 3764629078 6878 0.0000000 0.0000000 109.3500980 13.2718750
1.0000000 60.0 859 6754 639359 7421 3764629142 7613 0.0000000 0.0000000 109.3500980 13.2718750
1.2500000 60.0 1604 6776 635505 7469 3764629206 8380 0.0000000 0.0000000 109.3500980 13.2718750
1.5000000 60.0 2350 6758 759979 7548 3764629270 9108 0.0000000 0.0000000 109.3500980 13.2718750
1.7500000 60.0 2432 6784 753687 7445 3764629335 9216 0.0000000 0.0000000 109.3500980 13.2718750
