# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 30.0 237 3802 306931 3984 3763649839 4039 0.0000000 0.0000000 108.3750000
5.0000000 30.0 387 3673 304960 3983 3763649876 4060 0.0000000 0.0000000 108.3750000
10.0000000 30.0 514 3757 306501 3944 3763649914 4271 0.0000000 0.0000000 108.3750000
15.0000000 30.0 516 3780 302787 3957 3763649952 4296 0.0000000 0.0000000 108.3750000
20.0000000 30.0 488 3707 306206 3997 3763649989 4195 0.0000000 0.0000000 108.3750000
25.0000000 30.0 326 3776 304870 3968 3763650027 4102 0.0000000 0.0000000 108.3750000
30.0000000 30.0 145 3822 305630 3852 3763650065 3967 0.0000000 0.0000000 108.3750000
35.0000000 30.0 46 3748 305428 3919 3763650102 3794 0.0000000 0.0000000 108.3750000
40.0000000 30.0 58 3702 304525 3855 3763650140 3760 0.0000000 0.0000000 108.3750000
45.0000000 30.0 123 3758 305625 3978 3763650178 3881 0.0000000 0.0000000 108.3750000
50.0000000 30.0 281 3777 304749 3816 3763650215 4058 0.0000000 0.0000000 108.3750000
55.0000000 30.0 471 3652 305721 3874 3763650253 4123 0.0000000 0.0000000 108.3750000
60.0000000 30.0 495 3782 304646 3975 3763650291 4277 0.0000000 0.0000000 108.3750000
65.0000000 30.0 477 3736 304625 4020 3763650328 4213 0.0000000 0.0000000 108.3750000
70.0000000 30.0 384 3723 304684 3937 3763650366 4107 0.0000000 0.0000000 108.3750000
75.0000000 30.0 223 3725 305432 3966 3763650404 3948 0.0000000 0.0000000 108.3750000
80.0000000 30.0 83 3784 304358 4007 3763650441 3867 0.0000000 0.0000000 108.3750000
85.0000000 30.0 33 3773 306071 3978 3763650479 3806 0.0000000 0.0000000 108.3750000
90.0000000 30.0 86 3573 304318 4089 3763650516 3659 0.0000000 0.0000000 108.3750000
95.0000000 30.0 217 3742 304067 3945 3763650554 3959 0.0000000 0.0000000 108.3750000
