# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 96 6262 614607 7913 3763944492 6358 0.0000000 0.0000000 109.7250980 13.8500000
-1.5000000 60.0 108 6304 691588 7865 3763944556 6412 0.0000000 0.0000000 109.7250980 13.8500000
-1.2500000 60.0 388 6194 690276 7836 3763944620 6582 0.0000000 0.0000000 109.7250980 13.8500000
-1.0000000 60.0 820 6272 720241 7916 3763944684 7092 0.0000000 0.0000000 109.7250980 13.8500000
-0.7500000 60.0 1110 6345 707706 7809 3763944749 7455 0.0000000 0.0000000 109.7250980 13.8500000
-0.5000000 60.0 1183 6383 692435 7807 3763944813 7566 0.0000000 0.0000000 109.7250980 13.8500000
-0.2500000 60.0 1042 6319 720570 7980 3763944877 7361 0.0000000 0.0000000 109.7250980 13.8500000
0.0000000 60.0 695 6300 722975 8060 3763944942 6995 0.0000000 0.0000000 109.7250980 13.8500000
0.2500000 60.0 321 6189 720724 7855 3763945006 6510 0.0000000 0.0000000 109.7250980 13.8500000
0.5000000 60.0 78 6316 649383 7945 3763945070 6394 0.0000000 0.0000000 109.7250980 13.8500000
0.7500000 60.0 139 6386 636417 7950 3763945135 6525 0.0000000 0.0000000 109.7250980 13.8500000
1.0000000 60.0 408 6510 612129 7860 3763945199 6918 0.0000000 0.0000000 109.7250980 13.8500000
1.2500000 60.0 837 6259 625463 7972 3763945263 7096 0.0000000 0.0000000 109.7250980 13.8500000
1.5000000 60.0 1059 6494 642569 7934 3763945327 7553 0.0000000 0.0000000 109.7250980 13.8500000
1.7500000 60.0 1260 6250 643358 7924 3763945392 7510 0.0000000 0.0000000 109.7250980 13.8500000
