# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 60.0 518 9404 637019 7887 3764493292 9922 0.0000000 0.0000000 108.0747070
5.0000000 60.0 783 9475 630907 8030 3764493360 10258 0.0000000 0.0000000 108.0747070
10.0000000 60.0 927 9339 623851 7943 3764493427 10266 0.0000000 0.0000000 108.0747070
15.0000000 60.0 908 9490 621793 7817 3764493495 10398 0.0000000 0.0000000 108.0747070
20.0000000 60.0 681 9530 629457 8016 3764493563 10211 0.0000000 0.0000000 108.0747070
25.0000000 60.0 421 9660 624992 7893 3764493630 10081 0.0000000 0.0000000 108.0747070
30.0000000 60.0 183 9413 626101 7869 3764493698 9596 0.0000000 0.0000000 108.0747070
35.0000000 60.0 90 9501 628479 7874 3764493765 9591 0.0000000 0.0000000 108.0747070
40.0000000 60.0 130 9562 622524 7844 3764493833 9692 0.0000000 0.0000000 108.0747070
45.0000000 60.0 321 9519 622514 7948 3764493900 9840 0.0000000 0.0000000 108.0747070
50.0000000 60.0 614 9533 625078 7842 3764493968 10147 0.0000000 0.0000000 108.0747070
55.0000000 60.0 843 9501 628021 8098 3764494035 10344 0.0000000 0.0000000 108.0747070
60.0000000 60.0 887 9628 625483 7757 3764494103 10515 0.0000000 0.0000000 108.0747070
65.0000000 60.0 822 9628 621176 7763 3764494170 10450 0.0000000 0.0000000 108.0747070
70.0000000 60.0 622 9423 621916 7830 3764494238 10045 0.0000000 0.0000000 108.0747070
75.0000000 60.0 339 9464 622970 7895 3764494305 9803 0.0000000 0.0000000 108.0747070
80.0000000 60.0 107 9623 626032 7888 3764494373 9730 0.0000000 0.0000000 108.0747070
85.0000000 60.0 76 9791 631201 7998 3764494441 9867 0.0000000 0.0000000 108.0747070
90.0000000 60.0 226 9698 627772 7827 3764494508 9924 0.0000000 0.0000000 108.0747070
95.0000000 60.0 448 9681 630918 7949 3764494576 10129 0.0000000 0.0000000 108.0747070
