# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 123 7315 627674 7827 3764499359 7438 0.0000000 0.0000000 108.2255860 12.0281250
-1.5000000 60.0 158 7448 624403 7840 3764499423 7606 0.0000000 0.0000000 108.2255860 12.0281250
-1.2500000 60.0 648 7239 628391 7780 3764499487 7887 0.0000000 0.0000000 108.2255860 12.0281250
-1.0000000 60.0 1226 7274 629139 7677 3764499551 8500 0.0000000 0.0000000 108.2255860 12.0281250
-0.7500000 60.0 1649 7424 623661 7913 3764499615 9073 0.0000000 0.0000000 108.2255860 12.0281250
-0.5000000 60.0 1829 7261 625656 7749 3764499679 9090 0.0000000 0.0000000 108.2255860 12.0281250
-0.2500000 60.0 1571 7268 622970 7901 3764499744 8839 0.0000000 0.0000000 108.2255860 12.0281250
0.0000000 60.0 1064 7218 626332 7992 3764499808 8282 0.0000000 0.0000000 108.2255860 12.0281250
0.2500000 60.0 480 7307 622366 7952 3764499872 7787 0.0000000 0.0000000 108.2255860 12.0281250
0.5000000 60.0 116 7162 626239 7790 3764499936 7278 0.0000000 0.0000000 108.2255860 12.0281250
0.7500000 60.0 173 7347 627325 7914 3764500000 7520 0.0000000 0.0000000 108.2255860 12.0281250
1.0000000 60.0 593 7445 626887 8059 3764500064 8038 0.0000000 0.0000000 108.2255860 12.0281250
1.2500000 60.0 1122 7398 623809 7838 3764500129 8520 0.0000000 0.0000000 108.2255860 12.0281250
1.5000000 60.0 1698 7302 629959 7889 3764500193 9000 0.0000000 0.0000000 108.2255860 12.0281250
1.7500000 60.0 1784 7215 623396 7767 3764500257 8999 0.0000000 0.0000000 108.2255860 12.0281250
