*Begin rocking: 06/03/2023 16:36:22
*Points: 0
*
*notes: 
*Rho-Axis: 9.180
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	1.6735100	5	4	5	73887	187	9
         1	1.6735500	5	0	12	73815	238	12
         2	1.6736000	5	7	16	73609	236	23
         3	1.6736600	5	8	35	75845	293	43
         4	1.6737100	5	13	44	77928	330	57
         5	1.6737500	5	20	87	76694	382	107
         6	1.6737900	5	21	130	71362	411	151
         7	1.6738600	5	38	183	73396	488	221
         8	1.6739000	5	31	229	73457	557	260
         9	1.6739500	5	40	291	81492	598	331
        10	1.6740000	5	52	330	84166	593	382
        11	1.6740500	5	50	384	84542	616	434
        12	1.6741000	5	40	386	84817	658	426
        13	1.6741500	5	48	324	84839	567	372
        14	1.6742000	5	36	253	85079	533	289
        15	1.6742500	5	27	217	85081	502	244
        16	1.6743000	5	21	159	85623	466	180
        17	1.6743500	5	24	119	83706	434	143
        18	1.6744100	5	15	72	81418	365	87
        19	1.6744600	5	11	58	76242	335	69
        20	1.6745100	5	4	22	77777	308	26
        21	1.6745600	5	0	10	72208	245	10
        22	1.6746000	5	2	7	73455	258	9
        23	1.6746600	5	4	9	74759	218	13
        24	1.6747000	5	0	27	73843	241	27
        25	1.6747500	5	1	40	74150	262	41
        26	1.6748100	5	1	24	74170	256	25
        27	1.6748500	5	1	19	71543	270	20
        28	1.6749100	5	1	18	75494	267	19
        29	1.6749600	5	2	23	78482	297	25
        30	1.6750000	5	4	42	74968	348	46
        31	1.6750600	5	6	68	70052	387	74
        32	1.6751000	5	19	118	73596	475	137
        33	1.6751500	5	9	187	79242	495	196
        34	1.6752000	5	17	229	79803	521	246
        35	1.6752500	5	23	290	80915	588	313
        36	1.6753000	5	16	329	79933	616	345
        37	1.6753600	5	25	372	78898	596	397
        38	1.6754100	5	18	357	81000	572	375
        39	1.6754600	5	18	340	80121	578	358
        40	1.6755100	5	11	312	80302	578	323
        41	1.6755500	5	13	217	80294	513	230
        42	1.6756000	5	9	168	80576	485	177
        43	1.6756500	5	4	104	76486	403	108
        44	1.6757100	5	6	57	76142	345	63
*stopped by user: 06/03/2023 16:41:24
