*Begin rocking: 13/06/2023 08:32:48
*Points: 0
*
*notes: 
*Rho-Axis: 1.700
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	5.0224200	5	127	191	47364	32	318
         1	5.0224700	5	113	180	47195	19	293
         2	5.0225300	5	112	235	47353	30	347
         3	5.0225800	5	139	213	47389	29	352
         4	5.0226200	5	131	201	46966	27	332
         5	5.0226800	5	116	222	47350	21	338
         6	5.0227200	5	115	268	47454	28	383
         7	5.0227700	5	135	266	47277	35	401
         8	5.0228200	5	116	267	47110	36	383
         9	5.0228900	5	116	313	47376	43	429
        10	5.0229200	5	144	336	47237	42	480
        11	5.0229800	5	129	314	47406	43	443
        12	5.0230200	5	132	335	47554	47	467
        13	5.0230800	5	126	386	47415	50	512
        14	5.0231200	5	144	388	47369	51	532
        15	5.0231700	5	138	453	47149	54	591
        16	5.0232200	5	159	500	47417	66	659
        17	5.0232800	5	148	492	47452	62	640
        18	5.0233200	5	166	552	47447	75	718
        19	5.0233600	5	168	553	47645	73	721
        20	5.0234200	5	156	637	47424	77	793
        21	5.0234700	5	182	718	47733	91	900
        22	5.0235300	5	204	781	47387	97	985
        23	5.0235900	5	218	894	47713	105	1112
        24	5.0236100	5	210	982	47326	120	1192
        25	5.0236800	5	255	1098	47402	133	1353
        26	5.0237300	5	264	1165	47249	166	1429
        27	5.0237900	5	303	1388	47467	152	1691
        28	5.0238100	5	328	1484	47536	165	1812
        29	5.0238700	5	399	1717	47429	196	2116
        30	5.0239200	5	497	1889	47483	259	2386
        31	5.0239700	5	753	2364	47420	284	3117
        32	5.0240400	5	891	2782	47429	364	3673
        33	5.0240600	5	1191	3205	47411	400	4396
        34	5.0241300	5	1545	3739	47300	481	5284
        35	5.0241800	5	2120	4996	47579	617	7116
        36	5.0242200	5	2441	5720	47376	677	8161
        37	5.0242800	5	3002	7280	47302	896	10282
        38	5.0243200	5	3479	8440	47362	980	11919
        39	5.0243700	5	3730	9349	47575	1109	13079
        40	5.0244200	5	3817	9760	47378	1061	13577
        41	5.0244800	5	3700	9567	47170	1083	13267
        42	5.0245300	5	3565	9132	47098	1021	12697
        43	5.0245800	5	3031	8387	47096	979	11418
        44	5.0246200	5	2875	7765	47530	868	10640
        45	5.0246800	5	2262	6091	47254	750	8353
        46	5.0247300	5	1852	5148	47048	645	7000
        47	5.0247700	5	1416	4149	47314	525	5565
        48	5.0248200	5	1013	3505	47478	424	4518
        49	5.0248800	5	734	2775	47371	357	3509
        50	5.0249300	5	626	2505	47439	324	3131
        51	5.0249800	5	511	2139	47574	264	2650
        52	5.0250300	5	375	1865	47336	233	2240
        53	5.0250800	5	366	1655	47637	206	2021
        54	5.0251300	5	284	1436	47474	170	1720
        55	5.0251800	5	259	1242	47261	146	1501
        56	5.0252300	5	243	1148	46989	142	1391
        57	5.0252600	5	230	1044	47408	151	1274
        58	5.0253400	5	223	920	47298	107	1143
        59	5.0253800	5	187	808	47466	93	995
        60	5.0254200	5	187	780	47437	97	967
        61	5.0254800	5	188	619	47447	92	807
        62	5.0255200	5	175	609	47320	77	784
        63	5.0255900	5	169	530	47573	72	699
        64	5.0256200	5	148	529	47290	45	677
        65	5.0256800	5	138	458	47276	60	596
        66	5.0257400	5	148	468	47424	44	616
        67	5.0257800	5	136	417	47090	46	553
        68	5.0258300	5	123	386	47122	48	509
        69	5.0258700	5	137	357	47261	45	494
        70	5.0259200	5	115	322	47192	53	437
        71	5.0259900	5	114	293	47155	28	407
        72	5.0260200	5	123	256	47585	34	379
        73	5.0260900	5	129	237	47217	30	366
        74	5.0261200	5	127	254	47475	41	381
        75	5.0261700	5	127	273	47286	35	400
        76	5.0262300	5	111	202	47436	32	313
        77	5.0262800	5	119	232	46988	19	351
        78	5.0263300	5	124	205	47666	33	329
        79	5.0263800	5	122	198	47332	26	320
        80	5.0264200	5	123	218	47434	17	341
        81	5.0264800	5	104	217	47580	21	321
        82	5.0265200	5	119	186	47400	21	305
        83	5.0265800	5	113	156	47317	19	269
        84	5.0266200	5	104	182	47124	17	286
        85	5.0266800	5	112	158	47552	20	270
        86	5.0267300	5	124	177	47410	23	301
        87	5.0267800	5	125	140	47521	16	265
        88	5.0268300	5	116	118	47415	18	234
        89	5.0268800	5	108	136	47502	24	244
        90	5.0269300	5	103	141	47446	30	244
        91	5.0269800	5	101	132	47288	15	233
        92	5.0270300	5	109	133	47295	13	242
        93	5.0270800	5	106	116	47237	17	222
        94	5.0271300	5	109	106	47518	12	215
        95	5.0271700	5	95	103	47421	15	198
        96	5.0272300	5	106	96	47058	16	202
        97	5.0272800	5	120	106	47239	14	226
        98	5.0273300	5	117	99	47473	15	216
*end: 13/06/2023 08:43:58
