# Coil O-Beam err ps_pos
-1.4000000 0.1415481 0.0043998 1.1865230
-1.2000000 0.1096098 0.0038875 1.1865230
-1.0000000 0.0644943 0.0029530 1.1865230
-0.8000000 0.0243936 0.0018284 1.1865230
-0.6000000 0.0087330 0.0011003 1.1865230
-0.4000000 0.0160987 0.0014696 1.1865230
-0.2000000 0.0421053 0.0023992 1.1865230
0.0000000 0.0859300 0.0034345 1.1865230
0.2000000 0.1276797 0.0041490 1.1865230
0.4000000 0.1498909 0.0045214 1.1865230
0.6000000 0.1587428 0.0045979 1.1865230
0.8000000 0.1457080 0.0044628 1.1865230
1.0000000 0.1061115 0.0037753 1.1865230
1.2000000 0.0654915 0.0029800 1.1865230
1.4000000 0.0252870 0.0018591 1.1865230
