# Coil O-Beam err ps_pos
-1.4000000 0.0263770 0.0021810 0.2856450
-1.2000000 0.0140377 0.0017993 0.2856450
-1.0000000 0.0083296 0.0014343 0.2856450
-0.8000000 0.0014283 0.0009609 0.2856450
-0.6000000 -0.0030295 0.0005377 0.2856450
-0.4000000 -0.0003454 0.0007416 0.2856450
-0.2000000 0.0083390 0.0012792 0.2856450
0.0000000 0.0154466 0.0016832 0.2856450
0.2000000 0.0250609 0.0020679 0.2856450
0.4000000 0.0305362 0.0022828 0.2856450
0.6000000 0.0304481 0.0023314 0.2856450
0.8000000 0.0307397 0.0022753 0.2856450
1.0000000 0.0132305 0.0018161 0.2856450
1.2000000 0.0094864 0.0015041 0.2856450
1.4000000 0.0035632 0.0010813 0.2856450
