# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 60.0 625 6606 373176 10181 3770486999 7231 0.0000000 0.0000000 -0.7250980
-0.0929340 60.0 455 6725 372957 10117 3770487126 7180 0.0000000 0.0000000 -0.7250980
-0.0858680 60.0 328 6701 372610 10265 3770487253 7029 0.0000000 0.0000000 -0.7250980
-0.0788020 60.0 290 6580 371643 10352 3770487380 6870 0.0000000 0.0000000 -0.7250980
-0.0717360 60.0 223 6710 372838 10141 3770487507 6933 0.0000000 0.0000000 -0.7250980
-0.0646700 60.0 251 6623 373393 10235 3770487634 6874 0.0000000 0.0000000 -0.7250980
-0.0576040 60.0 379 6784 373158 9945 3770487761 7163 0.0000000 0.0000000 -0.7250980
-0.0505380 60.0 484 6414 373078 10081 3770487888 6898 0.0000000 0.0000000 -0.7250980
-0.0434720 60.0 576 6622 373432 10249 3770488015 7198 0.0000000 0.0000000 -0.7250980
-0.0364060 60.0 720 6612 372815 10140 3770488142 7332 0.0000000 0.0000000 -0.7250980
-0.0293400 60.0 878 6647 372624 10164 3770488269 7525 0.0000000 0.0000000 -0.7250980
-0.0222740 60.0 1056 6474 372120 10010 3770488396 7530 0.0000000 0.0000000 -0.7250980
-0.0152080 60.0 1107 6501 371848 10075 3770488523 7608 0.0000000 0.0000000 -0.7250980
-0.0081420 60.0 1076 6454 372338 10197 3770488650 7530 0.0000000 0.0000000 -0.7250980
-0.0010760 60.0 1081 6566 371913 10169 3770488777 7647 0.0000000 0.0000000 -0.7250980
0.0059900 60.0 995 6675 371444 10146 3770488903 7670 0.0000000 0.0000000 -0.7250980
0.0130560 60.0 848 6740 372966 10225 3770489030 7588 0.0000000 0.0000000 -0.7250980
0.0201220 60.0 806 6668 371728 10159 3770489157 7474 0.0000000 0.0000000 -0.7250980
0.0271880 60.0 619 6756 372624 10315 3770489284 7375 0.0000000 0.0000000 -0.7250980
0.0342540 60.0 445 6563 372696 10009 3770489411 7008 0.0000000 0.0000000 -0.7250980
0.0413200 60.0 340 6642 371227 10253 3770489538 6982 0.0000000 0.0000000 -0.7250980
0.0483860 60.0 252 6665 371677 10158 3770489665 6917 0.0000000 0.0000000 -0.7250980
0.0554520 60.0 238 6519 372125 10177 3770489792 6757 0.0000000 0.0000000 -0.7250980
0.0625180 60.0 257 6674 372644 10142 3770489919 6931 0.0000000 0.0000000 -0.7250980
0.0695840 60.0 297 6837 372900 9955 3770490046 7134 0.0000000 0.0000000 -0.7250980
0.0766500 60.0 463 6583 372680 10224 3770490173 7046 0.0000000 0.0000000 -0.7250980
0.0837160 60.0 593 6759 372221 10146 3770490300 7352 0.0000000 0.0000000 -0.7250980
0.0907820 60.0 724 6718 372374 10191 3770490427 7442 0.0000000 0.0000000 -0.7250980
0.0978480 60.0 915 6528 372806 10218 3770490554 7443 0.0000000 0.0000000 -0.7250980
0.1049140 60.0 1056 6715 373287 9987 3770490681 7771 0.0000000 0.0000000 -0.7250980
0.1119800 60.0 1115 6575 372881 9950 3770490808 7690 0.0000000 0.0000000 -0.7250980
