# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 40.0 276 6113 248930 6983 3770655195 6389 0.0000000 0.0000000 0.3625490
-0.0929340 40.0 193 6221 248182 6881 3770655282 6414 0.0000000 0.0000000 0.3625490
-0.0858680 40.0 141 6235 248873 6803 3770655370 6376 0.0000000 0.0000000 0.3625490
-0.0788020 40.0 101 6205 248540 6925 3770655457 6306 0.0000000 0.0000000 0.3625490
-0.0717360 40.0 100 6086 247954 6836 3770655544 6186 0.0000000 0.0000000 0.3625490
-0.0646700 40.0 109 6079 248531 6955 3770655631 6188 0.0000000 0.0000000 0.3625490
-0.0576040 40.0 114 6084 248356 6693 3770655718 6198 0.0000000 0.0000000 0.3625490
-0.0505380 40.0 149 6212 248269 6887 3770655806 6361 0.0000000 0.0000000 0.3625490
-0.0434720 40.0 205 6229 248402 6911 3770655893 6434 0.0000000 0.0000000 0.3625490
-0.0364060 40.0 231 6176 249066 6890 3770655980 6407 0.0000000 0.0000000 0.3625490
-0.0293400 40.0 295 6161 248463 6822 3770656067 6456 0.0000000 0.0000000 0.3625490
-0.0222740 40.0 361 6249 248173 6858 3770656155 6610 0.0000000 0.0000000 0.3625490
-0.0152080 40.0 409 6121 247810 6838 3770656242 6530 0.0000000 0.0000000 0.3625490
-0.0081420 40.0 399 6083 248062 7026 3770656329 6482 0.0000000 0.0000000 0.3625490
-0.0010760 40.0 435 6149 248072 6986 3770656416 6584 0.0000000 0.0000000 0.3625490
0.0059900 40.0 382 6229 248756 6830 3770656503 6611 0.0000000 0.0000000 0.3625490
0.0130560 40.0 376 6248 248594 6895 3770656591 6624 0.0000000 0.0000000 0.3625490
0.0201220 40.0 324 6150 248342 6852 3770656678 6474 0.0000000 0.0000000 0.3625490
0.0271880 40.0 284 6224 248553 6813 3770656765 6508 0.0000000 0.0000000 0.3625490
0.0342540 40.0 232 5968 248367 6851 3770656852 6200 0.0000000 0.0000000 0.3625490
0.0413200 40.0 206 6111 248648 6803 3770656940 6317 0.0000000 0.0000000 0.3625490
0.0483860 40.0 114 6054 247395 6792 3770657027 6168 0.0000000 0.0000000 0.3625490
0.0554520 40.0 86 6041 248292 6972 3770657114 6127 0.0000000 0.0000000 0.3625490
0.0625180 40.0 101 6044 249212 6883 3770657201 6145 0.0000000 0.0000000 0.3625490
0.0695840 40.0 122 6057 248662 6869 3770657289 6179 0.0000000 0.0000000 0.3625490
0.0766500 40.0 92 6196 248771 6899 3770657376 6288 0.0000000 0.0000000 0.3625490
0.0837160 40.0 182 6099 248382 6861 3770657463 6281 0.0000000 0.0000000 0.3625490
0.0907820 40.0 185 6094 248833 6771 3770657550 6279 0.0000000 0.0000000 0.3625490
0.0978480 40.0 264 6257 248269 6858 3770657638 6521 0.0000000 0.0000000 0.3625490
0.1049140 40.0 322 6063 247866 6797 3770657725 6385 0.0000000 0.0000000 0.3625490
0.1119800 40.0 422 6090 248098 6834 3770657812 6512 0.0000000 0.0000000 0.3625490
