# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 60.0 440 6973 371665 10241 3770897281 7413 0.0000000 0.0000000 0.8020020
-0.0858680 60.0 288 7024 371761 10264 3770897409 7312 0.0000000 0.0000000 0.8020020
-0.0717360 60.0 247 6971 371496 10177 3770897536 7218 0.0000000 0.0000000 0.8020020
-0.0646700 60.0 275 7008 369217 10384 3770897663 7283 0.0000000 0.0000000 0.8020020
-0.0505380 60.0 525 7127 367928 10277 3770897790 7652 0.0000000 0.0000000 0.8020020
-0.0364060 60.0 797 7041 367636 10331 3770897917 7838 0.0000000 0.0000000 0.8020020
-0.0222740 60.0 1037 6943 368294 10218 3770898045 7980 0.0000000 0.0000000 0.8020020
-0.0081420 60.0 1080 7108 369366 10237 3770898172 8188 0.0000000 0.0000000 0.8020020
0.0059900 60.0 960 7089 367838 10175 3770898299 8049 0.0000000 0.0000000 0.8020020
0.0201220 60.0 689 6892 368744 10313 3770898426 7581 0.0000000 0.0000000 0.8020020
0.0342540 60.0 393 6953 368013 10359 3770898553 7346 0.0000000 0.0000000 0.8020020
0.0483860 60.0 247 7072 368223 10197 3770898680 7319 0.0000000 0.0000000 0.8020020
0.0625180 60.0 291 6965 368157 10356 3770898808 7256 0.0000000 0.0000000 0.8020020
0.0766500 60.0 534 6962 369612 10415 3770898935 7496 0.0000000 0.0000000 0.8020020
0.0907820 60.0 824 7010 369066 10263 3770899062 7834 0.0000000 0.0000000 0.8020020
0.1049140 60.0 1091 7065 368751 10357 3770899189 8156 0.0000000 0.0000000 0.8020020
