# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 60.0 545 7131 379519 10222 3770839526 7676 0.0000000 0.0000000 -0.9118650
-0.0858680 60.0 343 7521 371583 10420 3770839653 7864 0.0000000 0.0000000 -0.9118650
-0.0717360 60.0 207 7310 366859 10300 3770839780 7517 0.0000000 0.0000000 -0.9118650
-0.0646700 60.0 244 7201 356550 10245 3770839907 7445 0.0000000 0.0000000 -0.9118650
-0.0505380 60.0 414 7188 357434 10402 3770840034 7602 0.0000000 0.0000000 -0.9118650
-0.0364060 60.0 682 7190 356192 10267 3770840161 7872 0.0000000 0.0000000 -0.9118650
-0.0222740 60.0 1007 7330 357180 10150 3770840288 8337 0.0000000 0.0000000 -0.9118650
-0.0081420 60.0 1053 7249 357961 10319 3770840415 8302 0.0000000 0.0000000 -0.9118650
0.0059900 60.0 1012 7404 356803 10394 3770840542 8416 0.0000000 0.0000000 -0.9118650
0.0201220 60.0 756 7244 357218 9989 3770840669 8000 0.0000000 0.0000000 -0.9118650
0.0342540 60.0 470 7192 373335 10232 3770840796 7662 0.0000000 0.0000000 -0.9118650
0.0483860 60.0 250 7151 373585 10174 3770840923 7401 0.0000000 0.0000000 -0.9118650
0.0625180 60.0 231 7310 373751 10303 3770841050 7541 0.0000000 0.0000000 -0.9118650
0.0766500 60.0 346 7237 373415 10333 3770841177 7583 0.0000000 0.0000000 -0.9118650
0.0907820 60.0 646 7301 374279 10328 3770841304 7947 0.0000000 0.0000000 -0.9118650
0.1049140 60.0 1036 7106 373688 10369 3770841431 8142 0.0000000 0.0000000 -0.9118650
