# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-1.4000000 60.0 1093 7327 376622 10121 3771129103 8420 0.0000000 0.0000000 0.9448240
-1.2000000 60.0 721 7410 375632 10169 3771129167 8131 0.0000000 0.0000000 0.9448240
-1.0000000 60.0 421 7651 376449 10336 3771129230 8072 0.0000000 0.0000000 0.9448240
-0.8000000 60.0 164 7424 375735 10207 3771129294 7588 0.0000000 0.0000000 0.9448240
-0.6000000 60.0 72 7339 375911 10172 3771129357 7411 0.0000000 0.0000000 0.9448240
-0.4000000 60.0 125 7332 375915 10203 3771129420 7457 0.0000000 0.0000000 0.9448240
-0.2000000 60.0 425 7360 375025 10204 3771129484 7785 0.0000000 0.0000000 0.9448240
0.0000000 60.0 708 7280 376207 10182 3771129547 7988 0.0000000 0.0000000 0.9448240
0.2000000 60.0 996 7404 375607 10037 3771129610 8400 0.0000000 0.0000000 0.9448240
0.4000000 60.0 1138 7418 375596 10021 3771129674 8556 0.0000000 0.0000000 0.9448240
0.6000000 60.0 1218 7401 376578 10179 3771129737 8619 0.0000000 0.0000000 0.9448240
0.8000000 60.0 1003 7430 375833 10263 3771129801 8433 0.0000000 0.0000000 0.9448240
1.0000000 60.0 792 7533 376628 10275 3771129864 8325 0.0000000 0.0000000 0.9448240
1.2000000 60.0 440 7615 377233 10091 3771129927 8055 0.0000000 0.0000000 0.9448240
1.4000000 60.0 181 7460 377525 10155 3771129991 7641 0.0000000 0.0000000 0.9448240
