# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-1.4000000 60.0 589 9786 376033 10094 3770989222 10375 0.0000000 0.0000000 -0.4943850
-1.2000000 60.0 430 9616 375298 10227 3770989286 10046 0.0000000 0.0000000 -0.4943850
-1.0000000 60.0 287 9758 376041 10221 3770989349 10045 0.0000000 0.0000000 -0.4943850
-0.8000000 60.0 104 9718 375119 10213 3770989412 9822 0.0000000 0.0000000 -0.4943850
-0.6000000 60.0 30 9794 376132 10267 3770989475 9824 0.0000000 0.0000000 -0.4943850
-0.4000000 60.0 69 9780 375687 10218 3770989539 9849 0.0000000 0.0000000 -0.4943850
-0.2000000 60.0 194 9601 375425 10172 3770989602 9795 0.0000000 0.0000000 -0.4943850
0.0000000 60.0 332 9864 376005 10165 3770989665 10196 0.0000000 0.0000000 -0.4943850
0.2000000 60.0 594 9831 375917 9969 3770989728 10425 0.0000000 0.0000000 -0.4943850
0.4000000 60.0 640 9520 374831 10259 3770989791 10160 0.0000000 0.0000000 -0.4943850
0.6000000 60.0 702 9690 374975 10207 3770989855 10392 0.0000000 0.0000000 -0.4943850
0.8000000 60.0 617 9635 375450 10373 3770989918 10252 0.0000000 0.0000000 -0.4943850
1.0000000 60.0 446 9647 376714 10108 3770989981 10093 0.0000000 0.0000000 -0.4943850
1.2000000 60.0 305 9735 376448 10074 3770990044 10040 0.0000000 0.0000000 -0.4943850
1.4000000 60.0 137 9814 375933 10281 3770990108 9951 0.0000000 0.0000000 -0.4943850
