* begin:	27/06/2023 21:01:27
* script file:	D:\data\Cycle 193\exp_CRG-3033\rawdata\sc\ifg20s.cfg
*
[STANDARD]
		
[ifg20s]
	created 15/06/2023   12:06
[SCAN]
	file path	.
	name		*
	category	standard
	# repeats	1
	notes		room to enter remarks
[SUBSCAN]
	S18.axis2.phaseshifter 1	56	deg	-5.000000	4.900000	0.180000	0.000000	FALSE	time	20.000000			
[ENDSCAN]
[END]

* remarks:	room to enter remarks
*
1	-4.9987793	20.0	168	2168	125117	5	3770737314	2336	0.0000000	0.0000000
2	-4.8339844	20.0	132	2176	124814	3	3770737341	2308	0.0000000	0.0000000
3	-4.6362305	20.0	148	2199	124926	3	3770737367	2347	0.0000000	0.0000000
4	-4.4604492	20.0	149	2221	125245	4	3770737394	2370	0.0000000	0.0000000
5	-4.2846680	20.0	124	2186	124833	2	3770737421	2310	0.0000000	0.0000000
6	-4.1088867	20.0	130	2156	124988	5	3770737447	2286	0.0000000	0.0000000
7	-3.9221191	6.1	39	631	38558	0	3770737460	670	0.0000000	0.0000000
* stopped by user: 27/06/2023 21:04:20
