* begin:	07/09/2023 21:50:29
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_A1_alpha_ifg.cfg
*
* no cfg file, sc file created manually
* 0	1.9885254	10.0	42949	2269	61043	107416	3776962233	45218	0.0000000	0.0000000
* Date: 07/09/2023	Time: 22:10
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1200.005000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.01	164	417
1	3.00	1200.01	323	761
2	6.00	1200.01	329	779
3	9.00	1200.01	306	841
4	12.00	1200.01	334	673
5	15.00	1200.01	364	630
6	18.00	1200.01	351	546
7	21.00	1200.01	330	420
8	24.00	1200.01	332	394
9	27.00	1200.01	279	329
10	30.00	1200.01	283	413
11	33.00	1200.01	262	489
12	36.00	1200.01	253	557
13	39.00	1200.01	200	637
14	42.00	1200.01	193	773
15	45.00	1200.01	203	850
16	48.00	1200.01	199	988
17	51.00	1200.01	221	1001
18	54.00	1200.01	211	994
19	57.00	1200.01	240	960
20	60.00	1200.01	241	950
21	63.00	1200.01	250	918
22	66.00	1200.01	307	941
23	69.00	1200.01	319	887
24	72.00	1200.01	326	1051
25	75.00	1200.01	312	914
26	78.00	1200.01	325	1027
27	81.00	1200.01	325	1004
28	84.00	1200.01	361	917
29	87.00	1200.01	306	914
30	90.00	1200.01	316	804
31	93.00	1200.01	350	694
32	96.00	1200.01	341	605
33	99.00	1200.01	328	475
34	102.00	1200.01	344	362
35	105.00	1200.01	358	328
36	108.00	1200.01	369	246
37	111.00	1200.01	340	233
38	114.00	1200.01	330	235
39	117.00	1200.01	326	212
40	120.00	1200.01	325	219
41	123.00	1200.01	327	270
42	126.00	1200.01	323	320
43	129.00	1200.01	309	366
44	132.00	1200.01	329	499
45	135.00	1200.01	304	562
46	138.00	1200.01	306	738
47	141.00	1200.01	287	850
48	144.00	1200.01	289	953
49	147.00	1200.01	249	975
50	150.00	1200.01	304	1022
51	153.00	1200.01	270	960
52	156.00	1200.01	284	990
53	159.00	1200.01	283	1013
54	162.00	1200.01	322	939
55	165.00	1200.01	276	918
56	168.00	1200.01	326	858
57	171.00	1200.01	331	898
58	174.00	1200.01	332	978
59	177.00	1200.01	312	994
60	180.00	1200.01	335	947
61	183.00	1200.01	325	1017
62	186.00	1200.01	310	1001
63	189.00	1200.01	352	916
64	192.00	1200.01	357	756
65	195.00	1200.01	349	644
66	198.00	1200.01	324	481
67	201.00	1200.01	354	410
68	204.00	1200.01	355	285
69	207.00	1200.01	361	292
70	210.00	1200.01	349	270
71	213.00	1200.01	315	316
72	216.00	1200.01	346	398
73	219.00	1200.01	325	374
74	222.00	1200.01	363	477
75	225.00	1200.01	310	599
76	228.00	1200.01	347	634
77	231.00	1200.01	290	763
78	234.00	1200.01	351	831
79	237.00	1200.01	311	878
80	240.00	1200.01	315	816
81	243.00	1200.01	280	839
82	246.00	1200.01	304	835
83	249.00	1200.01	302	890
84	252.00	1200.01	308	910
85	255.00	1200.01	317	915
86	258.00	1200.01	304	917
87	261.00	1200.01	322	986
88	264.00	1200.01	363	992
89	267.00	1200.01	308	948
90	270.00	1200.01	330	965
91	273.00	1200.01	328	885
92	276.00	1200.01	311	919
93	279.00	1200.01	297	846
94	282.00	1200.01	288	915
95	285.00	1200.01	262	886
96	288.00	1200.01	247	841
97	291.00	1200.01	226	750
98	294.00	1200.01	245	747
99	297.00	1200.01	230	764
100	300.00	1200.01	240	686
101	303.00	1200.01	248	649
102	306.00	1200.01	282	716
103	309.00	1200.01	265	638
104	312.00	1200.01	300	591
105	315.00	1200.01	320	645
106	318.00	1200.01	287	637
107	321.00	1200.01	302	611
108	324.00	1200.01	312	659
109	327.00	1200.01	320	707
110	330.00	1200.01	311	733
111	333.00	1200.01	304	756
112	336.00	1200.01	346	789
113	339.00	1200.01	304	780
114	342.00	1200.01	281	772
115	345.00	1200.01	280	810
116	348.00	1200.01	356	900
117	351.00	1200.01	358	878
118	354.00	1200.01	315	877
119	357.00	1200.01	320	895
120	360.00	1200.01	295	964
121	363.00	1200.01	301	982
122	366.00	1200.01	267	929
123	369.00	1200.01	235	941
124	372.00	1200.01	228	918
125	375.00	1200.01	204	919
126	378.00	1200.01	205	895
127	381.00	1200.01	157	847
128	384.00	1200.01	175	842
129	387.00	1200.01	146	847
130	390.00	1200.01	185	831
131	393.00	1200.01	157	723
132	396.00	1200.01	179	741
