#  ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-2.010498 5.0 541 365 32483 1059 3777060536 906 0.000000 0.000000
-1.801758 5.0 385 365 32483 804 3777060564 750 0.000000 0.000000
-1.604004 5.0 379 365 32483 690 3777060591 744 0.000000 0.000000
-1.406250 5.0 355 365 32483 618 3777060619 720 0.000000 0.000000
-1.208496 5.0 314 365 32483 681 3777060647 679 0.000000 0.000000
-0.999756 5.0 394 365 32483 914 3777060674 759 0.000000 0.000000
-0.802002 5.0 450 365 32483 1130 3777060702 815 0.000000 0.000000
-0.593262 5.0 487 365 32483 1390 3777060729 852 0.000000 0.000000
-0.406494 5.0 549 365 32483 1423 3777060757 914 0.000000 0.000000
-0.197754 5.0 529 365 32483 1248 3777060785 894 0.000000 0.000000
-0.010986 5.0 464 365 32483 1074 3777060812 829 0.000000 0.000000
0.186768 5.0 440 365 32483 907 3777060840 805 0.000000 0.000000
0.395508 5.0 364 365 32483 711 3777060868 729 0.000000 0.000000
0.604248 5.0 347 365 32483 682 3777060895 712 0.000000 0.000000
0.791016 5.0 287 365 32483 697 3777060923 652 0.000000 0.000000
0.999756 5.0 375 365 32483 931 3777060951 740 0.000000 0.000000
1.186523 5.0 415 365 32483 1070 3777060978 780 0.000000 0.000000
1.406250 5.0 491 365 32483 1241 3777061006 856 0.000000 0.000000
1.604004 5.0 514 365 32483 1384 3777061034 879 0.000000 0.000000
1.790771 5.0 511 365 32483 1252 3777061061 876 0.000000 0.000000
1.999512 5.0 518 365 32483 1097 3777061089 883 0.000000 0.000000
