* begin:	09/09/2023 20:35:51
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_S2_alpha_ifg_capacitor.cfg
*
* no cfg file, sc file created manually
* 0	1.9995117	20.0	20480	2699	135265	41798	3777130554	23179	0.0000000	0.0000000
* Date: 09/09/2023	Time: 20:55
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1200.001000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.00	105	75
1	3.00	1200.00	155	179
2	6.00	1200.00	205	166
3	9.00	1200.00	177	175
4	12.00	1200.00	199	165
5	15.00	1200.00	196	168
6	18.00	1200.00	183	126
7	21.00	1200.00	195	142
8	24.00	1200.00	227	104
9	27.00	1200.00	199	131
10	30.00	1200.00	189	116
11	33.00	1200.00	171	138
12	36.00	1200.00	165	122
13	39.00	1200.00	172	141
14	42.00	1200.00	175	150
15	45.00	1200.00	146	145
16	48.00	1200.00	101	208
17	51.00	1200.00	109	246
18	54.00	1200.00	99	361
19	57.00	1200.00	81	393
20	60.00	1200.00	77	458
21	63.00	1200.00	78	437
22	66.00	1200.00	76	492
23	69.00	1200.00	58	486
24	72.00	1200.00	76	481
25	75.00	1200.00	66	442
26	78.00	1200.00	87	474
27	81.00	1200.00	103	449
28	84.00	1200.00	113	441
29	87.00	1200.00	124	436
30	90.00	1200.00	159	484
31	93.00	1200.00	140	469
32	96.00	1200.00	173	478
33	99.00	1200.00	157	441
34	102.00	1200.00	215	374
35	105.00	1200.00	172	276
36	108.00	1200.00	157	200
37	111.00	1200.00	177	143
38	114.00	1200.00	193	126
39	117.00	1200.00	204	115
40	120.00	1200.00	178	121
41	123.00	1200.00	207	146
42	126.00	1200.00	191	161
43	129.00	1200.00	182	185
44	132.00	1200.00	187	169
45	135.00	1200.00	176	140
46	138.00	1200.00	180	121
47	141.00	1200.00	164	121
48	144.00	1200.00	133	110
49	147.00	1200.00	108	123
50	150.00	1200.00	119	170
51	153.00	1200.00	93	252
52	156.00	1200.00	80	312
53	159.00	1200.00	81	388
54	162.00	1200.00	73	451
55	165.00	1200.00	72	446
56	168.00	1200.00	73	497
57	171.00	1200.00	77	480
58	174.00	1200.00	71	438
59	177.00	1200.00	63	438
60	180.00	1200.00	94	413
61	183.00	1200.00	116	474
62	186.00	1200.00	110	446
63	189.00	1200.00	139	450
64	192.00	1200.00	162	498
65	195.00	1200.00	152	482
66	198.00	1200.00	190	447
67	201.00	1200.00	184	351
68	204.00	1200.00	205	351
69	207.00	1200.00	188	223
70	210.00	1200.00	189	206
71	213.00	1200.00	199	139
72	216.00	1200.00	182	112
73	219.00	1200.00	218	122
74	222.00	1200.00	207	140
75	225.00	1200.00	215	146
76	228.00	1200.00	192	169
77	231.00	1200.00	193	168
78	234.00	1200.00	186	164
79	237.00	1200.00	181	124
80	240.00	1200.00	180	114
81	243.00	1200.00	155	136
82	246.00	1200.00	140	121
83	249.00	1200.00	120	148
84	252.00	1200.00	111	211
85	255.00	1200.00	103	278
86	258.00	1200.00	122	379
87	261.00	1200.00	98	460
88	264.00	1200.00	111	495
89	267.00	1200.00	108	497
90	270.00	1200.00	111	531
91	273.00	1200.00	117	481
92	276.00	1200.00	120	433
93	279.00	1200.00	105	436
94	282.00	1200.00	112	475
95	285.00	1200.00	105	443
96	288.00	1200.00	106	471
97	291.00	1200.00	95	471
98	294.00	1200.00	99	449
99	297.00	1200.00	89	438
100	300.00	1200.00	86	384
101	303.00	1200.00	92	348
102	306.00	1200.00	85	260
103	309.00	1200.00	101	208
104	312.00	1200.00	87	137
105	315.00	1200.00	118	114
106	318.00	1200.00	145	122
107	321.00	1200.00	118	138
108	324.00	1200.00	167	152
109	327.00	1200.00	161	165
110	330.00	1200.00	182	192
111	333.00	1200.00	172	150
112	336.00	1200.00	202	133
113	339.00	1200.00	217	114
114	342.00	1200.00	191	128
115	345.00	1200.00	185	114
116	348.00	1200.00	158	127
117	351.00	1200.00	191	195
118	354.00	1200.00	197	240
119	357.00	1200.00	210	330
120	360.00	1200.00	197	446
121	363.00	1200.00	204	474
122	366.00	1200.00	191	460
123	369.00	1200.00	188	487
124	372.00	1200.00	162	491
125	375.00	1200.00	168	463
126	378.00	1200.00	170	435
127	381.00	1200.00	117	453
128	384.00	1200.00	115	449
129	387.00	1200.00	112	477
130	390.00	1200.00	86	507
131	393.00	1200.00	82	496
132	396.00	1200.00	76	448
133	399.00	1200.00	80	411
134	402.00	1200.00	70	369
135	405.00	1200.00	58	273
136	408.00	1200.00	81	215
137	411.00	1200.00	67	184
138	414.00	1200.00	98	134
139	417.00	1200.00	94	152
140	420.00	1200.00	121	117
141	423.00	1200.00	158	141
142	426.00	1200.00	160	146
143	429.00	1200.00	185	136
144	432.00	1200.00	176	143
* end: 09/09/2023 20:55:56
