* begin:	09/09/2023 17:06:18
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_S2_alpha_ifg_capacitor.cfg
*
* no cfg file, sc file created manually
* 0	1.9995117	20.0	33242	2699	135265	72430	3777117982	35941	0.0000000	0.0000000
* Date: 09/09/2023	Time: 17:26
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1200.001000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.00	136	228
1	3.00	1200.00	226	454
2	6.00	1200.00	213	441
3	9.00	1200.00	239	462
4	12.00	1200.00	240	507
5	15.00	1200.00	241	523
6	18.00	1200.00	235	500
7	21.00	1200.00	205	453
8	24.00	1200.00	264	491
9	27.00	1200.00	226	406
10	30.00	1200.00	242	458
11	33.00	1200.00	225	475
12	36.00	1200.00	262	438
13	39.00	1200.00	244	414
14	42.00	1200.00	228	440
15	45.00	1200.00	251	460
16	48.00	1200.00	211	469
17	51.00	1200.00	229	479
18	54.00	1200.00	254	479
19	57.00	1200.00	209	536
20	60.00	1200.00	200	586
21	63.00	1200.00	194	563
22	66.00	1200.00	198	580
23	69.00	1200.00	196	561
24	72.00	1200.00	199	589
25	75.00	1200.00	217	570
26	78.00	1200.00	251	581
27	81.00	1200.00	231	575
28	84.00	1200.00	216	609
29	87.00	1200.00	206	555
30	90.00	1200.00	227	605
31	93.00	1200.00	248	584
32	96.00	1200.00	195	520
33	99.00	1200.00	222	522
34	102.00	1200.00	238	572
35	105.00	1200.00	229	513
36	108.00	1200.00	251	494
37	111.00	1200.00	235	469
38	114.00	1200.00	241	485
39	117.00	1200.00	257	406
40	120.00	1200.00	267	398
41	123.00	1200.00	233	390
42	126.00	1200.00	234	441
43	129.00	1200.00	249	355
44	132.00	1200.00	271	422
45	135.00	1200.00	226	412
46	138.00	1200.00	237	401
47	141.00	1200.00	225	395
48	144.00	1200.00	252	455
49	147.00	1200.00	218	469
50	150.00	1200.00	219	448
51	153.00	1200.00	217	510
52	156.00	1200.00	227	548
53	159.00	1200.00	234	539
54	162.00	1200.00	214	575
55	165.00	1200.00	232	552
56	168.00	1200.00	219	617
57	171.00	1200.00	228	584
58	174.00	1200.00	207	539
59	177.00	1200.00	212	613
60	180.00	1200.00	211	583
61	183.00	1200.00	245	524
62	186.00	1200.00	219	596
63	189.00	1200.00	216	578
64	192.00	1200.00	221	627
65	195.00	1200.00	219	542
66	198.00	1200.00	227	555
67	201.00	1200.00	224	535
68	204.00	1200.00	231	494
69	207.00	1200.00	243	479
70	210.00	1200.00	208	498
71	213.00	1200.00	239	466
72	216.00	1200.00	257	410
73	219.00	1200.00	238	434
74	222.00	1200.00	254	390
75	225.00	1200.00	276	397
76	228.00	1200.00	257	420
77	231.00	1200.00	218	356
78	234.00	1200.00	234	421
79	237.00	1200.00	222	356
80	240.00	1200.00	225	418
81	243.00	1200.00	227	443
82	246.00	1200.00	246	448
83	249.00	1200.00	215	459
84	252.00	1200.00	218	490
85	255.00	1200.00	235	536
86	258.00	1200.00	252	508
87	261.00	1200.00	230	517
88	264.00	1200.00	216	621
89	267.00	1200.00	239	535
90	270.00	1200.00	254	554
91	273.00	1200.00	227	567
92	276.00	1200.00	236	624
93	279.00	1200.00	229	615
94	282.00	1200.00	211	610
95	285.00	1200.00	236	547
96	288.00	1200.00	236	582
97	291.00	1200.00	229	590
98	294.00	1200.00	225	588
99	297.00	1200.00	235	562
100	300.00	1200.00	231	539
101	303.00	1200.00	225	450
102	306.00	1200.00	202	531
103	309.00	1200.00	214	453
104	312.00	1200.00	257	459
105	315.00	1200.00	216	447
106	318.00	1200.00	231	434
107	321.00	1200.00	233	429
108	324.00	1200.00	224	378
109	327.00	1200.00	233	372
110	330.00	1200.00	234	397
111	333.00	1200.00	219	413
112	336.00	1200.00	253	373
113	339.00	1200.00	253	396
114	342.00	1200.00	251	457
115	345.00	1200.00	246	432
116	348.00	1200.00	221	491
117	351.00	1200.00	233	461
118	354.00	1200.00	222	468
119	357.00	1200.00	209	519
120	360.00	1200.00	256	558
121	363.00	1200.00	249	519
122	366.00	1200.00	239	613
123	369.00	1200.00	261	552
124	372.00	1200.00	253	606
125	375.00	1200.00	212	609
126	378.00	1200.00	233	572
127	381.00	1200.00	246	585
128	384.00	1200.00	219	557
129	387.00	1200.00	211	570
130	390.00	1200.00	216	556
131	393.00	1200.00	196	535
132	396.00	1200.00	213	549
133	399.00	1200.00	181	504
134	402.00	1200.00	199	581
135	405.00	1200.00	205	521
136	408.00	1200.00	217	463
137	411.00	1200.00	221	499
138	414.00	1200.00	235	452
139	417.00	1200.00	221	470
140	420.00	1200.00	198	466
141	423.00	1200.00	221	522
142	426.00	1200.00	256	465
143	429.00	1200.00	253	486
144	432.00	1200.00	242	459
* end: 09/09/2023 17:26:23
