# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2 current(Amp)
-2.999268 20.0 612 2338 129366 1794 3776683174 2950 0.000000 0.000000 1.300000
-2.801514 20.0 672 2213 130416 1944 3776683200 2885 0.000000 0.000000 1.300000
-2.603760 20.0 665 2758 129819 1528 3776683227 3423 0.000000 0.000000 1.300000
-2.384033 20.0 475 3462 129812 988 3776683254 3937 0.000000 0.000000 1.300000
-2.208252 20.0 337 4323 130147 561 3776683280 4660 0.000000 0.000000 1.300000
-1.999512 20.0 141 4682 129928 157 3776683307 4823 0.000000 0.000000 1.300000
-1.801758 20.0 141 4619 130389 332 3776683334 4760 0.000000 0.000000 1.300000
-1.604004 20.0 205 4320 129620 636 3776683361 4525 0.000000 0.000000 1.300000
-1.384277 20.0 336 3416 130813 1139 3776683388 3752 0.000000 0.000000 1.300000
-1.197510 20.0 499 2741 128848 1662 3776683414 3240 0.000000 0.000000 1.300000
-1.010742 20.0 654 2356 130013 1993 3776683441 3010 0.000000 0.000000 1.300000
-0.802002 20.0 675 2233 129642 1893 3776683468 2908 0.000000 0.000000 1.300000
-0.615234 20.0 694 2661 129951 1528 3776683495 3355 0.000000 0.000000 1.300000
-0.406494 20.0 508 3409 129184 1023 3776683522 3917 0.000000 0.000000 1.300000
-0.197754 20.0 319 4204 129108 519 3776683548 4523 0.000000 0.000000 1.300000
0.000000 20.0 176 4767 130513 208 3776683575 4943 0.000000 0.000000 1.300000
0.197754 20.0 133 4894 129419 209 3776683602 5027 0.000000 0.000000 1.300000
0.395508 20.0 214 4339 129967 577 3776683628 4553 0.000000 0.000000 1.300000
0.604248 20.0 297 3776 129558 1036 3776683655 4073 0.000000 0.000000 1.300000
0.791016 20.0 505 2769 130154 1642 3776683682 3274 0.000000 0.000000 1.300000
0.999756 20.0 659 2318 130450 1808 3776683709 2977 0.000000 0.000000 1.300000
1.186523 20.0 668 2165 130515 1926 3776683736 2833 0.000000 0.000000 1.300000
1.395264 20.0 682 2524 128163 1669 3776683762 3206 0.000000 0.000000 1.300000
1.593018 20.0 521 3377 128608 1162 3776683789 3898 0.000000 0.000000 1.300000
1.801758 20.0 375 3987 128809 647 3776683816 4362 0.000000 0.000000 1.300000
1.999512 20.0 194 4778 128577 221 3776683842 4972 0.000000 0.000000 1.300000
2.197266 20.0 117 4719 128502 173 3776683869 4836 0.000000 0.000000 1.300000
2.395020 20.0 185 4451 128427 458 3776683896 4636 0.000000 0.000000 1.300000
2.614746 20.0 289 3720 128712 1037 3776683923 4009 0.000000 0.000000 1.300000
2.790527 20.0 483 2986 128588 1527 3776683949 3469 0.000000 0.000000 1.300000
2.999268 20.0 584 2234 128292 1967 3776683976 2818 0.000000 0.000000 1.300000
