#  ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-1.505127 5.0 172 799 29327 246 3775778539 1217 0.000000 0.000000
-1.307373 5.0 73 1048 29672 147 3775778551 1268 0.000000 0.000000
-1.098633 5.0 57 1049 29867 110 3775778563 1216 0.000000 0.000000
-0.900879 5.0 75 1067 30009 67 3775778574 1209 0.000000 0.000000
-0.703125 5.0 104 983 29304 110 3775778586 1197 0.000000 0.000000
-0.505371 5.0 211 874 29863 149 3775778597 1234 0.000000 0.000000
-0.307617 5.0 263 681 29943 246 3775778609 1190 0.000000 0.000000
-0.098877 5.0 273 616 29915 308 3775778621 1197 0.000000 0.000000
0.087891 5.0 224 598 29621 317 3775778632 1139 0.000000 0.000000
0.296631 5.0 202 675 29397 290 3775778644 1167 0.000000 0.000000
0.494385 5.0 151 837 29879 234 3775778656 1222 0.000000 0.000000
0.692139 5.0 78 1008 29797 161 3775778667 1247 0.000000 0.000000
0.900879 5.0 50 1050 29661 87 3775778679 1187 0.000000 0.000000
1.098633 5.0 77 1074 29847 92 3775778690 1243 0.000000 0.000000
1.285400 5.0 119 1036 29783 94 3775778702 1249 0.000000 0.000000
1.505127 5.0 177 856 29979 135 3775778714 1168 0.000000 0.000000
