#  ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-1.999512 10.0 361 1446 58804 1191 3776089112 2998 0.000000 0.000000
-1.812744 10.0 343 1780 59243 875 3776089129 2998 0.000000 0.000000
-1.604004 10.0 267 2026 58954 623 3776089146 2916 0.000000 0.000000
-1.406250 10.0 195 2487 59892 341 3776089163 3023 0.000000 0.000000
-1.197510 10.0 154 2739 61589 178 3776089180 3071 0.000000 0.000000
-0.999756 10.0 128 2770 61798 190 3776089196 3088 0.000000 0.000000
-0.812988 10.0 164 2440 61314 440 3776089213 3044 0.000000 0.000000
-0.604248 10.0 287 1934 61434 762 3776089230 2983 0.000000 0.000000
-0.395508 10.0 324 1543 61623 1078 3776089247 2945 0.000000 0.000000
-0.219727 10.0 386 1375 58476 1191 3776089263 2952 0.000000 0.000000
0.000000 10.0 376 1460 62763 1121 3776089280 2957 0.000000 0.000000
0.197754 10.0 362 1673 62398 953 3776089297 2988 0.000000 0.000000
0.384522 10.0 314 1898 62202 772 3776089314 2984 0.000000 0.000000
0.604248 10.0 213 2456 62162 402 3776089331 3071 0.000000 0.000000
0.802002 10.0 134 2920 62675 185 3776089347 3239 0.000000 0.000000
0.988769 10.0 141 2600 61492 302 3776089364 3043 0.000000 0.000000
1.186523 10.0 148 2658 61993 339 3776089381 3145 0.000000 0.000000
1.384277 10.0 238 2110 62189 718 3776089397 3066 0.000000 0.000000
1.604004 10.0 309 1800 62802 922 3776089414 3031 0.000000 0.000000
1.801758 10.0 348 1495 61941 1137 3776089431 2980 0.000000 0.000000
1.988525 10.0 364 1404 62080 1177 3776089448 2945 0.000000 0.000000
