* begin:	01/09/2023 09:32:59
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_A1_ifg.cfg
*
* no cfg file, sc file created manually
* 0	2.9992676	20.0	14646	5331	124513	19490	3776399582	39467	0.0000000	0.0000000
* Date: 01/09/2023	Time: 09:53
* Pulsetime (탎):0.000003	Looptime (탎): 301.000000	BinWidth (탎): 3.000000	BinCount: 101	measured time (s): 1200.001000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.00	67	88
1	3.00	1200.00	122	186
2	6.00	1200.00	143	169
3	9.00	1200.00	135	159
4	12.00	1200.00	153	183
5	15.00	1200.00	148	216
6	18.00	1200.00	137	177
7	21.00	1200.00	127	189
8	24.00	1200.00	135	178
9	27.00	1200.00	135	168
10	30.00	1200.00	125	166
11	33.00	1200.00	116	188
12	36.00	1200.00	130	180
13	39.00	1200.00	119	167
14	42.00	1200.00	127	179
15	45.00	1200.00	134	163
16	48.00	1200.00	147	166
17	51.00	1200.00	135	178
18	54.00	1200.00	152	232
19	57.00	1200.00	142	241
20	60.00	1200.00	174	221
21	63.00	1200.00	175	269
22	66.00	1200.00	181	260
23	69.00	1200.00	161	259
24	72.00	1200.00	165	264
25	75.00	1200.00	151	209
26	78.00	1200.00	162	243
27	81.00	1200.00	171	198
28	84.00	1200.00	188	199
29	87.00	1200.00	163	189
30	90.00	1200.00	150	156
31	93.00	1200.00	145	158
32	96.00	1200.00	168	152
33	99.00	1200.00	126	154
34	102.00	1200.00	143	145
35	105.00	1200.00	142	137
36	108.00	1200.00	119	178
37	111.00	1200.00	121	188
38	114.00	1200.00	103	198
39	117.00	1200.00	121	219
40	120.00	1200.00	142	216
41	123.00	1200.00	126	204
42	126.00	1200.00	139	196
43	129.00	1200.00	126	177
44	132.00	1200.00	154	167
45	135.00	1200.00	112	176
46	138.00	1200.00	138	199
47	141.00	1200.00	99	133
48	144.00	1200.00	129	172
49	147.00	1200.00	144	161
50	150.00	1200.00	143	206
51	153.00	1200.00	137	190
52	156.00	1200.00	150	206
53	159.00	1200.00	158	208
54	162.00	1200.00	157	266
55	165.00	1200.00	162	253
56	168.00	1200.00	163	236
57	171.00	1200.00	170	249
58	174.00	1200.00	206	267
59	177.00	1200.00	154	224
60	180.00	1200.00	189	191
61	183.00	1200.00	150	186
62	186.00	1200.00	182	194
63	189.00	1200.00	164	146
64	192.00	1200.00	156	161
65	195.00	1200.00	146	133
66	198.00	1200.00	146	168
67	201.00	1200.00	137	172
68	204.00	1200.00	129	179
69	207.00	1200.00	145	199
70	210.00	1200.00	151	211
71	213.00	1200.00	149	194
72	216.00	1200.00	146	208
73	219.00	1200.00	143	217
74	222.00	1200.00	128	213
75	225.00	1200.00	138	206
76	228.00	1200.00	138	179
77	231.00	1200.00	136	177
78	234.00	1200.00	118	183
79	237.00	1200.00	137	157
80	240.00	1200.00	148	133
81	243.00	1200.00	118	155
82	246.00	1200.00	153	165
83	249.00	1200.00	150	167
84	252.00	1200.00	126	194
85	255.00	1200.00	148	213
86	258.00	1200.00	148	227
87	261.00	1200.00	148	233
88	264.00	1200.00	166	236
89	267.00	1200.00	159	268
90	270.00	1200.00	161	235
91	273.00	1200.00	169	243
92	276.00	1200.00	181	258
93	279.00	1200.00	160	209
94	282.00	1200.00	167	203
95	285.00	1200.00	168	188
96	288.00	1200.00	148	206
97	291.00	1200.00	148	150
98	294.00	1200.00	135	156
99	297.00	1200.00	128	170
100	300.00	1200.00	122	132
* end: 01/09/2023 09:53:04
