* begin:	12/09/2023 15:20:03
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2+A1_19pt_pi8_1500s.cfg
*
* no cfg file, sc file created manually
* 0	0.1494900	5.0	45224	163	32587	146508	3777371106	45387	0.0000000	0.0000000
* Date: 12/09/2023	Time: 15:45
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1500.004000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.00	171	602
1	3.00	1500.00	326	1172
2	6.00	1500.00	348	1265
3	9.00	1500.00	337	1110
4	12.00	1500.00	346	1238
5	15.00	1500.00	318	1132
6	18.00	1500.00	344	1124
7	21.00	1500.00	292	1058
8	24.00	1500.00	298	1068
9	27.00	1500.00	289	1017
10	30.00	1500.00	290	1035
11	33.00	1500.00	289	934
12	36.00	1500.00	260	1041
13	39.00	1500.00	257	985
14	42.00	1500.00	262	1036
15	45.00	1500.00	262	1037
16	48.00	1500.00	217	1120
17	51.00	1500.00	252	1131
18	54.00	1500.00	256	1224
19	57.00	1500.00	258	1172
20	60.00	1500.00	279	1170
21	63.00	1500.00	323	1163
22	66.00	1500.00	311	1135
23	69.00	1500.00	322	1045
24	72.00	1500.00	344	954
25	75.00	1500.00	349	858
26	78.00	1500.00	364	820
27	81.00	1500.00	442	772
28	84.00	1500.00	389	730
29	87.00	1500.00	398	757
30	90.00	1500.00	399	744
31	93.00	1500.00	359	765
32	96.00	1500.00	365	846
33	99.00	1500.00	362	905
34	102.00	1500.00	347	934
35	105.00	1500.00	328	996
36	108.00	1500.00	279	1124
37	111.00	1500.00	286	1021
38	114.00	1500.00	281	1119
39	117.00	1500.00	241	1107
40	120.00	1500.00	264	1113
41	123.00	1500.00	258	1120
42	126.00	1500.00	244	1152
43	129.00	1500.00	255	1083
44	132.00	1500.00	255	1102
45	135.00	1500.00	275	1126
46	138.00	1500.00	253	1037
47	141.00	1500.00	299	1024
48	144.00	1500.00	320	1080
49	147.00	1500.00	306	974
50	150.00	1500.00	325	1105
51	153.00	1500.00	327	983
52	156.00	1500.00	329	1044
53	159.00	1500.00	337	1028
54	162.00	1500.00	314	1081
55	165.00	1500.00	332	1098
56	168.00	1500.00	307	1103
57	171.00	1500.00	322	1152
58	174.00	1500.00	296	1202
59	177.00	1500.00	329	1139
60	180.00	1500.00	336	1154
61	183.00	1500.00	303	1095
62	186.00	1500.00	310	1071
63	189.00	1500.00	311	1074
64	192.00	1500.00	313	918
65	195.00	1500.00	343	937
66	198.00	1500.00	354	848
67	201.00	1500.00	310	813
68	204.00	1500.00	337	798
69	207.00	1500.00	358	728
70	210.00	1500.00	340	726
71	213.00	1500.00	365	730
72	216.00	1500.00	308	809
73	219.00	1500.00	310	811
74	222.00	1500.00	327	915
75	225.00	1500.00	316	969
76	228.00	1500.00	289	1040
77	231.00	1500.00	265	1063
78	234.00	1500.00	285	1140
79	237.00	1500.00	255	1125
80	240.00	1500.00	245	1224
81	243.00	1500.00	233	1222
82	246.00	1500.00	231	1214
83	249.00	1500.00	227	1250
84	252.00	1500.00	255	1183
85	255.00	1500.00	251	1203
86	258.00	1500.00	251	1208
87	261.00	1500.00	288	1135
88	264.00	1500.00	313	1102
89	267.00	1500.00	320	1010
90	270.00	1500.00	317	1013
91	273.00	1500.00	361	950
92	276.00	1500.00	368	817
93	279.00	1500.00	392	723
94	282.00	1500.00	350	765
95	285.00	1500.00	337	720
96	288.00	1500.00	346	740
97	291.00	1500.00	354	782
98	294.00	1500.00	343	810
99	297.00	1500.00	307	816
100	300.00	1500.00	348	916
101	303.00	1500.00	292	968
102	306.00	1500.00	332	1054
103	309.00	1500.00	309	1001
104	312.00	1500.00	347	1151
105	315.00	1500.00	364	1145
106	318.00	1500.00	345	1131
107	321.00	1500.00	356	1100
108	324.00	1500.00	393	1116
109	327.00	1500.00	372	1051
110	330.00	1500.00	338	1080
111	333.00	1500.00	358	1036
112	336.00	1500.00	331	1083
113	339.00	1500.00	306	999
114	342.00	1500.00	280	1060
115	345.00	1500.00	258	978
116	348.00	1500.00	311	1041
117	351.00	1500.00	233	1049
118	354.00	1500.00	246	1089
119	357.00	1500.00	278	1027
120	360.00	1500.00	258	1116
121	363.00	1500.00	250	1059
122	366.00	1500.00	253	1159
123	369.00	1500.00	280	1066
124	372.00	1500.00	255	1140
125	375.00	1500.00	309	1120
126	378.00	1500.00	322	1148
127	381.00	1500.00	305	1083
128	384.00	1500.00	306	1095
129	387.00	1500.00	324	1053
130	390.00	1500.00	351	1009
131	393.00	1500.00	338	898
132	396.00	1500.00	389	899
133	399.00	1500.00	352	812
134	402.00	1500.00	363	792
135	405.00	1500.00	337	744
136	408.00	1500.00	344	793
137	411.00	1500.00	348	726
138	414.00	1500.00	333	749
139	417.00	1500.00	301	853
140	420.00	1500.00	308	870
141	423.00	1500.00	316	861
142	426.00	1500.00	350	1060
143	429.00	1500.00	332	1127
144	432.00	1500.00	333	1147
* end: 12/09/2023 15:45:09
