* begin:	26/08/2023 14:17:43
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2+A1.cfg
*
* no cfg file, sc file created manually
* 0	2.9882812	20.0	42533	4287	119191	123709	3775898266	170529	0.0000000	0.0000000
* Date: 26/08/2023	Time: 14:37
* Pulsetime (탎):0.000003	Looptime (탎): 401.000000	BinWidth (탎): 3.000000	BinCount: 134	measured time (s): 1200.001000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.00	154	524
1	3.00	1200.00	376	1025
2	6.00	1200.00	349	1079
3	9.00	1200.00	350	975
4	12.00	1200.00	326	1049
5	15.00	1200.00	311	967
6	18.00	1200.00	335	1009
7	21.00	1200.00	277	990
8	24.00	1200.00	323	1071
9	27.00	1200.00	308	1027
10	30.00	1200.00	329	951
11	33.00	1200.00	323	952
12	36.00	1200.00	330	982
13	39.00	1200.00	276	946
14	42.00	1200.00	341	1011
15	45.00	1200.00	295	948
16	48.00	1200.00	272	985
17	51.00	1200.00	271	1034
18	54.00	1200.00	288	1038
19	57.00	1200.00	252	945
20	60.00	1200.00	287	1045
21	63.00	1200.00	294	915
22	66.00	1200.00	308	950
23	69.00	1200.00	294	868
24	72.00	1200.00	326	830
25	75.00	1200.00	301	818
26	78.00	1200.00	325	783
27	81.00	1200.00	310	782
28	84.00	1200.00	343	849
29	87.00	1200.00	334	835
30	90.00	1200.00	358	887
31	93.00	1200.00	350	881
32	96.00	1200.00	338	1013
33	99.00	1200.00	370	932
34	102.00	1200.00	321	978
35	105.00	1200.00	370	928
36	108.00	1200.00	336	867
37	111.00	1200.00	324	829
38	114.00	1200.00	342	723
39	117.00	1200.00	355	777
40	120.00	1200.00	313	797
41	123.00	1200.00	336	728
42	126.00	1200.00	336	875
43	129.00	1200.00	315	915
44	132.00	1200.00	345	992
45	135.00	1200.00	331	972
46	138.00	1200.00	372	979
47	141.00	1200.00	349	935
48	144.00	1200.00	344	956
49	147.00	1200.00	332	883
50	150.00	1200.00	331	835
51	153.00	1200.00	343	749
52	156.00	1200.00	313	749
53	159.00	1200.00	311	754
54	162.00	1200.00	336	835
55	165.00	1200.00	281	843
56	168.00	1200.00	281	899
57	171.00	1200.00	262	935
58	174.00	1200.00	271	964
59	177.00	1200.00	267	1004
60	180.00	1200.00	260	1027
61	183.00	1200.00	262	999
62	186.00	1200.00	293	1035
63	189.00	1200.00	306	957
64	192.00	1200.00	338	975
65	195.00	1200.00	314	956
66	198.00	1200.00	354	1001
67	201.00	1200.00	328	1001
68	204.00	1200.00	370	1009
69	207.00	1200.00	278	1012
70	210.00	1200.00	315	976
71	213.00	1200.00	351	995
72	216.00	1200.00	305	1003
73	219.00	1200.00	292	964
74	222.00	1200.00	298	997
75	225.00	1200.00	317	958
76	228.00	1200.00	290	946
77	231.00	1200.00	297	1028
78	234.00	1200.00	341	946
79	237.00	1200.00	284	1004
80	240.00	1200.00	309	997
81	243.00	1200.00	301	1003
82	246.00	1200.00	277	1015
83	249.00	1200.00	262	1050
84	252.00	1200.00	343	1012
85	255.00	1200.00	276	961
86	258.00	1200.00	282	1025
87	261.00	1200.00	239	941
88	264.00	1200.00	243	928
89	267.00	1200.00	279	874
90	270.00	1200.00	301	877
91	273.00	1200.00	309	865
92	276.00	1200.00	313	780
93	279.00	1200.00	311	692
94	282.00	1200.00	354	796
95	285.00	1200.00	349	822
96	288.00	1200.00	368	845
97	291.00	1200.00	363	931
98	294.00	1200.00	369	984
99	297.00	1200.00	318	945
100	300.00	1200.00	352	952
101	303.00	1200.00	348	950
102	306.00	1200.00	333	908
103	309.00	1200.00	320	879
104	312.00	1200.00	334	829
105	315.00	1200.00	362	777
106	318.00	1200.00	365	783
107	321.00	1200.00	375	776
108	324.00	1200.00	335	871
109	327.00	1200.00	364	879
110	330.00	1200.00	363	901
111	333.00	1200.00	325	985
112	336.00	1200.00	352	1051
113	339.00	1200.00	345	1008
114	342.00	1200.00	374	976
115	345.00	1200.00	344	906
116	348.00	1200.00	390	842
117	351.00	1200.00	328	810
118	354.00	1200.00	314	767
119	357.00	1200.00	326	776
120	360.00	1200.00	334	792
121	363.00	1200.00	300	786
122	366.00	1200.00	319	878
123	369.00	1200.00	287	908
124	372.00	1200.00	279	936
125	375.00	1200.00	291	934
126	378.00	1200.00	268	967
127	381.00	1200.00	284	992
128	384.00	1200.00	246	1015
129	387.00	1200.00	285	946
130	390.00	1200.00	287	969
131	393.00	1200.00	305	1017
132	396.00	1200.00	310	1012
133	399.00	1200.00	337	1034
* end: 26/08/2023 14:37:48
