* begin:	26/09/2023 17:26:12
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2_19pt_pi4_1500s.cfg
*
* no cfg file, sc file created manually
* 0	1.9995117	5.0	46603	53	31687	104480	3778588276	46656	0.0000000	0.0000000
* Date: 26/09/2023	Time: 17:51
* Pulsetime (탎):0.000003	Looptime (탎): 404.000000	BinWidth (탎): 3.000000	BinCount: 135	measured time (s): 1500.001000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.00	236	565
1	3.00	1500.00	412	1191
2	6.00	1500.00	394	1084
3	9.00	1500.00	383	950
4	12.00	1500.00	357	878
5	15.00	1500.00	366	853
6	18.00	1500.00	374	757
7	21.00	1500.00	349	653
8	24.00	1500.00	314	618
9	27.00	1500.00	287	494
10	30.00	1500.00	271	451
11	33.00	1500.00	288	436
12	36.00	1500.00	282	438
13	39.00	1500.00	254	384
14	42.00	1500.00	256	433
15	45.00	1500.00	231	414
16	48.00	1500.00	215	413
17	51.00	1500.00	241	428
18	54.00	1500.00	247	424
19	57.00	1500.00	268	458
20	60.00	1500.00	300	523
21	63.00	1500.00	315	524
22	66.00	1500.00	290	607
23	69.00	1500.00	335	714
24	72.00	1500.00	347	784
25	75.00	1500.00	393	806
26	78.00	1500.00	418	968
27	81.00	1500.00	451	1064
28	84.00	1500.00	427	1076
29	87.00	1500.00	459	1119
30	90.00	1500.00	459	1217
31	93.00	1500.00	442	1287
32	96.00	1500.00	441	1254
33	99.00	1500.00	446	1198
34	102.00	1500.00	454	1143
35	105.00	1500.00	401	1206
36	108.00	1500.00	408	1128
37	111.00	1500.00	428	1037
38	114.00	1500.00	385	979
39	117.00	1500.00	379	952
40	120.00	1500.00	331	818
41	123.00	1500.00	317	730
42	126.00	1500.00	311	653
43	129.00	1500.00	274	557
44	132.00	1500.00	269	535
45	135.00	1500.00	261	416
46	138.00	1500.00	248	374
47	141.00	1500.00	240	365
48	144.00	1500.00	224	349
49	147.00	1500.00	258	364
50	150.00	1500.00	254	403
51	153.00	1500.00	250	374
52	156.00	1500.00	245	412
53	159.00	1500.00	296	450
54	162.00	1500.00	312	510
55	165.00	1500.00	317	564
56	168.00	1500.00	356	643
57	171.00	1500.00	366	753
58	174.00	1500.00	346	845
59	177.00	1500.00	389	936
60	180.00	1500.00	448	1018
61	183.00	1500.00	391	1134
62	186.00	1500.00	433	1110
63	189.00	1500.00	399	1192
64	192.00	1500.00	456	1169
65	195.00	1500.00	406	1183
66	198.00	1500.00	410	1131
67	201.00	1500.00	442	1149
68	204.00	1500.00	399	1212
69	207.00	1500.00	445	1113
70	210.00	1500.00	391	1123
71	213.00	1500.00	389	986
72	216.00	1500.00	391	970
73	219.00	1500.00	350	845
74	222.00	1500.00	332	781
75	225.00	1500.00	336	638
76	228.00	1500.00	315	554
77	231.00	1500.00	301	522
78	234.00	1500.00	245	463
79	237.00	1500.00	257	416
80	240.00	1500.00	248	368
81	243.00	1500.00	240	380
82	246.00	1500.00	295	345
83	249.00	1500.00	279	382
84	252.00	1500.00	241	362
85	255.00	1500.00	261	387
86	258.00	1500.00	264	464
87	261.00	1500.00	314	500
88	264.00	1500.00	367	544
89	267.00	1500.00	331	609
90	270.00	1500.00	383	772
91	273.00	1500.00	375	796
92	276.00	1500.00	400	930
93	279.00	1500.00	403	953
94	282.00	1500.00	404	1103
95	285.00	1500.00	464	1114
96	288.00	1500.00	429	1159
97	291.00	1500.00	452	1174
98	294.00	1500.00	475	1241
99	297.00	1500.00	463	1205
100	300.00	1500.00	409	1192
101	303.00	1500.00	420	1179
102	306.00	1500.00	408	1127
103	309.00	1500.00	416	1062
104	312.00	1500.00	390	1049
105	315.00	1500.00	324	935
106	318.00	1500.00	338	851
107	321.00	1500.00	308	758
108	324.00	1500.00	281	699
109	327.00	1500.00	284	627
110	330.00	1500.00	281	576
111	333.00	1500.00	255	482
112	336.00	1500.00	279	431
113	339.00	1500.00	286	374
114	342.00	1500.00	285	371
115	345.00	1500.00	242	381
116	348.00	1500.00	264	346
117	351.00	1500.00	267	373
118	354.00	1500.00	285	409
119	357.00	1500.00	274	410
120	360.00	1500.00	277	489
121	363.00	1500.00	275	479
122	366.00	1500.00	337	656
123	369.00	1500.00	322	672
124	372.00	1500.00	346	755
125	375.00	1500.00	385	835
126	378.00	1500.00	359	982
127	381.00	1500.00	411	1042
128	384.00	1500.00	403	1057
129	387.00	1500.00	415	1116
130	390.00	1500.00	454	1222
131	393.00	1500.00	446	1205
132	396.00	1500.00	451	1224
133	399.00	1500.00	442	1234
134	402.00	1500.00	430	1216
* end: 26/09/2023 17:51:17
