* begin:	17/09/2023 23:50:26
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2_19pt_pi8_1500s.cfg
*
* no cfg file, sc file created manually
* 0	0.1495000	5.0	31293	109	29352	88729	3777833730	31402	0.0000000	0.0000000
* Date: 18/09/2023	Time: 00:15
* Pulsetime (탎):0.000003	Looptime (탎): 404.000000	BinWidth (탎): 3.000000	BinCount: 135	measured time (s): 1500.013000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.01	108	341
1	3.00	1500.01	240	644
2	6.00	1500.01	217	631
3	9.00	1500.01	254	688
4	12.00	1500.01	222	694
5	15.00	1500.01	228	654
6	18.00	1500.01	254	700
7	21.00	1500.01	215	656
8	24.00	1500.01	255	700
9	27.00	1500.01	242	656
10	30.00	1500.01	252	659
11	33.00	1500.01	216	610
12	36.00	1500.01	227	646
13	39.00	1500.01	210	638
14	42.00	1500.01	251	624
15	45.00	1500.01	203	617
16	48.00	1500.01	241	600
17	51.00	1500.01	198	687
18	54.00	1500.01	207	622
19	57.00	1500.01	213	630
20	60.00	1500.01	223	632
21	63.00	1500.01	225	651
22	66.00	1500.01	267	621
23	69.00	1500.01	203	679
24	72.00	1500.01	218	687
25	75.00	1500.01	228	677
26	78.00	1500.01	238	683
27	81.00	1500.01	215	624
28	84.00	1500.01	256	710
29	87.00	1500.01	233	658
30	90.00	1500.01	244	659
31	93.00	1500.01	231	713
32	96.00	1500.01	233	681
33	99.00	1500.01	213	675
34	102.00	1500.01	258	672
35	105.00	1500.01	227	657
36	108.00	1500.01	225	701
37	111.00	1500.01	237	719
38	114.00	1500.01	239	686
39	117.00	1500.01	212	615
40	120.00	1500.01	259	678
41	123.00	1500.01	245	694
42	126.00	1500.01	241	664
43	129.00	1500.01	225	638
44	132.00	1500.01	218	627
45	135.00	1500.01	224	637
46	138.00	1500.01	234	640
47	141.00	1500.01	228	606
48	144.00	1500.01	211	639
49	147.00	1500.01	245	663
50	150.00	1500.01	254	648
51	153.00	1500.01	222	615
52	156.00	1500.01	217	639
53	159.00	1500.01	245	613
54	162.00	1500.01	251	628
55	165.00	1500.01	255	639
56	168.00	1500.01	209	621
57	171.00	1500.01	218	623
58	174.00	1500.01	224	692
59	177.00	1500.01	228	713
60	180.00	1500.01	254	671
61	183.00	1500.01	254	667
62	186.00	1500.01	238	696
63	189.00	1500.01	223	684
64	192.00	1500.01	255	755
65	195.00	1500.01	209	707
66	198.00	1500.01	243	725
67	201.00	1500.01	215	665
68	204.00	1500.01	270	691
69	207.00	1500.01	227	656
70	210.00	1500.01	253	689
71	213.00	1500.01	233	694
72	216.00	1500.01	227	662
73	219.00	1500.01	236	727
74	222.00	1500.01	239	683
75	225.00	1500.01	229	658
76	228.00	1500.01	245	672
77	231.00	1500.01	246	655
78	234.00	1500.01	228	674
79	237.00	1500.01	220	637
80	240.00	1500.01	197	671
81	243.00	1500.01	213	613
82	246.00	1500.01	218	676
83	249.00	1500.01	238	642
84	252.00	1500.01	239	638
85	255.00	1500.01	232	607
86	258.00	1500.01	224	578
87	261.00	1500.01	240	644
88	264.00	1500.01	219	605
89	267.00	1500.01	229	632
90	270.00	1500.01	271	633
91	273.00	1500.01	240	659
92	276.00	1500.01	231	705
93	279.00	1500.01	233	700
94	282.00	1500.01	232	664
95	285.00	1500.01	245	642
96	288.00	1500.01	240	697
97	291.00	1500.01	230	722
98	294.00	1500.01	208	676
99	297.00	1500.01	220	675
100	300.00	1500.01	241	662
101	303.00	1500.01	260	703
102	306.00	1500.01	228	685
103	309.00	1500.01	228	635
104	312.00	1500.01	243	680
105	315.00	1500.01	209	672
106	318.00	1500.01	233	665
107	321.00	1500.01	202	670
108	324.00	1500.01	237	695
109	327.00	1500.01	225	636
110	330.00	1500.01	245	591
111	333.00	1500.01	233	648
112	336.00	1500.01	236	618
113	339.00	1500.01	209	622
114	342.00	1500.01	205	645
115	345.00	1500.01	235	610
116	348.00	1500.01	237	578
117	351.00	1500.01	256	623
118	354.00	1500.01	236	637
119	357.00	1500.01	228	641
120	360.00	1500.01	242	607
121	363.00	1500.01	259	672
122	366.00	1500.01	200	685
123	369.00	1500.01	236	596
124	372.00	1500.01	232	611
125	375.00	1500.01	217	641
126	378.00	1500.01	236	707
127	381.00	1500.01	239	721
128	384.00	1500.01	238	649
129	387.00	1500.01	249	725
130	390.00	1500.01	264	644
131	393.00	1500.01	225	659
132	396.00	1500.01	235	674
133	399.00	1500.01	246	688
134	402.00	1500.01	237	662
* end: 18/09/2023 00:15:31
