* begin:	15/09/2023 11:54:39
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2_19pt_pi8_1500s.cfg
*
* no cfg file, sc file created manually
* 0	0.1495100	5.0	25881	124	34200	82994	3777617983	26005	0.0000000	0.0000000
* Date: 15/09/2023	Time: 12:19
* Pulsetime (탎):0.000003	Looptime (탎): 404.000000	BinWidth (탎): 3.000000	BinCount: 135	measured time (s): 1500.001000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.00	106	363
1	3.00	1500.00	241	829
2	6.00	1500.00	214	728
3	9.00	1500.00	209	692
4	12.00	1500.00	202	678
5	15.00	1500.00	203	616
6	18.00	1500.00	176	617
7	21.00	1500.00	176	607
8	24.00	1500.00	183	561
9	27.00	1500.00	183	497
10	30.00	1500.00	161	512
11	33.00	1500.00	174	456
12	36.00	1500.00	152	461
13	39.00	1500.00	172	489
14	42.00	1500.00	146	506
15	45.00	1500.00	150	467
16	48.00	1500.00	142	517
17	51.00	1500.00	163	495
18	54.00	1500.00	173	458
19	57.00	1500.00	149	509
20	60.00	1500.00	185	531
21	63.00	1500.00	185	543
22	66.00	1500.00	190	578
23	69.00	1500.00	181	531
24	72.00	1500.00	197	607
25	75.00	1500.00	169	655
26	78.00	1500.00	227	714
27	81.00	1500.00	202	681
28	84.00	1500.00	228	737
29	87.00	1500.00	214	788
30	90.00	1500.00	228	771
31	93.00	1500.00	252	766
32	96.00	1500.00	268	783
33	99.00	1500.00	219	783
34	102.00	1500.00	237	783
35	105.00	1500.00	233	735
36	108.00	1500.00	209	755
37	111.00	1500.00	234	711
38	114.00	1500.00	238	638
39	117.00	1500.00	173	644
40	120.00	1500.00	187	631
41	123.00	1500.00	165	588
42	126.00	1500.00	163	590
43	129.00	1500.00	159	552
44	132.00	1500.00	181	505
45	135.00	1500.00	160	514
46	138.00	1500.00	163	454
47	141.00	1500.00	150	475
48	144.00	1500.00	155	477
49	147.00	1500.00	152	435
50	150.00	1500.00	160	442
51	153.00	1500.00	179	474
52	156.00	1500.00	171	526
53	159.00	1500.00	157	504
54	162.00	1500.00	177	471
55	165.00	1500.00	155	563
56	168.00	1500.00	179	619
57	171.00	1500.00	221	604
58	174.00	1500.00	198	676
59	177.00	1500.00	211	691
60	180.00	1500.00	232	718
61	183.00	1500.00	236	683
62	186.00	1500.00	251	732
63	189.00	1500.00	247	759
64	192.00	1500.00	241	814
65	195.00	1500.00	237	757
66	198.00	1500.00	235	768
67	201.00	1500.00	230	758
68	204.00	1500.00	220	772
69	207.00	1500.00	227	730
70	210.00	1500.00	212	727
71	213.00	1500.00	191	672
72	216.00	1500.00	184	702
73	219.00	1500.00	171	632
74	222.00	1500.00	162	635
75	225.00	1500.00	187	558
76	228.00	1500.00	178	522
77	231.00	1500.00	147	500
78	234.00	1500.00	177	507
79	237.00	1500.00	158	451
80	240.00	1500.00	153	465
81	243.00	1500.00	131	480
82	246.00	1500.00	139	430
83	249.00	1500.00	147	410
84	252.00	1500.00	157	438
85	255.00	1500.00	178	482
86	258.00	1500.00	166	458
87	261.00	1500.00	176	506
88	264.00	1500.00	188	531
89	267.00	1500.00	204	596
90	270.00	1500.00	205	576
91	273.00	1500.00	222	628
92	276.00	1500.00	206	694
93	279.00	1500.00	195	666
94	282.00	1500.00	215	694
95	285.00	1500.00	216	715
96	288.00	1500.00	243	804
97	291.00	1500.00	247	786
98	294.00	1500.00	223	781
99	297.00	1500.00	242	772
100	300.00	1500.00	202	761
101	303.00	1500.00	244	795
102	306.00	1500.00	241	734
103	309.00	1500.00	191	733
104	312.00	1500.00	214	775
105	315.00	1500.00	184	688
106	318.00	1500.00	185	651
107	321.00	1500.00	204	635
108	324.00	1500.00	159	541
109	327.00	1500.00	182	570
110	330.00	1500.00	174	517
111	333.00	1500.00	144	490
112	336.00	1500.00	172	538
113	339.00	1500.00	163	459
114	342.00	1500.00	143	504
115	345.00	1500.00	173	430
116	348.00	1500.00	163	440
117	351.00	1500.00	173	446
118	354.00	1500.00	158	473
119	357.00	1500.00	174	484
120	360.00	1500.00	179	503
121	363.00	1500.00	180	539
122	366.00	1500.00	162	550
123	369.00	1500.00	172	592
124	372.00	1500.00	188	628
125	375.00	1500.00	191	706
126	378.00	1500.00	193	717
127	381.00	1500.00	203	692
128	384.00	1500.00	213	750
129	387.00	1500.00	216	785
130	390.00	1500.00	238	794
131	393.00	1500.00	209	775
132	396.00	1500.00	212	791
133	399.00	1500.00	245	777
134	402.00	1500.00	240	708
* end: 15/09/2023 12:19:45
