* begin:	29/08/2023 03:09:17
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2.cfg
*
* no cfg file, sc file created manually
* 0	2.9882812	20.0	37272	5567	124817	113088	3776117361	155927	0.0000000	0.0000000
* Date: 29/08/2023	Time: 03:29
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 3.000000	BinCount: 102	measured time (s): 1200.001000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.00	139	421
1	3.00	1200.00	304	821
2	6.00	1200.00	330	873
3	9.00	1200.00	335	971
4	12.00	1200.00	337	1060
5	15.00	1200.00	369	1082
6	18.00	1200.00	364	1191
7	21.00	1200.00	375	1192
8	24.00	1200.00	440	1179
9	27.00	1200.00	401	1317
10	30.00	1200.00	433	1311
11	33.00	1200.00	397	1274
12	36.00	1200.00	445	1298
13	39.00	1200.00	425	1283
14	42.00	1200.00	413	1291
15	45.00	1200.00	432	1295
16	48.00	1200.00	428	1301
17	51.00	1200.00	427	1286
18	54.00	1200.00	451	1300
19	57.00	1200.00	421	1345
20	60.00	1200.00	442	1321
21	63.00	1200.00	393	1351
22	66.00	1200.00	393	1287
23	69.00	1200.00	385	1277
24	72.00	1200.00	354	1219
25	75.00	1200.00	321	1152
26	78.00	1200.00	319	1148
27	81.00	1200.00	328	1139
28	84.00	1200.00	264	974
29	87.00	1200.00	278	894
30	90.00	1200.00	269	917
31	93.00	1200.00	278	863
32	96.00	1200.00	287	832
33	99.00	1200.00	310	785
34	102.00	1200.00	325	826
35	105.00	1200.00	340	743
36	108.00	1200.00	326	885
37	111.00	1200.00	364	900
38	114.00	1200.00	366	986
39	117.00	1200.00	377	1041
40	120.00	1200.00	361	1153
41	123.00	1200.00	393	1181
42	126.00	1200.00	439	1229
43	129.00	1200.00	446	1257
44	132.00	1200.00	438	1317
45	135.00	1200.00	434	1299
46	138.00	1200.00	438	1260
47	141.00	1200.00	420	1223
48	144.00	1200.00	410	1290
49	147.00	1200.00	437	1237
50	150.00	1200.00	453	1288
51	153.00	1200.00	413	1222
52	156.00	1200.00	426	1275
53	159.00	1200.00	425	1299
54	162.00	1200.00	447	1336
55	165.00	1200.00	359	1294
56	168.00	1200.00	408	1270
57	171.00	1200.00	364	1193
58	174.00	1200.00	361	1208
59	177.00	1200.00	360	1137
60	180.00	1200.00	377	1025
61	183.00	1200.00	296	981
62	186.00	1200.00	275	957
63	189.00	1200.00	276	856
64	192.00	1200.00	239	874
65	195.00	1200.00	288	813
66	198.00	1200.00	294	748
67	201.00	1200.00	287	748
68	204.00	1200.00	290	791
69	207.00	1200.00	295	843
70	210.00	1200.00	372	855
71	213.00	1200.00	330	977
72	216.00	1200.00	321	1041
73	219.00	1200.00	345	1060
74	222.00	1200.00	350	1212
75	225.00	1200.00	373	1234
76	228.00	1200.00	387	1283
77	231.00	1200.00	426	1297
78	234.00	1200.00	419	1303
79	237.00	1200.00	380	1254
80	240.00	1200.00	436	1213
81	243.00	1200.00	429	1312
82	246.00	1200.00	442	1290
83	249.00	1200.00	433	1222
84	252.00	1200.00	431	1362
85	255.00	1200.00	411	1237
86	258.00	1200.00	408	1332
87	261.00	1200.00	398	1242
88	264.00	1200.00	401	1346
89	267.00	1200.00	415	1308
90	270.00	1200.00	406	1297
91	273.00	1200.00	361	1149
92	276.00	1200.00	379	1156
93	279.00	1200.00	350	1080
94	282.00	1200.00	300	1077
95	285.00	1200.00	301	970
96	288.00	1200.00	294	899
97	291.00	1200.00	310	820
98	294.00	1200.00	300	803
99	297.00	1200.00	289	792
100	300.00	1200.00	285	759
101	303.00	1200.00	256	671
* end: 29/08/2023 03:29:22
