* begin:	31/08/2023 05:33:59
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2_ifg.cfg
*
* no cfg file, sc file created manually
* 0	2.9992676	20.0	21454	3273	119389	46570	3776298843	71297	0.0000000	0.0000000
* Date: 31/08/2023	Time: 05:54
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 3.000000	BinCount: 102	measured time (s): 1200.014000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.01	92	151
1	3.00	1200.01	208	287
2	6.00	1200.01	198	342
3	9.00	1200.01	186	378
4	12.00	1200.01	209	370
5	15.00	1200.01	205	427
6	18.00	1200.01	247	428
7	21.00	1200.01	217	457
8	24.00	1200.01	249	492
9	27.00	1200.01	228	533
10	30.00	1200.01	228	538
11	33.00	1200.01	223	582
12	36.00	1200.01	223	596
13	39.00	1200.01	226	600
14	42.00	1200.01	233	591
15	45.00	1200.01	223	592
16	48.00	1200.01	216	566
17	51.00	1200.01	228	592
18	54.00	1200.01	224	579
19	57.00	1200.01	224	546
20	60.00	1200.01	234	539
21	63.00	1200.01	224	590
22	66.00	1200.01	207	542
23	69.00	1200.01	214	531
24	72.00	1200.01	201	520
25	75.00	1200.01	235	469
26	78.00	1200.01	175	432
27	81.00	1200.01	197	407
28	84.00	1200.01	195	381
29	87.00	1200.01	183	355
30	90.00	1200.01	183	349
31	93.00	1200.01	200	264
32	96.00	1200.01	196	336
33	99.00	1200.01	180	283
34	102.00	1200.01	199	277
35	105.00	1200.01	190	303
36	108.00	1200.01	219	324
37	111.00	1200.01	211	346
38	114.00	1200.01	192	365
39	117.00	1200.01	210	428
40	120.00	1200.01	217	444
41	123.00	1200.01	210	462
42	126.00	1200.01	226	482
43	129.00	1200.01	212	520
44	132.00	1200.01	251	564
45	135.00	1200.01	215	583
46	138.00	1200.01	250	664
47	141.00	1200.01	243	570
48	144.00	1200.01	210	599
49	147.00	1200.01	230	598
50	150.00	1200.01	217	586
51	153.00	1200.01	185	593
52	156.00	1200.01	214	547
53	159.00	1200.01	212	570
54	162.00	1200.01	212	533
55	165.00	1200.01	248	564
56	168.00	1200.01	253	585
57	171.00	1200.01	233	513
58	174.00	1200.01	207	487
59	177.00	1200.01	209	438
60	180.00	1200.01	219	374
61	183.00	1200.01	190	387
62	186.00	1200.01	177	354
63	189.00	1200.01	175	311
64	192.00	1200.01	178	284
65	195.00	1200.01	182	293
66	198.00	1200.01	217	297
67	201.00	1200.01	177	295
68	204.00	1200.01	169	294
69	207.00	1200.01	200	256
70	210.00	1200.01	202	379
71	213.00	1200.01	188	335
72	216.00	1200.01	216	374
73	219.00	1200.01	218	425
74	222.00	1200.01	220	450
75	225.00	1200.01	247	481
76	228.00	1200.01	207	508
77	231.00	1200.01	202	506
78	234.00	1200.01	229	606
79	237.00	1200.01	245	545
80	240.00	1200.01	255	598
81	243.00	1200.01	210	591
82	246.00	1200.01	228	606
83	249.00	1200.01	211	632
84	252.00	1200.01	212	594
85	255.00	1200.01	227	592
86	258.00	1200.01	242	568
87	261.00	1200.01	260	561
88	264.00	1200.01	251	621
89	267.00	1200.01	220	525
90	270.00	1200.01	233	518
91	273.00	1200.01	202	475
92	276.00	1200.01	177	458
93	279.00	1200.01	175	430
94	282.00	1200.01	201	347
95	285.00	1200.01	185	341
96	288.00	1200.01	203	316
97	291.00	1200.01	172	318
98	294.00	1200.01	200	300
99	297.00	1200.01	179	308
100	300.00	1200.01	208	299
101	303.00	1200.01	159	228
* end: 31/08/2023 05:54:04
