* begin:	28/09/2023 01:45:50
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2_19pt_pi8_1500s.cfg
*
* no cfg file, sc file created manually
* 0	0.1495100	5.0	105668	67	32540	339358	3778704653	105735	0.0000000	0.0000000
* Date: 28/09/2023	Time: 02:10
* Pulsetime (탎):0.000003	Looptime (탎): 404.000000	BinWidth (탎): 3.000000	BinCount: 135	measured time (s): 1500.001000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.00	368	1261
1	3.00	1500.00	742	2476
2	6.00	1500.00	789	2519
3	9.00	1500.00	800	2401
4	12.00	1500.00	872	2456
5	15.00	1500.00	808	2516
6	18.00	1500.00	811	2499
7	21.00	1500.00	771	2468
8	24.00	1500.00	796	2600
9	27.00	1500.00	809	2431
10	30.00	1500.00	831	2508
11	33.00	1500.00	757	2519
12	36.00	1500.00	798	2605
13	39.00	1500.00	785	2463
14	42.00	1500.00	762	2524
15	45.00	1500.00	806	2510
16	48.00	1500.00	805	2526
17	51.00	1500.00	806	2501
18	54.00	1500.00	757	2502
19	57.00	1500.00	840	2522
20	60.00	1500.00	824	2570
21	63.00	1500.00	791	2519
22	66.00	1500.00	776	2503
23	69.00	1500.00	747	2412
24	72.00	1500.00	741	2577
25	75.00	1500.00	725	2467
26	78.00	1500.00	806	2612
27	81.00	1500.00	819	2475
28	84.00	1500.00	830	2596
29	87.00	1500.00	777	2507
30	90.00	1500.00	752	2669
31	93.00	1500.00	800	2409
32	96.00	1500.00	795	2491
33	99.00	1500.00	777	2437
34	102.00	1500.00	782	2546
35	105.00	1500.00	828	2353
36	108.00	1500.00	768	2599
37	111.00	1500.00	715	2451
38	114.00	1500.00	783	2545
39	117.00	1500.00	730	2519
40	120.00	1500.00	817	2516
41	123.00	1500.00	833	2487
42	126.00	1500.00	792	2437
43	129.00	1500.00	691	2501
44	132.00	1500.00	800	2540
45	135.00	1500.00	706	2496
46	138.00	1500.00	789	2499
47	141.00	1500.00	758	2468
48	144.00	1500.00	785	2540
49	147.00	1500.00	791	2487
50	150.00	1500.00	745	2562
51	153.00	1500.00	796	2548
52	156.00	1500.00	784	2521
53	159.00	1500.00	759	2527
54	162.00	1500.00	766	2478
55	165.00	1500.00	769	2467
56	168.00	1500.00	823	2500
57	171.00	1500.00	800	2547
58	174.00	1500.00	792	2536
59	177.00	1500.00	760	2577
60	180.00	1500.00	782	2533
61	183.00	1500.00	801	2528
62	186.00	1500.00	802	2509
63	189.00	1500.00	791	2574
64	192.00	1500.00	730	2493
65	195.00	1500.00	787	2511
66	198.00	1500.00	847	2518
67	201.00	1500.00	757	2554
68	204.00	1500.00	742	2568
69	207.00	1500.00	718	2531
70	210.00	1500.00	742	2580
71	213.00	1500.00	759	2408
72	216.00	1500.00	794	2594
73	219.00	1500.00	759	2456
74	222.00	1500.00	794	2602
75	225.00	1500.00	792	2454
76	228.00	1500.00	814	2652
77	231.00	1500.00	767	2510
78	234.00	1500.00	762	2588
79	237.00	1500.00	836	2533
80	240.00	1500.00	796	2532
81	243.00	1500.00	713	2493
82	246.00	1500.00	731	2496
83	249.00	1500.00	720	2477
84	252.00	1500.00	818	2550
85	255.00	1500.00	803	2468
86	258.00	1500.00	774	2458
87	261.00	1500.00	755	2533
88	264.00	1500.00	808	2509
89	267.00	1500.00	811	2632
90	270.00	1500.00	839	2517
91	273.00	1500.00	748	2470
92	276.00	1500.00	819	2529
93	279.00	1500.00	831	2563
94	282.00	1500.00	793	2510
95	285.00	1500.00	801	2474
96	288.00	1500.00	781	2606
97	291.00	1500.00	791	2417
98	294.00	1500.00	813	2506
99	297.00	1500.00	798	2519
100	300.00	1500.00	806	2553
101	303.00	1500.00	791	2494
102	306.00	1500.00	808	2522
103	309.00	1500.00	788	2537
104	312.00	1500.00	811	2573
105	315.00	1500.00	788	2508
106	318.00	1500.00	829	2564
107	321.00	1500.00	763	2412
108	324.00	1500.00	793	2571
109	327.00	1500.00	773	2547
110	330.00	1500.00	743	2532
111	333.00	1500.00	756	2551
112	336.00	1500.00	845	2605
113	339.00	1500.00	779	2499
114	342.00	1500.00	807	2507
115	345.00	1500.00	768	2416
116	348.00	1500.00	774	2514
117	351.00	1500.00	743	2479
118	354.00	1500.00	817	2588
119	357.00	1500.00	824	2576
120	360.00	1500.00	784	2591
121	363.00	1500.00	832	2477
122	366.00	1500.00	787	2657
123	369.00	1500.00	750	2501
124	372.00	1500.00	790	2586
125	375.00	1500.00	813	2506
126	378.00	1500.00	807	2533
127	381.00	1500.00	785	2503
128	384.00	1500.00	762	2563
129	387.00	1500.00	777	2450
130	390.00	1500.00	782	2571
131	393.00	1500.00	788	2515
132	396.00	1500.00	796	2643
133	399.00	1500.00	800	2541
134	402.00	1500.00	737	2492
* end: 28/09/2023 02:10:55
