*Begin rocking: 30/09/2023 10:05:13
*Points: 0
*
*notes: 
*Rho-Axis: 6.200
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	1.3265100	2	0	745	13775	63	745
         1	1.3267100	2	0	789	13838	73	789
         2	1.3269100	2	0	897	13576	71	897
         3	1.3271000	2	0	981	13622	66	981
         4	1.3273000	2	0	1110	13865	76	1110
         5	1.3275000	2	0	1246	13662	58	1246
         6	1.3277000	2	0	1422	13552	57	1422
         7	1.3279200	2	0	1603	13553	64	1603
         8	1.3281000	2	1	1870	13608	64	1871
         9	1.3283000	2	0	2274	13378	56	2274
        10	1.3285100	2	0	2804	13828	50	2804
        11	1.3287000	2	1	3420	13469	75	3421
        12	1.3289100	2	0	4349	13593	78	4349
        13	1.3291200	2	1	6138	13726	71	6139
        14	1.3293000	2	0	7794	13443	53	7794
        15	1.3295200	2	0	10686	14097	51	10686
        16	1.3297200	2	0	13011	13696	69	13011
        17	1.3299300	2	0	14415	13690	62	14415
        18	1.3301200	2	1	14592	13566	60	14593
        19	1.3302900	2	0	13742	13322	61	13742
        20	1.3305300	2	0	11296	13697	73	11296
        21	1.3306900	2	2	8927	13733	58	8929
        22	1.3309300	2	0	6653	13531	71	6653
        23	1.3311100	2	0	5053	13588	58	5053
        24	1.3313000	2	0	4148	13593	59	4148
        25	1.3315100	2	0	3077	13704	45	3077
        26	1.3317000	2	0	2580	13762	63	2580
        27	1.3319000	2	1	2105	13420	61	2106
        28	1.3321400	2	0	1810	13626	72	1810
        29	1.3322900	2	0	1638	13579	48	1638
        30	1.3325300	2	0	1350	13575	77	1350
        31	1.3327100	2	0	1251	13717	67	1251
*stopped by user: 30/09/2023 10:07:23
