* begin:	07/09/2023 18:37:24
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_A1_alpha_ifg.cfg
*
* no cfg file, sc file created manually
* 0	1.9995117	10.0	38813	2269	61043	84962	3776950648	41082	0.0000000	0.0000000
* Date: 07/09/2023	Time: 18:57
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1200.006000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.01	140	286
1	3.00	1200.01	293	574
2	6.00	1200.01	321	573
3	9.00	1200.01	270	526
4	12.00	1200.01	287	466
5	15.00	1200.01	252	443
6	18.00	1200.01	317	401
7	21.00	1200.01	285	439
8	24.00	1200.01	258	416
9	27.00	1200.01	254	512
10	30.00	1200.01	250	538
11	33.00	1200.01	247	578
12	36.00	1200.01	245	662
13	39.00	1200.01	229	650
14	42.00	1200.01	229	751
15	45.00	1200.01	232	723
16	48.00	1200.01	232	753
17	51.00	1200.01	221	779
18	54.00	1200.01	231	765
19	57.00	1200.01	205	750
20	60.00	1200.01	225	765
21	63.00	1200.01	230	736
22	66.00	1200.01	274	748
23	69.00	1200.01	249	703
24	72.00	1200.01	272	708
25	75.00	1200.01	290	671
26	78.00	1200.01	305	629
27	81.00	1200.01	295	605
28	84.00	1200.01	266	582
29	87.00	1200.01	291	537
30	90.00	1200.01	308	523
31	93.00	1200.01	318	455
32	96.00	1200.01	313	477
33	99.00	1200.01	312	388
34	102.00	1200.01	317	379
35	105.00	1200.01	323	416
36	108.00	1200.01	333	409
37	111.00	1200.01	296	417
38	114.00	1200.01	283	429
39	117.00	1200.01	280	459
40	120.00	1200.01	272	447
41	123.00	1200.01	254	453
42	126.00	1200.01	246	518
43	129.00	1200.01	249	558
44	132.00	1200.01	238	559
45	135.00	1200.01	208	595
46	138.00	1200.01	245	649
47	141.00	1200.01	207	664
48	144.00	1200.01	207	672
49	147.00	1200.01	205	682
50	150.00	1200.01	203	754
51	153.00	1200.01	215	786
52	156.00	1200.01	229	792
53	159.00	1200.01	214	769
54	162.00	1200.01	251	772
55	165.00	1200.01	261	753
56	168.00	1200.01	269	729
57	171.00	1200.01	273	700
58	174.00	1200.01	300	693
59	177.00	1200.01	291	668
60	180.00	1200.01	290	616
61	183.00	1200.01	292	577
62	186.00	1200.01	312	551
63	189.00	1200.01	304	511
64	192.00	1200.01	304	492
65	195.00	1200.01	312	492
66	198.00	1200.01	294	445
67	201.00	1200.01	312	386
68	204.00	1200.01	307	442
69	207.00	1200.01	287	417
70	210.00	1200.01	300	423
71	213.00	1200.01	287	365
72	216.00	1200.01	277	453
73	219.00	1200.01	284	462
74	222.00	1200.01	278	471
75	225.00	1200.01	262	521
76	228.00	1200.01	258	596
77	231.00	1200.01	245	544
78	234.00	1200.01	241	623
79	237.00	1200.01	233	620
80	240.00	1200.01	208	709
81	243.00	1200.01	252	693
82	246.00	1200.01	237	736
83	249.00	1200.01	249	752
84	252.00	1200.01	251	793
85	255.00	1200.01	265	732
86	258.00	1200.01	294	769
87	261.00	1200.01	261	746
88	264.00	1200.01	287	774
89	267.00	1200.01	259	735
90	270.00	1200.01	274	681
91	273.00	1200.01	271	634
92	276.00	1200.01	247	649
93	279.00	1200.01	250	627
94	282.00	1200.01	279	609
95	285.00	1200.01	228	606
96	288.00	1200.01	231	536
97	291.00	1200.01	229	475
98	294.00	1200.01	266	459
99	297.00	1200.01	238	445
100	300.00	1200.01	271	444
101	303.00	1200.01	285	423
102	306.00	1200.01	251	418
103	309.00	1200.01	293	405
104	312.00	1200.01	293	419
105	315.00	1200.01	297	439
106	318.00	1200.01	287	425
107	321.00	1200.01	300	458
108	324.00	1200.01	323	493
109	327.00	1200.01	296	469
110	330.00	1200.01	320	558
111	333.00	1200.01	329	585
112	336.00	1200.01	302	681
113	339.00	1200.01	302	657
114	342.00	1200.01	306	664
115	345.00	1200.01	305	713
116	348.00	1200.01	285	725
117	351.00	1200.01	260	745
118	354.00	1200.01	266	781
119	357.00	1200.01	255	693
120	360.00	1200.01	271	753
121	363.00	1200.01	244	750
122	366.00	1200.01	261	773
123	369.00	1200.01	256	738
124	372.00	1200.01	231	698
125	375.00	1200.01	212	672
126	378.00	1200.01	221	627
127	381.00	1200.01	221	577
128	384.00	1200.01	220	588
129	387.00	1200.01	209	538
130	390.00	1200.01	234	497
131	393.00	1200.01	234	440
132	396.00	1200.01	270	453
