* begin:	16/09/2023 20:16:40
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_A1_19pt_pi8_1500s.cfg
*
* no cfg file, sc file created manually
* 0	0.1495100	5.0	33153	40	30689	96929	3777734504	33193	0.0000000	0.0000000
* Date: 16/09/2023	Time: 20:41
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1500.005000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.01	104	332
1	3.00	1500.01	252	667
2	6.00	1500.01	257	731
3	9.00	1500.01	233	691
4	12.00	1500.01	206	722
5	15.00	1500.01	197	714
6	18.00	1500.01	216	672
7	21.00	1500.01	218	686
8	24.00	1500.01	237	696
9	27.00	1500.01	203	671
10	30.00	1500.01	216	674
11	33.00	1500.01	195	667
12	36.00	1500.01	204	652
13	39.00	1500.01	214	719
14	42.00	1500.01	194	716
15	45.00	1500.01	233	685
16	48.00	1500.01	223	690
17	51.00	1500.01	195	690
18	54.00	1500.01	215	726
19	57.00	1500.01	252	683
20	60.00	1500.01	245	685
21	63.00	1500.01	215	684
22	66.00	1500.01	252	650
23	69.00	1500.01	230	633
24	72.00	1500.01	273	708
25	75.00	1500.01	245	727
26	78.00	1500.01	230	644
27	81.00	1500.01	243	662
28	84.00	1500.01	256	660
29	87.00	1500.01	241	660
30	90.00	1500.01	245	607
31	93.00	1500.01	232	601
32	96.00	1500.01	243	627
33	99.00	1500.01	237	642
34	102.00	1500.01	245	647
35	105.00	1500.01	216	656
36	108.00	1500.01	247	672
37	111.00	1500.01	239	653
38	114.00	1500.01	248	706
39	117.00	1500.01	210	649
40	120.00	1500.01	215	681
41	123.00	1500.01	197	671
42	126.00	1500.01	226	682
43	129.00	1500.01	222	680
44	132.00	1500.01	250	657
45	135.00	1500.01	210	701
46	138.00	1500.01	208	683
47	141.00	1500.01	215	678
48	144.00	1500.01	225	695
49	147.00	1500.01	244	683
50	150.00	1500.01	199	671
51	153.00	1500.01	239	709
52	156.00	1500.01	219	683
53	159.00	1500.01	225	703
54	162.00	1500.01	234	677
55	165.00	1500.01	235	658
56	168.00	1500.01	226	692
57	171.00	1500.01	223	660
58	174.00	1500.01	252	649
59	177.00	1500.01	258	648
60	180.00	1500.01	255	609
61	183.00	1500.01	245	622
62	186.00	1500.01	235	648
63	189.00	1500.01	231	671
64	192.00	1500.01	231	665
65	195.00	1500.01	243	614
66	198.00	1500.01	220	668
67	201.00	1500.01	224	614
68	204.00	1500.01	250	600
69	207.00	1500.01	265	638
70	210.00	1500.01	233	706
71	213.00	1500.01	234	602
72	216.00	1500.01	231	657
73	219.00	1500.01	212	683
74	222.00	1500.01	214	662
75	225.00	1500.01	198	693
76	228.00	1500.01	209	683
77	231.00	1500.01	231	734
78	234.00	1500.01	215	693
79	237.00	1500.01	225	697
80	240.00	1500.01	228	677
81	243.00	1500.01	223	645
82	246.00	1500.01	210	707
83	249.00	1500.01	213	721
84	252.00	1500.01	213	693
85	255.00	1500.01	241	704
86	258.00	1500.01	247	680
87	261.00	1500.01	218	713
88	264.00	1500.01	216	705
89	267.00	1500.01	217	665
90	270.00	1500.01	247	702
91	273.00	1500.01	236	651
92	276.00	1500.01	225	693
93	279.00	1500.01	227	599
94	282.00	1500.01	239	707
95	285.00	1500.01	237	687
96	288.00	1500.01	237	662
97	291.00	1500.01	216	675
98	294.00	1500.01	215	618
99	297.00	1500.01	228	663
100	300.00	1500.01	208	630
101	303.00	1500.01	218	670
102	306.00	1500.01	251	616
103	309.00	1500.01	239	619
104	312.00	1500.01	253	686
105	315.00	1500.01	222	675
106	318.00	1500.01	232	692
107	321.00	1500.01	243	656
108	324.00	1500.01	250	656
109	327.00	1500.01	242	646
110	330.00	1500.01	227	694
111	333.00	1500.01	217	671
112	336.00	1500.01	238	725
113	339.00	1500.01	236	701
114	342.00	1500.01	244	697
115	345.00	1500.01	224	659
116	348.00	1500.01	227	745
117	351.00	1500.01	220	717
118	354.00	1500.01	227	694
119	357.00	1500.01	229	711
120	360.00	1500.01	226	665
121	363.00	1500.01	223	708
122	366.00	1500.01	206	635
123	369.00	1500.01	215	668
124	372.00	1500.01	229	684
125	375.00	1500.01	212	659
126	378.00	1500.01	218	688
127	381.00	1500.01	201	643
128	384.00	1500.01	226	700
129	387.00	1500.01	212	643
130	390.00	1500.01	262	645
131	393.00	1500.01	228	614
132	396.00	1500.01	229	650
133	399.00	1500.01	242	635
134	402.00	1500.01	259	585
135	405.00	1500.01	246	637
136	408.00	1500.01	249	666
137	411.00	1500.01	231	668
138	414.00	1500.01	231	638
139	417.00	1500.01	256	632
140	420.00	1500.01	251	648
141	423.00	1500.01	251	632
142	426.00	1500.01	228	659
143	429.00	1500.01	207	628
144	432.00	1500.01	221	671
* end: 16/09/2023 20:41:45
