* begin:	29/08/2023 13:21:51
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_A1.cfg
*
* no cfg file, sc file created manually
* 0	2.9882812	20.0	18485	5368	124569	34921	3776154115	58774	0.0000000	0.0000000
* Date: 29/08/2023	Time: 13:41
* Pulsetime (탎):0.000003	Looptime (탎): 301.000000	BinWidth (탎): 3.000000	BinCount: 101	measured time (s): 1200.002000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.00	90	192
1	3.00	1200.00	203	397
2	6.00	1200.00	208	473
3	9.00	1200.00	204	509
4	12.00	1200.00	238	588
5	15.00	1200.00	214	523
6	18.00	1200.00	222	588
7	21.00	1200.00	235	545
8	24.00	1200.00	257	518
9	27.00	1200.00	182	455
10	30.00	1200.00	197	453
11	33.00	1200.00	213	414
12	36.00	1200.00	180	369
13	39.00	1200.00	176	329
14	42.00	1200.00	182	297
15	45.00	1200.00	152	233
16	48.00	1200.00	147	231
17	51.00	1200.00	148	248
18	54.00	1200.00	171	232
19	57.00	1200.00	163	236
20	60.00	1200.00	160	273
21	63.00	1200.00	170	297
22	66.00	1200.00	194	282
23	69.00	1200.00	153	302
24	72.00	1200.00	199	272
25	75.00	1200.00	185	284
26	78.00	1200.00	173	268
27	81.00	1200.00	199	236
28	84.00	1200.00	172	213
29	87.00	1200.00	194	252
30	90.00	1200.00	202	254
31	93.00	1200.00	182	228
32	96.00	1200.00	178	312
33	99.00	1200.00	175	361
34	102.00	1200.00	188	397
35	105.00	1200.00	181	459
36	108.00	1200.00	183	496
37	111.00	1200.00	220	503
38	114.00	1200.00	180	541
39	117.00	1200.00	216	564
40	120.00	1200.00	213	573
41	123.00	1200.00	224	560
42	126.00	1200.00	211	537
43	129.00	1200.00	215	448
44	132.00	1200.00	212	440
45	135.00	1200.00	182	352
46	138.00	1200.00	180	307
47	141.00	1200.00	150	292
48	144.00	1200.00	136	232
49	147.00	1200.00	152	211
50	150.00	1200.00	146	237
51	153.00	1200.00	149	253
52	156.00	1200.00	160	285
53	159.00	1200.00	179	270
54	162.00	1200.00	166	291
55	165.00	1200.00	170	278
56	168.00	1200.00	178	305
57	171.00	1200.00	172	280
58	174.00	1200.00	192	257
59	177.00	1200.00	192	283
60	180.00	1200.00	194	251
61	183.00	1200.00	170	239
62	186.00	1200.00	185	226
63	189.00	1200.00	158	214
64	192.00	1200.00	158	257
65	195.00	1200.00	185	296
66	198.00	1200.00	175	337
67	201.00	1200.00	160	384
68	204.00	1200.00	184	416
69	207.00	1200.00	176	463
70	210.00	1200.00	196	556
71	213.00	1200.00	202	522
72	216.00	1200.00	207	540
73	219.00	1200.00	236	573
74	222.00	1200.00	217	569
75	225.00	1200.00	205	483
76	228.00	1200.00	216	524
77	231.00	1200.00	186	435
78	234.00	1200.00	196	425
79	237.00	1200.00	166	330
80	240.00	1200.00	173	303
81	243.00	1200.00	170	262
82	246.00	1200.00	151	245
83	249.00	1200.00	172	235
84	252.00	1200.00	164	231
85	255.00	1200.00	175	240
86	258.00	1200.00	195	258
87	261.00	1200.00	179	271
88	264.00	1200.00	195	285
89	267.00	1200.00	193	317
90	270.00	1200.00	185	292
91	273.00	1200.00	187	258
92	276.00	1200.00	179	272
93	279.00	1200.00	204	232
94	282.00	1200.00	160	263
95	285.00	1200.00	161	193
96	288.00	1200.00	175	223
97	291.00	1200.00	168	267
98	294.00	1200.00	170	288
99	297.00	1200.00	149	324
100	300.00	1200.00	143	307
* end: 29/08/2023 13:41:56
