* begin:	01/09/2023 07:38:09
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_A1_ifg.cfg
*
* no cfg file, sc file created manually
* 0	2.9992676	20.0	45660	5112	123446	138056	3776392692	188828	0.0000000	0.0000000
* Date: 01/09/2023	Time: 07:58
* Pulsetime (탎):0.000003	Looptime (탎): 301.000000	BinWidth (탎): 3.000000	BinCount: 101	measured time (s): 1200.001000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.00	246	683
1	3.00	1200.00	444	1371
2	6.00	1200.00	460	1429
3	9.00	1200.00	474	1416
4	12.00	1200.00	491	1297
5	15.00	1200.00	457	1366
6	18.00	1200.00	472	1420
7	21.00	1200.00	433	1374
8	24.00	1200.00	418	1374
9	27.00	1200.00	460	1329
10	30.00	1200.00	465	1334
11	33.00	1200.00	474	1373
12	36.00	1200.00	455	1380
13	39.00	1200.00	494	1401
14	42.00	1200.00	483	1393
15	45.00	1200.00	484	1410
16	48.00	1200.00	489	1379
17	51.00	1200.00	465	1340
18	54.00	1200.00	418	1377
19	57.00	1200.00	437	1342
20	60.00	1200.00	451	1363
21	63.00	1200.00	461	1352
22	66.00	1200.00	417	1338
23	69.00	1200.00	420	1317
24	72.00	1200.00	442	1355
25	75.00	1200.00	419	1343
26	78.00	1200.00	380	1328
27	81.00	1200.00	399	1341
28	84.00	1200.00	426	1442
29	87.00	1200.00	428	1408
30	90.00	1200.00	449	1388
31	93.00	1200.00	423	1451
32	96.00	1200.00	439	1449
33	99.00	1200.00	438	1372
34	102.00	1200.00	469	1441
35	105.00	1200.00	461	1363
36	108.00	1200.00	471	1412
37	111.00	1200.00	407	1324
38	114.00	1200.00	458	1352
39	117.00	1200.00	450	1423
40	120.00	1200.00	475	1412
41	123.00	1200.00	457	1415
42	126.00	1200.00	445	1369
43	129.00	1200.00	424	1393
44	132.00	1200.00	481	1324
45	135.00	1200.00	487	1360
46	138.00	1200.00	479	1416
47	141.00	1200.00	481	1350
48	144.00	1200.00	453	1436
49	147.00	1200.00	485	1385
50	150.00	1200.00	470	1384
51	153.00	1200.00	444	1278
52	156.00	1200.00	452	1321
53	159.00	1200.00	457	1324
54	162.00	1200.00	458	1400
55	165.00	1200.00	440	1359
56	168.00	1200.00	471	1379
57	171.00	1200.00	451	1361
58	174.00	1200.00	441	1373
59	177.00	1200.00	443	1375
60	180.00	1200.00	453	1369
61	183.00	1200.00	441	1358
62	186.00	1200.00	460	1456
63	189.00	1200.00	469	1366
64	192.00	1200.00	467	1427
65	195.00	1200.00	439	1424
66	198.00	1200.00	499	1474
67	201.00	1200.00	472	1353
68	204.00	1200.00	449	1426
69	207.00	1200.00	458	1317
70	210.00	1200.00	455	1341
71	213.00	1200.00	449	1381
72	216.00	1200.00	450	1336
73	219.00	1200.00	453	1340
74	222.00	1200.00	448	1323
75	225.00	1200.00	440	1289
76	228.00	1200.00	444	1445
77	231.00	1200.00	485	1443
78	234.00	1200.00	496	1430
79	237.00	1200.00	456	1345
80	240.00	1200.00	469	1444
81	243.00	1200.00	479	1355
82	246.00	1200.00	461	1435
83	249.00	1200.00	470	1372
84	252.00	1200.00	469	1478
85	255.00	1200.00	491	1309
86	258.00	1200.00	478	1315
87	261.00	1200.00	469	1358
88	264.00	1200.00	452	1441
89	267.00	1200.00	453	1279
90	270.00	1200.00	416	1479
91	273.00	1200.00	431	1229
92	276.00	1200.00	437	1368
93	279.00	1200.00	428	1302
94	282.00	1200.00	469	1372
95	285.00	1200.00	409	1354
96	288.00	1200.00	499	1425
97	291.00	1200.00	434	1355
98	294.00	1200.00	471	1469
99	297.00	1200.00	441	1370
100	300.00	1200.00	430	1140
* end: 01/09/2023 07:58:14
