* begin:	30/08/2023 08:27:26
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_A1_ifg.cfg
*
* no cfg file, sc file created manually
* 0	2.9992676	20.0	26410	4513	126098	71626	3776222849	102549	0.0000000	0.0000000
* Date: 30/08/2023	Time: 08:47
* Pulsetime (탎):0.000003	Looptime (탎): 301.000000	BinWidth (탎): 3.000000	BinCount: 101	measured time (s): 1200.030000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.03	158	422
1	3.00	1200.03	245	956
2	6.00	1200.03	300	967
3	9.00	1200.03	309	1006
4	12.00	1200.03	314	986
5	15.00	1200.03	334	968
6	18.00	1200.03	334	1001
7	21.00	1200.03	340	1026
8	24.00	1200.03	342	997
9	27.00	1200.03	318	958
10	30.00	1200.03	324	962
11	33.00	1200.03	279	864
12	36.00	1200.03	273	867
13	39.00	1200.03	259	730
14	42.00	1200.03	297	762
15	45.00	1200.03	265	645
16	48.00	1200.03	193	643
17	51.00	1200.03	254	567
18	54.00	1200.03	228	503
19	57.00	1200.03	228	459
20	60.00	1200.03	206	419
21	63.00	1200.03	206	411
22	66.00	1200.03	215	436
23	69.00	1200.03	221	404
24	72.00	1200.03	205	428
25	75.00	1200.03	200	461
26	78.00	1200.03	203	428
27	81.00	1200.03	212	471
28	84.00	1200.03	240	557
29	87.00	1200.03	208	636
30	90.00	1200.03	247	648
31	93.00	1200.03	249	737
32	96.00	1200.03	264	841
33	99.00	1200.03	292	857
34	102.00	1200.03	283	869
35	105.00	1200.03	280	930
36	108.00	1200.03	336	1023
37	111.00	1200.03	280	999
38	114.00	1200.03	341	1026
39	117.00	1200.03	354	979
40	120.00	1200.03	371	1032
41	123.00	1200.03	320	981
42	126.00	1200.03	343	929
43	129.00	1200.03	283	972
44	132.00	1200.03	320	961
45	135.00	1200.03	308	848
46	138.00	1200.03	268	791
47	141.00	1200.03	283	778
48	144.00	1200.03	265	645
49	147.00	1200.03	240	588
50	150.00	1200.03	232	614
51	153.00	1200.03	218	502
52	156.00	1200.03	229	507
53	159.00	1200.03	223	442
54	162.00	1200.03	207	464
55	165.00	1200.03	208	375
56	168.00	1200.03	196	402
57	171.00	1200.03	209	344
58	174.00	1200.03	216	437
59	177.00	1200.03	218	439
60	180.00	1200.03	214	463
61	183.00	1200.03	222	500
62	186.00	1200.03	226	601
63	189.00	1200.03	223	624
64	192.00	1200.03	245	725
65	195.00	1200.03	274	789
66	198.00	1200.03	298	845
67	201.00	1200.03	273	847
68	204.00	1200.03	291	951
69	207.00	1200.03	305	941
70	210.00	1200.03	320	1007
71	213.00	1200.03	334	1023
72	216.00	1200.03	320	1000
73	219.00	1200.03	312	1021
74	222.00	1200.03	375	1011
75	225.00	1200.03	318	995
76	228.00	1200.03	342	1024
77	231.00	1200.03	315	909
78	234.00	1200.03	333	830
79	237.00	1200.03	281	798
80	240.00	1200.03	271	799
81	243.00	1200.03	284	691
82	246.00	1200.03	251	697
83	249.00	1200.03	250	509
84	252.00	1200.03	216	526
85	255.00	1200.03	203	487
86	258.00	1200.03	227	482
87	261.00	1200.03	192	437
88	264.00	1200.03	195	412
89	267.00	1200.03	211	376
90	270.00	1200.03	196	371
91	273.00	1200.03	213	435
92	276.00	1200.03	215	437
93	279.00	1200.03	183	473
94	282.00	1200.03	229	506
95	285.00	1200.03	247	544
96	288.00	1200.03	213	629
97	291.00	1200.03	233	693
98	294.00	1200.03	240	815
99	297.00	1200.03	287	769
100	300.00	1200.03	240	734
* end: 30/08/2023 08:47:31
