* begin:	18/09/2023 11:21:43
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2+A1_19pt_pi8_1500s.cfg
*
* no cfg file, sc file created manually
* 0	0.1494900	5.0	20106	130	31171	51492	3777875207	20236	0.0000000	0.0000000
* Date: 18/09/2023	Time: 11:46
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1500.003000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.00	79	226
1	3.00	1500.00	129	419
2	6.00	1500.00	156	461
3	9.00	1500.00	148	470
4	12.00	1500.00	146	443
5	15.00	1500.00	139	418
6	18.00	1500.00	160	389
7	21.00	1500.00	165	390
8	24.00	1500.00	119	351
9	27.00	1500.00	131	335
10	30.00	1500.00	145	387
11	33.00	1500.00	118	327
12	36.00	1500.00	129	334
13	39.00	1500.00	129	379
14	42.00	1500.00	111	375
15	45.00	1500.00	123	342
16	48.00	1500.00	120	405
17	51.00	1500.00	119	386
18	54.00	1500.00	135	468
19	57.00	1500.00	120	402
20	60.00	1500.00	130	418
21	63.00	1500.00	119	406
22	66.00	1500.00	154	360
23	69.00	1500.00	155	332
24	72.00	1500.00	158	342
25	75.00	1500.00	150	281
26	78.00	1500.00	172	294
27	81.00	1500.00	162	276
28	84.00	1500.00	172	253
29	87.00	1500.00	176	236
30	90.00	1500.00	154	272
31	93.00	1500.00	158	254
32	96.00	1500.00	158	283
33	99.00	1500.00	134	288
34	102.00	1500.00	136	300
35	105.00	1500.00	132	367
36	108.00	1500.00	144	336
37	111.00	1500.00	115	335
38	114.00	1500.00	104	364
39	117.00	1500.00	114	409
40	120.00	1500.00	106	409
41	123.00	1500.00	128	411
42	126.00	1500.00	102	417
43	129.00	1500.00	119	393
44	132.00	1500.00	120	407
45	135.00	1500.00	122	384
46	138.00	1500.00	147	404
47	141.00	1500.00	132	396
48	144.00	1500.00	133	370
49	147.00	1500.00	141	385
50	150.00	1500.00	157	385
51	153.00	1500.00	130	360
52	156.00	1500.00	160	373
53	159.00	1500.00	147	388
54	162.00	1500.00	138	355
55	165.00	1500.00	139	356
56	168.00	1500.00	148	377
57	171.00	1500.00	140	407
58	174.00	1500.00	164	393
59	177.00	1500.00	133	393
60	180.00	1500.00	135	382
61	183.00	1500.00	149	354
62	186.00	1500.00	142	366
63	189.00	1500.00	125	348
64	192.00	1500.00	144	333
65	195.00	1500.00	139	306
66	198.00	1500.00	128	307
67	201.00	1500.00	144	272
68	204.00	1500.00	142	278
69	207.00	1500.00	136	261
70	210.00	1500.00	156	302
71	213.00	1500.00	132	266
72	216.00	1500.00	143	290
73	219.00	1500.00	142	263
74	222.00	1500.00	133	297
75	225.00	1500.00	149	341
76	228.00	1500.00	129	364
77	231.00	1500.00	121	388
78	234.00	1500.00	109	444
79	237.00	1500.00	115	443
80	240.00	1500.00	119	448
81	243.00	1500.00	119	478
82	246.00	1500.00	133	498
83	249.00	1500.00	120	458
84	252.00	1500.00	134	448
85	255.00	1500.00	142	466
86	258.00	1500.00	118	462
87	261.00	1500.00	126	424
88	264.00	1500.00	160	426
89	267.00	1500.00	147	386
90	270.00	1500.00	166	343
91	273.00	1500.00	154	336
92	276.00	1500.00	166	297
93	279.00	1500.00	175	243
94	282.00	1500.00	173	268
95	285.00	1500.00	146	253
96	288.00	1500.00	134	280
97	291.00	1500.00	161	247
98	294.00	1500.00	152	271
99	297.00	1500.00	121	267
100	300.00	1500.00	139	307
101	303.00	1500.00	134	294
102	306.00	1500.00	153	322
103	309.00	1500.00	146	335
104	312.00	1500.00	142	330
105	315.00	1500.00	148	387
106	318.00	1500.00	149	411
107	321.00	1500.00	145	414
108	324.00	1500.00	156	427
109	327.00	1500.00	109	379
110	330.00	1500.00	163	369
111	333.00	1500.00	151	403
112	336.00	1500.00	133	417
113	339.00	1500.00	156	363
114	342.00	1500.00	115	385
115	345.00	1500.00	162	334
116	348.00	1500.00	128	368
117	351.00	1500.00	123	386
118	354.00	1500.00	120	375
119	357.00	1500.00	116	380
120	360.00	1500.00	117	360
121	363.00	1500.00	102	387
122	366.00	1500.00	122	394
123	369.00	1500.00	137	377
124	372.00	1500.00	118	425
125	375.00	1500.00	128	358
126	378.00	1500.00	122	363
127	381.00	1500.00	115	381
128	384.00	1500.00	151	354
129	387.00	1500.00	146	359
130	390.00	1500.00	143	326
131	393.00	1500.00	144	301
132	396.00	1500.00	136	312
133	399.00	1500.00	142	307
134	402.00	1500.00	149	302
135	405.00	1500.00	157	268
136	408.00	1500.00	151	261
137	411.00	1500.00	138	246
138	414.00	1500.00	174	265
139	417.00	1500.00	154	230
140	420.00	1500.00	152	304
141	423.00	1500.00	144	315
142	426.00	1500.00	147	361
143	429.00	1500.00	152	358
144	432.00	1500.00	147	346
* end: 18/09/2023 11:46:49
