* begin:	30/08/2023 04:11:05
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2+A1.cfg
*
* no cfg file, sc file created manually
* 0	2.9992676	20.0	24835	4796	129036	46264	3776207468	75895	0.0000000	0.0000000
* Date: 30/08/2023	Time: 04:31
* Pulsetime (탎):0.000003	Looptime (탎): 401.000000	BinWidth (탎): 3.000000	BinCount: 134	measured time (s): 1200.011000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.01	106	101
1	3.00	1200.01	182	257
2	6.00	1200.01	172	260
3	9.00	1200.01	131	270
4	12.00	1200.01	159	280
5	15.00	1200.01	130	308
6	18.00	1200.01	143	299
7	21.00	1200.01	132	303
8	24.00	1200.01	126	269
9	27.00	1200.01	135	223
10	30.00	1200.01	131	243
11	33.00	1200.01	123	195
12	36.00	1200.01	153	230
13	39.00	1200.01	148	205
14	42.00	1200.01	185	222
15	45.00	1200.01	215	188
16	48.00	1200.01	213	228
17	51.00	1200.01	232	255
18	54.00	1200.01	239	297
19	57.00	1200.01	242	309
20	60.00	1200.01	274	409
21	63.00	1200.01	249	422
22	66.00	1200.01	233	489
23	69.00	1200.01	228	520
24	72.00	1200.01	221	601
25	75.00	1200.01	213	639
26	78.00	1200.01	193	658
27	81.00	1200.01	179	642
28	84.00	1200.01	148	680
29	87.00	1200.01	144	581
30	90.00	1200.01	149	534
31	93.00	1200.01	180	420
32	96.00	1200.01	172	335
33	99.00	1200.01	177	271
34	102.00	1200.01	166	186
35	105.00	1200.01	155	190
36	108.00	1200.01	155	179
37	111.00	1200.01	166	179
38	114.00	1200.01	182	189
39	117.00	1200.01	188	202
40	120.00	1200.01	168	204
41	123.00	1200.01	161	205
42	126.00	1200.01	165	190
43	129.00	1200.01	170	184
44	132.00	1200.01	166	221
45	135.00	1200.01	154	240
46	138.00	1200.01	132	322
47	141.00	1200.01	156	407
48	144.00	1200.01	167	437
49	147.00	1200.01	139	499
50	150.00	1200.01	149	602
51	153.00	1200.01	152	594
52	156.00	1200.01	173	674
53	159.00	1200.01	204	619
54	162.00	1200.01	213	580
55	165.00	1200.01	206	559
56	168.00	1200.01	230	533
57	171.00	1200.01	258	463
58	174.00	1200.01	265	374
59	177.00	1200.01	254	331
60	180.00	1200.01	257	265
61	183.00	1200.01	238	254
62	186.00	1200.01	251	250
63	189.00	1200.01	228	239
64	192.00	1200.01	213	221
65	195.00	1200.01	206	213
66	198.00	1200.01	202	215
67	201.00	1200.01	184	219
68	204.00	1200.01	163	222
69	207.00	1200.01	156	222
70	210.00	1200.01	169	269
71	213.00	1200.01	141	294
72	216.00	1200.01	128	292
73	219.00	1200.01	122	281
74	222.00	1200.01	141	271
75	225.00	1200.01	140	268
76	228.00	1200.01	126	236
77	231.00	1200.01	139	195
78	234.00	1200.01	152	228
79	237.00	1200.01	168	222
80	240.00	1200.01	177	200
81	243.00	1200.01	202	187
82	246.00	1200.01	192	245
83	249.00	1200.01	205	242
84	252.00	1200.01	219	248
85	255.00	1200.01	207	288
86	258.00	1200.01	255	359
87	261.00	1200.01	237	382
88	264.00	1200.01	270	474
89	267.00	1200.01	225	478
90	270.00	1200.01	251	492
91	273.00	1200.01	216	573
92	276.00	1200.01	216	674
93	279.00	1200.01	189	696
94	282.00	1200.01	186	625
95	285.00	1200.01	174	648
96	288.00	1200.01	146	542
97	291.00	1200.01	173	452
98	294.00	1200.01	167	394
99	297.00	1200.01	143	289
100	300.00	1200.01	181	260
101	303.00	1200.01	166	196
102	306.00	1200.01	160	163
103	309.00	1200.01	171	175
104	312.00	1200.01	178	204
105	315.00	1200.01	172	198
106	318.00	1200.01	180	201
107	321.00	1200.01	135	198
108	324.00	1200.01	176	208
109	327.00	1200.01	145	167
110	330.00	1200.01	154	175
111	333.00	1200.01	138	214
112	336.00	1200.01	153	263
113	339.00	1200.01	128	341
114	342.00	1200.01	153	374
115	345.00	1200.01	182	500
116	348.00	1200.01	157	550
117	351.00	1200.01	152	601
118	354.00	1200.01	185	619
119	357.00	1200.01	175	627
120	360.00	1200.01	169	621
121	363.00	1200.01	181	602
122	366.00	1200.01	214	549
123	369.00	1200.01	212	499
124	372.00	1200.01	269	399
125	375.00	1200.01	225	423
126	378.00	1200.01	273	326
127	381.00	1200.01	279	317
128	384.00	1200.01	253	274
129	387.00	1200.01	254	241
130	390.00	1200.01	252	207
131	393.00	1200.01	240	226
132	396.00	1200.01	228	222
133	399.00	1200.01	191	219
* end: 30/08/2023 04:31:10
