* begin:	11/09/2023 07:12:16
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2_19pt.cfg
*
* no cfg file, sc file created manually
* 0	0.1480000	5.0	37106	373	33128	120925	3777255139	37479	0.0000000	0.0000000
* Date: 11/09/2023	Time: 07:32
* Pulsetime (탎):0.000003	Looptime (탎): 404.000000	BinWidth (탎): 3.000000	BinCount: 135	measured time (s): 1200.015000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.02	108	377
1	3.00	1200.02	211	736
2	6.00	1200.02	235	760
3	9.00	1200.02	263	832
4	12.00	1200.02	244	897
5	15.00	1200.02	265	868
6	18.00	1200.02	245	930
7	21.00	1200.02	302	915
8	24.00	1200.02	295	1012
9	27.00	1200.02	307	1021
10	30.00	1200.02	287	1069
11	33.00	1200.02	331	992
12	36.00	1200.02	307	1059
13	39.00	1200.02	316	1067
14	42.00	1200.02	340	998
15	45.00	1200.02	319	1029
16	48.00	1200.02	341	1039
17	51.00	1200.02	323	950
18	54.00	1200.02	324	1014
19	57.00	1200.02	288	991
20	60.00	1200.02	276	985
21	63.00	1200.02	314	974
22	66.00	1200.02	308	942
23	69.00	1200.02	268	882
24	72.00	1200.02	269	915
25	75.00	1200.02	241	846
26	78.00	1200.02	236	859
27	81.00	1200.02	255	778
28	84.00	1200.02	209	801
29	87.00	1200.02	219	734
30	90.00	1200.02	263	715
31	93.00	1200.02	222	723
32	96.00	1200.02	232	712
33	99.00	1200.02	210	732
34	102.00	1200.02	235	750
35	105.00	1200.02	232	708
36	108.00	1200.02	241	800
37	111.00	1200.02	281	846
38	114.00	1200.02	252	852
39	117.00	1200.02	302	891
40	120.00	1200.02	275	964
41	123.00	1200.02	299	901
42	126.00	1200.02	292	983
43	129.00	1200.02	290	976
44	132.00	1200.02	326	1068
45	135.00	1200.02	314	1014
46	138.00	1200.02	341	1034
47	141.00	1200.02	337	1038
48	144.00	1200.02	321	1009
49	147.00	1200.02	317	1048
50	150.00	1200.02	317	1083
51	153.00	1200.02	330	986
52	156.00	1200.02	309	1018
53	159.00	1200.02	295	981
54	162.00	1200.02	310	990
55	165.00	1200.02	288	911
56	168.00	1200.02	259	924
57	171.00	1200.02	272	973
58	174.00	1200.02	272	852
59	177.00	1200.02	252	813
60	180.00	1200.02	239	796
61	183.00	1200.02	226	758
62	186.00	1200.02	223	737
63	189.00	1200.02	231	735
64	192.00	1200.02	236	695
65	195.00	1200.02	224	790
66	198.00	1200.02	232	769
67	201.00	1200.02	256	689
68	204.00	1200.02	203	758
69	207.00	1200.02	239	804
70	210.00	1200.02	242	849
71	213.00	1200.02	275	797
72	216.00	1200.02	279	894
73	219.00	1200.02	235	906
74	222.00	1200.02	267	986
75	225.00	1200.02	294	939
76	228.00	1200.02	305	999
77	231.00	1200.02	333	956
78	234.00	1200.02	322	1027
79	237.00	1200.02	294	1029
80	240.00	1200.02	342	1054
81	243.00	1200.02	316	1018
82	246.00	1200.02	318	1157
83	249.00	1200.02	327	1041
84	252.00	1200.02	308	1078
85	255.00	1200.02	301	979
86	258.00	1200.02	321	1026
87	261.00	1200.02	283	930
88	264.00	1200.02	282	1008
89	267.00	1200.02	255	1013
90	270.00	1200.02	274	958
91	273.00	1200.02	251	886
92	276.00	1200.02	243	888
93	279.00	1200.02	243	808
94	282.00	1200.02	241	763
95	285.00	1200.02	212	757
96	288.00	1200.02	247	751
97	291.00	1200.02	221	748
98	294.00	1200.02	210	669
99	297.00	1200.02	225	696
100	300.00	1200.02	204	744
101	303.00	1200.02	265	736
102	306.00	1200.02	229	861
103	309.00	1200.02	242	803
104	312.00	1200.02	295	828
105	315.00	1200.02	266	920
106	318.00	1200.02	288	853
107	321.00	1200.02	304	869
108	324.00	1200.02	268	911
109	327.00	1200.02	317	961
110	330.00	1200.02	306	1045
111	333.00	1200.02	309	958
112	336.00	1200.02	314	1005
113	339.00	1200.02	307	1001
114	342.00	1200.02	320	1090
115	345.00	1200.02	318	1008
116	348.00	1200.02	338	1066
117	351.00	1200.02	295	1046
118	354.00	1200.02	367	1041
119	357.00	1200.02	343	1005
120	360.00	1200.02	296	991
121	363.00	1200.02	324	901
122	366.00	1200.02	284	945
123	369.00	1200.02	280	929
124	372.00	1200.02	293	960
125	375.00	1200.02	284	835
126	378.00	1200.02	267	810
127	381.00	1200.02	246	827
128	384.00	1200.02	258	779
129	387.00	1200.02	216	729
130	390.00	1200.02	235	715
131	393.00	1200.02	209	705
132	396.00	1200.02	226	745
133	399.00	1200.02	216	715
134	402.00	1200.02	241	746
* end: 11/09/2023 07:32:21
