* begin:	26/09/2023 16:10:44
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2_19pt_pi4_1500s.cfg
*
* no cfg file, sc file created manually
* 0	1.9995117	5.0	62173	53	31687	195481	3778583747	62226	0.0000000	0.0000000
* Date: 26/09/2023	Time: 16:35
* Pulsetime (탎):0.000003	Looptime (탎): 404.000000	BinWidth (탎): 3.000000	BinCount: 135	measured time (s): 1500.013000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.01	202	733
1	3.00	1500.01	416	1525
2	6.00	1500.01	470	1556
3	9.00	1500.01	475	1547
4	12.00	1500.01	442	1525
5	15.00	1500.01	464	1502
6	18.00	1500.01	443	1577
7	21.00	1500.01	478	1484
8	24.00	1500.01	460	1450
9	27.00	1500.01	461	1440
10	30.00	1500.01	429	1432
11	33.00	1500.01	434	1404
12	36.00	1500.01	494	1365
13	39.00	1500.01	486	1348
14	42.00	1500.01	480	1363
15	45.00	1500.01	479	1362
16	48.00	1500.01	501	1398
17	51.00	1500.01	498	1335
18	54.00	1500.01	458	1399
19	57.00	1500.01	439	1399
20	60.00	1500.01	508	1371
21	63.00	1500.01	475	1477
22	66.00	1500.01	465	1454
23	69.00	1500.01	461	1503
24	72.00	1500.01	491	1573
25	75.00	1500.01	445	1510
26	78.00	1500.01	498	1522
27	81.00	1500.01	476	1532
28	84.00	1500.01	429	1552
29	87.00	1500.01	431	1509
30	90.00	1500.01	465	1471
31	93.00	1500.01	437	1451
32	96.00	1500.01	453	1473
33	99.00	1500.01	427	1396
34	102.00	1500.01	460	1523
35	105.00	1500.01	429	1509
36	108.00	1500.01	466	1518
37	111.00	1500.01	451	1533
38	114.00	1500.01	456	1495
39	117.00	1500.01	491	1510
40	120.00	1500.01	483	1574
41	123.00	1500.01	466	1497
42	126.00	1500.01	457	1538
43	129.00	1500.01	460	1444
44	132.00	1500.01	436	1403
45	135.00	1500.01	451	1378
46	138.00	1500.01	456	1349
47	141.00	1500.01	432	1286
48	144.00	1500.01	443	1258
49	147.00	1500.01	450	1235
50	150.00	1500.01	436	1336
51	153.00	1500.01	524	1389
52	156.00	1500.01	471	1358
53	159.00	1500.01	494	1371
54	162.00	1500.01	491	1527
55	165.00	1500.01	464	1454
56	168.00	1500.01	493	1567
57	171.00	1500.01	465	1476
58	174.00	1500.01	450	1606
59	177.00	1500.01	480	1554
60	180.00	1500.01	443	1518
61	183.00	1500.01	427	1425
62	186.00	1500.01	457	1494
63	189.00	1500.01	387	1412
64	192.00	1500.01	447	1468
65	195.00	1500.01	449	1425
66	198.00	1500.01	486	1505
67	201.00	1500.01	435	1561
68	204.00	1500.01	425	1432
69	207.00	1500.01	432	1511
70	210.00	1500.01	455	1480
71	213.00	1500.01	451	1503
72	216.00	1500.01	467	1513
73	219.00	1500.01	467	1522
74	222.00	1500.01	467	1588
75	225.00	1500.01	451	1491
76	228.00	1500.01	484	1461
77	231.00	1500.01	485	1396
78	234.00	1500.01	423	1428
79	237.00	1500.01	471	1335
80	240.00	1500.01	451	1368
81	243.00	1500.01	453	1339
82	246.00	1500.01	479	1329
83	249.00	1500.01	432	1325
84	252.00	1500.01	462	1375
85	255.00	1500.01	472	1345
86	258.00	1500.01	488	1337
87	261.00	1500.01	515	1427
88	264.00	1500.01	507	1446
89	267.00	1500.01	501	1412
90	270.00	1500.01	478	1545
91	273.00	1500.01	473	1472
92	276.00	1500.01	486	1578
93	279.00	1500.01	465	1492
94	282.00	1500.01	466	1490
95	285.00	1500.01	445	1523
96	288.00	1500.01	429	1418
97	291.00	1500.01	483	1446
98	294.00	1500.01	460	1478
99	297.00	1500.01	437	1381
100	300.00	1500.01	409	1493
101	303.00	1500.01	421	1469
102	306.00	1500.01	453	1541
103	309.00	1500.01	437	1582
104	312.00	1500.01	463	1468
105	315.00	1500.01	460	1575
106	318.00	1500.01	487	1538
107	321.00	1500.01	464	1557
108	324.00	1500.01	493	1454
109	327.00	1500.01	439	1473
110	330.00	1500.01	473	1461
111	333.00	1500.01	468	1422
112	336.00	1500.01	439	1401
113	339.00	1500.01	450	1325
114	342.00	1500.01	410	1310
115	345.00	1500.01	447	1299
116	348.00	1500.01	493	1334
117	351.00	1500.01	462	1326
118	354.00	1500.01	468	1322
119	357.00	1500.01	481	1378
120	360.00	1500.01	485	1407
121	363.00	1500.01	493	1411
122	366.00	1500.01	474	1473
123	369.00	1500.01	517	1490
124	372.00	1500.01	540	1496
125	375.00	1500.01	483	1445
126	378.00	1500.01	480	1521
127	381.00	1500.01	480	1440
128	384.00	1500.01	483	1488
129	387.00	1500.01	452	1521
130	390.00	1500.01	444	1435
131	393.00	1500.01	441	1380
132	396.00	1500.01	449	1426
133	399.00	1500.01	414	1407
134	402.00	1500.01	439	1550
* end: 26/09/2023 16:35:48
