* begin:	28/08/2023 06:28:40
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2.cfg
*
* no cfg file, sc file created manually
* 0	1.4941406	5.0	5343	463	29407	14258	3776042923	20064	0.0000000	0.0000000
* Date: 28/08/2023	Time: 06:48
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 3.000000	BinCount: 102	measured time (s): 1200.002000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.00	21	65
1	3.00	1200.00	46	145
2	6.00	1200.00	56	136
3	9.00	1200.00	54	146
4	12.00	1200.00	53	124
5	15.00	1200.00	53	138
6	18.00	1200.00	60	148
7	21.00	1200.00	47	132
8	24.00	1200.00	68	168
9	27.00	1200.00	50	136
10	30.00	1200.00	55	156
11	33.00	1200.00	45	149
12	36.00	1200.00	49	150
13	39.00	1200.00	62	128
14	42.00	1200.00	68	146
15	45.00	1200.00	42	134
16	48.00	1200.00	54	132
17	51.00	1200.00	58	137
18	54.00	1200.00	49	136
19	57.00	1200.00	55	138
20	60.00	1200.00	51	141
21	63.00	1200.00	63	138
22	66.00	1200.00	61	151
23	69.00	1200.00	47	147
24	72.00	1200.00	46	151
25	75.00	1200.00	60	134
26	78.00	1200.00	51	163
27	81.00	1200.00	62	119
28	84.00	1200.00	51	151
29	87.00	1200.00	44	139
30	90.00	1200.00	60	144
31	93.00	1200.00	51	175
32	96.00	1200.00	50	118
33	99.00	1200.00	43	131
34	102.00	1200.00	39	144
35	105.00	1200.00	56	121
36	108.00	1200.00	54	153
37	111.00	1200.00	52	130
38	114.00	1200.00	61	135
39	117.00	1200.00	43	136
40	120.00	1200.00	53	153
41	123.00	1200.00	48	156
42	126.00	1200.00	57	138
43	129.00	1200.00	57	129
44	132.00	1200.00	51	117
45	135.00	1200.00	61	148
46	138.00	1200.00	43	142
47	141.00	1200.00	55	135
48	144.00	1200.00	45	141
49	147.00	1200.00	55	119
50	150.00	1200.00	60	127
51	153.00	1200.00	56	151
52	156.00	1200.00	49	148
53	159.00	1200.00	48	147
54	162.00	1200.00	45	123
55	165.00	1200.00	38	146
56	168.00	1200.00	56	150
57	171.00	1200.00	50	150
58	174.00	1200.00	41	148
59	177.00	1200.00	55	143
60	180.00	1200.00	52	133
61	183.00	1200.00	57	141
62	186.00	1200.00	40	147
63	189.00	1200.00	55	145
64	192.00	1200.00	50	158
65	195.00	1200.00	57	124
66	198.00	1200.00	50	135
67	201.00	1200.00	60	152
68	204.00	1200.00	52	147
69	207.00	1200.00	62	132
70	210.00	1200.00	46	134
71	213.00	1200.00	60	143
72	216.00	1200.00	39	148
73	219.00	1200.00	48	119
74	222.00	1200.00	59	156
75	225.00	1200.00	48	128
76	228.00	1200.00	60	145
77	231.00	1200.00	49	150
78	234.00	1200.00	44	113
79	237.00	1200.00	49	156
80	240.00	1200.00	56	158
81	243.00	1200.00	43	128
82	246.00	1200.00	59	146
83	249.00	1200.00	60	137
84	252.00	1200.00	64	128
85	255.00	1200.00	62	155
86	258.00	1200.00	53	134
87	261.00	1200.00	47	139
88	264.00	1200.00	48	156
89	267.00	1200.00	55	130
90	270.00	1200.00	55	132
91	273.00	1200.00	55	159
92	276.00	1200.00	59	128
93	279.00	1200.00	60	128
94	282.00	1200.00	53	146
95	285.00	1200.00	59	148
96	288.00	1200.00	60	131
97	291.00	1200.00	52	150
98	294.00	1200.00	48	155
99	297.00	1200.00	56	132
100	300.00	1200.00	49	128
101	303.00	1200.00	40	128
* end: 28/08/2023 06:48:45
