* begin:	29/08/2023 22:13:47
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2_ifg.cfg
*
* no cfg file, sc file created manually
* 0	3.0102539	20.0	18903	4723	125171	32298	3776186031	55924	0.0000000	0.0000000
* Date: 29/08/2023	Time: 22:33
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 3.000000	BinCount: 102	measured time (s): 1200.006000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.01	135	294
1	3.00	1200.01	238	486
2	6.00	1200.01	206	487
3	9.00	1200.01	208	391
4	12.00	1200.01	202	355
5	15.00	1200.01	174	304
6	18.00	1200.01	169	253
7	21.00	1200.01	166	193
8	24.00	1200.01	163	199
9	27.00	1200.01	167	176
10	30.00	1200.01	161	180
11	33.00	1200.01	183	200
12	36.00	1200.01	177	241
13	39.00	1200.01	141	234
14	42.00	1200.01	124	263
15	45.00	1200.01	155	274
16	48.00	1200.01	156	260
17	51.00	1200.01	149	239
18	54.00	1200.01	129	274
19	57.00	1200.01	134	244
20	60.00	1200.01	158	205
21	63.00	1200.01	147	211
22	66.00	1200.01	164	195
23	69.00	1200.01	161	189
24	72.00	1200.01	208	211
25	75.00	1200.01	200	215
26	78.00	1200.01	241	245
27	81.00	1200.01	226	323
28	84.00	1200.01	231	361
29	87.00	1200.01	241	397
30	90.00	1200.01	256	456
31	93.00	1200.01	239	497
32	96.00	1200.01	263	567
33	99.00	1200.01	226	561
34	102.00	1200.01	251	556
35	105.00	1200.01	216	566
36	108.00	1200.01	225	455
37	111.00	1200.01	215	405
38	114.00	1200.01	161	376
39	117.00	1200.01	174	352
40	120.00	1200.01	160	271
41	123.00	1200.01	179	223
42	126.00	1200.01	150	225
43	129.00	1200.01	155	173
44	132.00	1200.01	158	211
45	135.00	1200.01	141	207
46	138.00	1200.01	153	200
47	141.00	1200.01	135	246
48	144.00	1200.01	123	288
49	147.00	1200.01	136	275
50	150.00	1200.01	140	300
51	153.00	1200.01	134	267
52	156.00	1200.01	140	278
53	159.00	1200.01	153	253
54	162.00	1200.01	144	226
55	165.00	1200.01	175	205
56	168.00	1200.01	155	186
57	171.00	1200.01	187	183
58	174.00	1200.01	169	224
59	177.00	1200.01	201	245
60	180.00	1200.01	228	290
61	183.00	1200.01	210	342
62	186.00	1200.01	229	415
63	189.00	1200.01	228	465
64	192.00	1200.01	258	550
65	195.00	1200.01	269	577
66	198.00	1200.01	268	555
67	201.00	1200.01	259	533
68	204.00	1200.01	249	575
69	207.00	1200.01	232	531
70	210.00	1200.01	216	480
71	213.00	1200.01	205	418
72	216.00	1200.01	174	385
73	219.00	1200.01	174	274
74	222.00	1200.01	190	244
75	225.00	1200.01	145	219
76	228.00	1200.01	152	173
77	231.00	1200.01	161	183
78	234.00	1200.01	170	201
79	237.00	1200.01	151	184
80	240.00	1200.01	147	251
81	243.00	1200.01	169	237
82	246.00	1200.01	138	283
83	249.00	1200.01	176	309
84	252.00	1200.01	158	308
85	255.00	1200.01	152	230
86	258.00	1200.01	146	292
87	261.00	1200.01	138	236
88	264.00	1200.01	142	221
89	267.00	1200.01	136	182
90	270.00	1200.01	131	150
91	273.00	1200.01	157	163
92	276.00	1200.01	210	218
93	279.00	1200.01	215	271
94	282.00	1200.01	197	340
95	285.00	1200.01	221	387
96	288.00	1200.01	268	484
97	291.00	1200.01	254	480
98	294.00	1200.01	275	536
99	297.00	1200.01	241	553
100	300.00	1200.01	243	525
101	303.00	1200.01	193	472
* end: 29/08/2023 22:33:52
