# chi w_re1 w_re1_err w_re2 w_re2_err
-6.757408708032835776e+00 3.342278974777743161e-01 1.078492920318565168e-01 7.239561600493066296e-01 1.087968055080332647e-01
-6.347734884241127418e+00 -1.709162846662963364e+00 6.682666215386003916e-01 1.428381724600734648e+00 6.588663251534336851e-01
-5.869782089817467075e+00 3.318001558742945667e-01 1.219195081070260922e-01 5.628072640377740354e-01 1.189395550582690031e-01
-5.429072370283961391e+00 2.574339644690067930e-01 7.526736860705465770e-02 7.047973535812063206e-01 7.527722445464628265e-02
-5.019398546492253033e+00 3.039384288480017626e-01 6.892311980847198871e-02 7.061274997406377096e-01 6.668586321028054098e-02
-4.541445752068592689e+00 2.323370340140998302e-01 7.758168493303677082e-02 7.253909398045677026e-01 7.586304166401375282e-02
-4.097632442960907895e+00 7.078525561255871734e-02 1.162238460964507281e-01 1.151462708269378687e+00 1.167051783257906233e-01
-3.653819133853223100e+00 -5.763867461893381616e-01 2.400474386451585396e-01 1.687257539982327526e+00 2.416631115695042908e-01
-3.213109414319717860e+00 4.103144194814674961e+00 2.070536016903888221e+00 2.566602085388682841e+00 2.046149014582816505e+00
-2.803435590528009058e+00 -1.153987634571530529e+00 3.825767507194421935e-01 1.782616581173734449e+00 3.778824608348677061e-01
-2.325482796104348271e+00 -1.017732459698592051e-01 1.363230975011102963e-01 1.230747562858270250e+00 1.357264066494855981e-01
-1.847530001680687928e+00 1.227676985657272790e-01 8.249181486497503268e-02 6.011771226523041634e-01 7.962535983702104248e-02
-1.403716692573003133e+00 3.131932110557845150e-01 6.978766510543693569e-02 7.388504472966508363e-01 6.839095338270313740e-02
-9.940428687812941089e-01 3.257635769011322235e-01 6.936217933972242677e-02 8.186113587541685721e-01 6.959301139674470282e-02
-5.533331492477890912e-01 4.634715099478263767e-01 9.813336217305834719e-02 5.942552381089404312e-01 9.409294706110114814e-02
-7.538035482412830390e-02 -1.091118563579329015e+00 5.532502337256977043e-01 6.584448051468995144e-01 5.453886117591542071e-01
3.684329542835564908e-01 4.297443612531999801e-01 1.277483455532155421e-01 5.933158402168143830e-01 1.246656294980178215e-01
7.781067780752652929e-01 2.995730097753532828e-01 7.598930979239927608e-02 7.157954328990582260e-01 7.597729853471159311e-02
1.256059572498925636e+00 3.536984579180156851e-01 6.675444511499814548e-02 5.637416167500411968e-01 6.458247919143118854e-02
1.662629806716454883e+00 1.772452357727211103e-01 7.386431838018303608e-02 7.472515881565010565e-01 7.226566361857884868e-02
2.106443115824140122e+00 -7.386517539793246989e-03 1.010565231666371855e-01 1.146798491327886138e+00 1.012254390352435168e-01
2.618535395563776014e+00 -7.607077513214556275e-01 2.330389882590594430e-01 1.415334198740744842e+00 2.285408751203683864e-01
