# chi cos2 cos2err
-1.504999999999999893e+00 1.511707649656942522e+03 1.381034502528272299e+02
-1.362000000000000099e+00 5.177707649656942522e+03 1.382140114884707600e+02
-1.229999999999999982e+00 9.876707649656942522e+03 1.383555973029947950e+02
-1.088000000000000078e+00 1.474170764965694252e+04 1.385020323740237700e+02
-9.340000000000000524e-01 1.899870764965694252e+04 1.386300399326752029e+02
-8.020000000000000462e-01 2.221370764965694252e+04 1.387266363695227369e+02
-6.590000000000000302e-01 2.330270764965694252e+04 1.387593407248744199e+02
-5.160000000000000142e-01 2.201870764965694252e+04 1.387207794038145892e+02
-3.739999999999999991e-01 1.880270764965694252e+04 1.386241488284122454e+02
-2.200000000000000011e-01 1.402770764965694252e+04 1.384805508789415569e+02
-7.699999999999999900e-02 9.201707649656942522e+03 1.383352677557984691e+02
8.799999999999999489e-02 4.402707649656942522e+03 1.381906459873525250e+02
2.089999999999999913e-01 1.137707649656942522e+03 1.380921659800745545e+02
3.519999999999999796e-01 4.729235034305747831e+01 1.380564062442176407e+02
5.050000000000000044e-01 1.091707649656942522e+03 1.380907780111877230e+02
6.480000000000000204e-01 4.191707649656942522e+03 1.381842838569873493e+02
8.020000000000000462e-01 9.158707649656942522e+03 1.383339725871238102e+02
9.230000000000000426e-01 1.411670764965694252e+04 1.384832287260872192e+02
1.076999999999999957e+00 1.864270764965694252e+04 1.386193395780994706e+02
1.219000000000000083e+00 2.170370764965694252e+04 1.387113176291026093e+02
1.362000000000000099e+00 2.269470764965694252e+04 1.387410824944620629e+02
1.504999999999999893e+00 2.238670764965694252e+04 1.387318323423591835e+02
