# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-2.010498 30.0 913 15507 213085 2122 3782387423 16420 0.000000 0.000000
-1.801758 30.0 642 17167 213308 1155 3782387459 17809 0.000000 0.000000
-1.604004 30.0 688 17112 212862 1272 3782387495 17800 0.000000 0.000000
-1.406250 30.0 1060 15073 212173 2429 3782387532 16133 0.000000 0.000000
-1.197510 30.0 1707 12192 213351 4238 3782387568 13899 0.000000 0.000000
-1.010742 30.0 2189 9806 212931 5983 3782387604 11995 0.000000 0.000000
-0.802002 30.0 2666 7766 212803 7360 3782387641 10432 0.000000 0.000000
-0.604248 30.0 2650 7874 212909 7080 3782387677 10524 0.000000 0.000000
-0.395508 30.0 2251 9737 212790 5936 3782387713 11988 0.000000 0.000000
-0.208740 30.0 1623 11942 212904 4566 3782387749 13565 0.000000 0.000000
0.000000 30.0 1071 14934 212468 2681 3782387785 16005 0.000000 0.000000
0.197754 30.0 751 16571 213139 1599 3782387822 17322 0.000000 0.000000
0.395508 30.0 610 17136 212653 1131 3782387858 17746 0.000000 0.000000
0.604248 30.0 930 15815 212091 2068 3782387894 16745 0.000000 0.000000
0.802002 30.0 1445 13166 212899 3654 3782387931 14611 0.000000 0.000000
0.988769 30.0 2124 10340 212479 5394 3782387967 12464 0.000000 0.000000
1.208496 30.0 2485 8179 212502 6865 3782388003 10664 0.000000 0.000000
1.395264 30.0 2663 7533 211995 7344 3782388039 10196 0.000000 0.000000
1.593018 30.0 2497 8608 211564 6526 3782388076 11105 0.000000 0.000000
1.801758 30.0 2029 11172 213501 4975 3782388112 13201 0.000000 0.000000
1.988525 30.0 1231 14344 212530 3102 3782388148 15575 0.000000 0.000000
