*Begin rocking: 25/10/2023 15:20:38
*Points: 0
*
*notes: 
*Rho-Axis: 2.360
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.4782900	4	108	610	25494	365	718
         1	0.4783500	4	203	753	25511	468	956
         2	0.4784000	4	328	835	25394	624	1163
         3	0.4784400	4	456	1017	25297	741	1473
         4	0.4785000	4	812	1252	25449	962	2064
         5	0.4785500	4	1179	1777	25492	1237	2956
         6	0.4785900	4	1623	2407	25490	1420	4030
         7	0.4786500	4	1868	3089	25428	1572	4957
         8	0.4787100	4	1887	3505	25300	1725	5392
         9	0.4787600	4	1835	3552	25481	1783	5387
        10	0.4788100	4	1610	3475	25584	1759	5085
        11	0.4788500	4	1331	3337	25431	1740	4668
        12	0.4789000	4	1122	2821	25482	1583	3943
        13	0.4789600	4	726	2032	25515	1355	2758
        14	0.4790100	4	448	1465	25292	1076	1913
        15	0.4790500	4	276	1201	25323	936	1477
        16	0.4791000	4	161	929	25597	672	1090
        17	0.4791500	4	113	815	25333	585	928
*stopped by user: 25/10/2023 15:22:20
