# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-2.109375 20.0 2955 4040 4 11 3795558871 6995 0.000000 0.000000
-1.900635 20.0 3184 3904 2 20 3795558897 7088 0.000000 0.000000
-1.680908 20.0 3249 3924 7 21 3795558924 7173 0.000000 0.000000
-1.472168 20.0 3142 3876 1 14 3795558950 7018 0.000000 0.000000
-1.263428 20.0 2900 4223 4 14 3795558976 7123 0.000000 0.000000
-1.065674 20.0 2631 4448 4 17 3795559002 7079 0.000000 0.000000
-0.845947 20.0 2473 4524 3 15 3795559029 6997 0.000000 0.000000
-0.615234 20.0 2490 4610 3 17 3795559055 7100 0.000000 0.000000
-0.417480 20.0 2456 4499 3 19 3795559081 6955 0.000000 0.000000
-0.208740 20.0 2807 4343 3 13 3795559107 7150 0.000000 0.000000
-0.010986 20.0 3081 3991 3 16 3795559134 7072 0.000000 0.000000
0.208740 20.0 3207 3801 1 19 3795559160 7008 0.000000 0.000000
0.417480 20.0 3383 3682 2 17 3795559186 7065 0.000000 0.000000
0.626221 20.0 3304 3687 6 17 3795559212 6991 0.000000 0.000000
0.834961 20.0 2870 4124 0 11 3795559239 6994 0.000000 0.000000
1.043701 20.0 2555 4439 2 12 3795559265 6994 0.000000 0.000000
1.252441 20.0 2460 4681 5 6 3795559291 7141 0.000000 0.000000
1.461182 20.0 2366 4829 2 14 3795559317 7195 0.000000 0.000000
1.669922 20.0 2440 4645 1 16 3795559343 7085 0.000000 0.000000
1.889648 20.0 2790 4352 7 21 3795559370 7142 0.000000 0.000000
2.098389 20.0 3151 3976 4 20 3795559396 7127 0.000000 0.000000
2.307129 20.0 3287 3858 5 16 3795559422 7145 0.000000 0.000000
